,mean_rank
COVIDhub-ensemble,9.0
UMass-MechBayes,9.3
YYG-ParamSearch,9.8
LNQ-ens1,10.3
OliverWyman-Navigator,10.7
UA-EpiCovDA,11.3
USC-SI_kJalpha,11.4
CMU-TimeSeries,11.4
UT-Mobility,11.5
CovidAnalytics-DELPHI,11.7
MOBS-GLEAM_COVID,13.2
GT-DeepCOVID,13.4
COVIDhub-baseline,13.5
UCLA-SuEIR,13.5
Covid19Sim-Simulator,13.5
CU-select,13.9
Karlen-pypm,14.0
NotreDame-mobility,14.2
LANL-GrowthRate,14.4
MITCovAlliance-SIR,15.8
PSI-DRAFT,15.9
IHME-CurveFit,16.1
USACE-ERDC_SEIR,16.2
JHU_IDD-CovidSP,16.5
IowaStateLW-STEM,16.6
RobertWalraven-ESG,24.0
