,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,SWC-TerminusCM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-SWC-TerminusCM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1603,1328.4,1409.2,1860.4,988.0,,1207.0,1306.9,1463.9,1496.6,-274.6,-193.8,257.4,-615.0,,-396.0,-296.1,-139.1,-106.4,True,True,False,,False,False,True,True
Alaska,24,25.7,19.4,18.2,,,41.0,13.6,26.3,13.4,1.7,-4.6,-5.8,,,17.0,-10.4,2.3,-10.6,False,False,,,False,False,False,False
Arizona,3747,2151.0,3927.6,3730.7,2442.0,,2654.0,2175.5,3847.8,2523.4,-1596.0,180.6,-16.3,-1305.0,,-1093.0,-1571.5,100.8,-1223.6,True,True,True,,True,True,True,True
Arkansas,458,350.4,414.3,536.3,531.0,,328.0,397.9,462.5,405.6,-107.6,-43.7,78.3,73.0,,-130.0,-60.1,4.5,-52.4,True,True,True,,False,True,True,True
California,9345,8301.3,7968.2,8517.3,7066.0,,7865.0,7132.8,9053.2,9206.5,-1043.7,-1376.8,-827.7,-2279.0,,-1480.0,-2212.2,-291.8,-138.5,False,True,False,,False,False,True,True
Colorado,1844,2084.9,1917.8,2768.5,1749.0,,2186.0,1850.1,1843.6,2209.3,240.9,73.8,924.5,-95.0,,342.0,6.1,-0.4,365.3,True,False,True,,False,True,True,False
Connecticut,4432,5092.4,4657.2,4380.9,4497.0,,4602.0,4608.8,4360.1,4832.7,660.4,225.2,-51.1,65.0,,170.0,176.8,-71.9,400.7,True,True,True,,True,True,True,True
Delaware,585,586.6,512.6,512.6,482.0,,557.0,504.9,479.2,582.3,1.6,-72.4,-72.4,-103.0,,-28.0,-80.1,-105.8,-2.7,False,False,False,,False,False,False,False
District of Columbia,585,693.3,636.5,607.5,648.0,,574.0,614.0,585.8,644.1,108.3,51.5,22.5,63.0,,-11.0,29.0,0.8,59.1,True,True,True,,True,True,True,True
Florida,7022,4515.0,5086.1,5991.4,4925.0,,4455.0,4360.5,5081.3,5230.5,-2507.0,-1935.9,-1030.6,-2097.0,,-2567.0,-2661.5,-1940.7,-1791.5,True,True,True,,False,False,True,True
Georgia,3825,4309.3,3087.3,4599.1,2919.0,,3726.0,3783.3,3047.1,4173.0,484.3,-737.7,774.1,-906.0,,-99.0,-41.7,-777.9,348.0,False,False,False,,True,True,False,True
Hawaii,26,17.0,19.1,20.0,,,35.0,18.1,23.0,19.1,-9.0,-6.9,-6.0,,,9.0,-7.9,-3.0,-6.9,True,True,,,False,True,True,True
Idaho,197,114.4,119.8,97.2,87.0,,97.0,95.8,107.6,99.8,-82.6,-77.2,-99.8,-110.0,,-100.0,-101.2,-89.4,-97.2,True,False,False,,False,False,False,False
Illinois,7700,9078.3,7337.2,7446.9,8038.0,,10138.0,7482.9,7032.2,8894.9,1378.3,-362.8,-253.1,338.0,,2438.0,-217.1,-667.8,1194.9,True,True,True,,False,True,True,True
Indiana,2971,3238.0,3027.4,2872.1,2501.0,,3103.0,2785.6,3115.1,3389.5,267.0,56.4,-98.9,-470.0,,132.0,-185.4,144.1,418.5,True,True,False,,True,True,True,False
Iowa,874,974.3,1073.1,983.9,774.0,,1495.0,859.6,862.7,964.5,100.3,199.1,109.9,-100.0,,621.0,-14.4,-11.3,90.5,False,False,True,,False,True,True,True
Kansas,358,327.3,296.0,337.6,331.0,,368.0,287.7,202.4,330.2,-30.7,-62.0,-20.4,-27.0,,10.0,-70.3,-155.6,-27.8,False,True,True,,True,False,False,True
Kentucky,740,697.9,658.0,692.9,593.0,,721.0,724.3,681.0,815.7,-42.1,-82.0,-47.1,-147.0,,-19.0,-15.7,-59.0,75.7,False,False,False,,True,True,False,False
Louisiana,3949,3548.9,3575.5,3741.8,3575.0,,3416.0,3319.3,3207.8,3731.5,-400.1,-373.5,-207.2,-374.0,,-533.0,-629.7,-741.2,-217.5,True,True,True,,False,False,False,True
Maine,123,106.9,112.6,140.8,124.0,,116.0,109.1,151.4,126.2,-16.1,-10.4,17.8,1.0,,-7.0,-13.9,28.4,3.2,True,False,True,,True,True,False,True
Maryland,3506,4241.9,3668.8,3987.4,3849.0,,3667.0,3485.8,3675.2,4103.8,735.9,162.8,481.4,343.0,,161.0,-20.2,169.2,597.8,True,True,True,,True,True,True,True
Massachusetts,8626,9736.0,8336.5,8251.6,8885.0,,8700.0,8412.4,8276.4,8891.8,1110.0,-289.5,-374.4,259.0,,74.0,-213.6,-349.6,265.8,True,True,True,,True,True,True,True
Michigan,6457,6626.3,6405.0,7176.9,7264.0,,6318.0,6635.2,6214.2,6580.8,169.3,-52.0,719.9,807.0,,-139.0,178.2,-242.8,123.8,True,False,False,,True,False,False,True
Minnesota,1646,2234.1,1969.5,2093.3,1985.0,,3395.0,1799.4,1447.9,2288.6,588.1,323.5,447.3,339.0,,1749.0,153.4,-198.1,642.6,True,True,True,,False,True,True,False
Mississippi,1693,1398.4,1626.6,1229.7,1044.0,,1565.0,1164.4,1324.8,1567.9,-294.6,-66.4,-463.3,-649.0,,-128.0,-528.6,-368.2,-125.1,True,False,False,,True,False,False,True
Missouri,1276,1125.0,1235.7,1278.1,1117.0,,1402.0,1509.7,1201.3,1591.3,-147.0,-36.3,6.1,-155.0,,130.0,237.7,-70.7,319.3,True,True,False,,True,False,True,False
Montana,61,25.9,20.4,22.2,18.0,,26.0,21.9,18.4,22.3,-35.1,-40.6,-38.8,-43.0,,-35.0,-39.1,-42.6,-38.7,False,False,False,,True,False,False,False
Nebraska,332,407.0,333.5,350.7,280.0,,400.0,317.6,243.6,416.9,75.0,1.5,18.7,-52.0,,68.0,-14.4,-88.4,84.9,True,True,True,,True,True,False,False
Nevada,832,634.4,648.1,641.6,604.0,,649.0,593.4,700.8,693.7,-197.6,-183.9,-190.4,-228.0,,-183.0,-238.6,-131.2,-138.3,True,True,False,,True,False,True,True
New Hampshire,416,553.1,470.9,549.8,338.0,,683.0,475.5,442.7,617.2,137.1,54.9,133.8,-78.0,,267.0,59.5,26.7,201.2,True,True,True,,False,True,True,False
New Jersey,15830,15971.0,13304.7,13730.1,13951.0,,13867.0,13923.6,13018.3,14221.2,1997.0,-669.3,-243.9,-23.0,,-107.0,-50.4,-955.7,247.2,True,True,True,,True,True,True,True
New Mexico,651,702.4,730.4,714.6,525.0,,991.0,570.3,547.7,720.4,51.4,79.4,63.6,-126.0,,340.0,-80.7,-103.3,69.4,False,False,False,,False,False,False,False
New York,32684,33917.6,31553.4,32641.8,32715.0,,25075.0,31576.1,32559.3,32168.2,2003.6,-360.6,727.8,801.0,,-6839.0,-337.9,645.3,254.2,True,True,True,,False,True,True,True
North Carolina,1979,1817.7,2299.5,1798.4,1858.0,,2254.0,2050.6,2503.6,2199.0,-161.3,320.5,-180.6,-121.0,,275.0,71.6,524.6,220.0,False,False,True,,False,True,False,False
North Dakota,103,87.7,86.1,109.3,129.0,,147.0,95.8,91.5,120.5,-15.3,-16.9,6.3,26.0,,44.0,-7.2,-11.5,17.5,False,True,False,,False,True,True,False
Ohio,3515,3793.3,3384.5,3201.3,3145.0,,3946.0,3236.2,3177.5,3910.8,278.3,-130.5,-313.7,-370.0,,431.0,-278.8,-337.5,395.8,True,False,False,,False,False,False,False
Oklahoma,549,434.4,426.1,502.0,454.0,,411.0,398.9,519.2,445.5,-114.6,-122.9,-47.0,-95.0,,-138.0,-150.1,-29.8,-103.5,False,True,True,,False,False,True,True
Oregon,325,241.6,214.2,291.8,217.0,,188.0,214.6,298.7,231.0,-80.4,-107.8,-30.2,-105.0,,-134.0,-107.4,-23.3,-91.0,False,True,False,,False,False,True,False
Pennsylvania,7219,8080.1,7971.3,7590.8,6730.0,,8351.0,7383.2,7313.1,7773.7,861.1,752.3,371.8,-489.0,,1132.0,164.2,94.1,554.7,True,True,True,,False,True,True,True
Rhode Island,1007,1251.3,1040.0,1069.7,989.0,,1129.0,1053.7,775.8,1211.4,244.3,33.0,62.7,-18.0,,122.0,46.7,-231.2,204.4,True,True,True,,True,True,True,True
South Carolina,1751,970.3,1387.2,1457.4,819.0,,1015.0,933.7,1587.7,1212.0,-780.7,-363.8,-293.6,-932.0,,-736.0,-817.3,-163.3,-539.0,True,True,False,,True,False,True,True
South Dakota,134,143.6,106.7,138.4,92.0,,115.0,94.7,99.6,133.4,9.6,-27.3,4.4,-42.0,,-19.0,-39.3,-34.4,-0.6,False,True,False,,False,False,False,True
Tennessee,1067,858.0,741.0,1043.9,902.0,,807.0,686.0,735.7,807.2,-209.0,-326.0,-23.1,-165.0,,-260.0,-381.0,-331.3,-259.8,False,True,True,,False,False,False,False
