,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1603,1225.6,1382.7,1386.0,1073.0,1106.9,,1265.1,1105.0,,1352.0,1361.4,1373.3,-377.4,-220.3,-217.0,-530.0,-496.1,,-337.9,-498.0,,-251.0,-241.6,-229.7,True,True,False,False,,True,False,,True,True,True
Alaska,24,12.0,19.5,15.7,,15.5,,23.4,12.0,,13.3,25.1,16.7,-12.0,-4.5,-8.3,,-8.5,,-0.6,-12.0,,-10.7,1.1,-7.3,True,True,,True,,True,False,,True,True,True
Arizona,3747,2274.4,3840.5,3255.2,2641.0,3557.9,,3749.2,1793.0,,2741.0,4692.5,2659.5,-1472.6,93.5,-491.8,-1106.0,-189.1,,2.2,-1954.0,,-1006.0,945.5,-1087.5,True,True,True,True,,True,False,,True,True,True
Arkansas,458,494.4,451.2,601.0,541.0,411.8,,331.0,399.0,,433.2,510.4,474.3,36.4,-6.8,143.0,83.0,-46.2,,-127.0,-59.0,,-24.8,52.4,16.3,True,False,False,False,,False,False,,True,False,True
California,9345,7951.6,8007.6,8497.5,7354.0,7979.0,,6830.4,7213.0,,7405.6,9043.1,8345.1,-1393.4,-1337.4,-847.5,-1991.0,-1366.0,,-2514.6,-2132.0,,-1939.4,-301.9,-999.9,True,True,False,True,,False,False,,False,True,True
Colorado,1844,1934.0,1852.5,1774.5,1760.0,1895.7,,1815.7,1860.0,,1827.9,1907.4,1980.7,90.0,8.5,-69.5,-84.0,51.7,,-28.3,16.0,,-16.1,63.4,136.7,True,True,True,True,,True,True,,True,True,False
Connecticut,4432,4605.6,4527.3,4461.9,4427.0,4502.6,,4376.8,4481.5,,4559.1,4499.6,4524.8,173.6,95.3,29.9,-5.0,70.6,,-55.2,49.5,,127.1,67.6,92.8,True,True,True,True,,True,True,,True,True,True
Delaware,600,511.1,509.3,490.5,474.0,524.6,,466.9,479.0,,499.6,470.4,518.7,31.1,29.3,10.5,-6.0,44.6,,-13.1,-1.0,,19.6,-9.6,38.7,True,True,True,False,,True,True,,True,True,False
District of Columbia,585,638.4,594.2,620.0,640.0,562.7,,563.2,561.0,,622.0,598.6,604.0,53.4,9.2,35.0,55.0,-22.3,,-21.8,-24.0,,37.0,13.6,19.0,True,True,False,True,,True,True,,True,True,True
Florida,7022,4508.1,6139.5,6234.1,4830.0,5326.8,,7025.7,4013.5,,4341.2,6271.9,5169.1,-2513.9,-882.5,-787.9,-2192.0,-1695.2,,3.7,-3008.5,,-2680.8,-750.1,-1852.9,True,True,True,True,,True,False,,False,True,True
Georgia,3825,3767.6,3409.1,4328.4,3156.0,4379.6,,3240.8,3664.5,,3453.2,3322.5,4029.0,-57.4,-415.9,503.4,-669.0,554.6,,-584.2,-160.5,,-371.8,-502.5,204.0,False,False,False,False,,False,False,,False,False,False
Hawaii,26,17.0,20.8,21.0,,23.9,,26.8,17.0,,18.0,23.8,18.3,-9.0,-5.2,-5.0,,-2.1,,0.8,-9.0,,-8.0,-2.2,-7.7,True,True,,True,,True,False,,True,True,True
Idaho,197,100.7,127.2,109.3,105.0,142.1,,267.7,89.0,,95.5,120.0,104.2,-96.3,-69.8,-87.7,-92.0,-54.9,,70.7,-108.0,,-101.5,-77.0,-92.8,True,True,True,True,,True,False,,False,True,True
Illinois,7700,8632.6,7282.4,7830.7,8003.0,7830.0,14096.0,7540.1,14081.5,,7494.3,7157.4,8100.2,932.6,-417.6,130.7,303.0,130.0,6396.0,-159.9,6381.5,,-205.7,-542.6,400.2,True,True,True,True,False,True,False,,True,True,True
Indiana,2899,3231.1,2938.4,2888.6,2649.0,2906.5,4588.5,2892.2,2904.0,,2799.4,3213.9,3290.0,268.1,-24.6,-74.4,-314.0,-56.5,1625.5,-70.8,-59.0,,-163.6,250.9,327.0,True,True,False,True,False,True,True,,True,True,False
Iowa,874,885.1,949.7,817.5,770.0,849.6,,847.5,1046.5,,848.9,860.0,894.3,11.1,75.7,-56.5,-104.0,-24.4,,-26.5,172.5,,-25.1,-14.0,20.3,False,False,False,False,,False,False,,False,False,False
Kansas,358,327.3,307.4,338.7,322.0,314.8,,331.1,321.0,,288.5,216.9,332.1,-30.7,-50.6,-19.3,-36.0,-43.2,,-26.9,-37.0,,-69.5,-141.1,-25.9,False,True,False,False,,True,False,,False,False,True
Kentucky,740,684.1,654.8,686.4,637.0,662.1,1100.5,599.2,628.0,,741.3,668.4,703.0,-55.9,-85.2,-53.6,-103.0,-77.9,360.5,-140.8,-112.0,,1.3,-71.6,-37.0,False,True,False,False,False,False,False,,True,False,True
Louisiana,3949,3638.0,3529.2,3749.8,3616.0,3412.0,,3502.8,3328.0,,3305.4,3222.0,3583.6,-311.0,-419.8,-199.2,-333.0,-537.0,,-446.2,-621.0,,-643.6,-727.0,-365.4,False,True,False,False,,False,False,,False,False,False
Maine,123,113.7,117.1,112.3,110.0,116.9,,120.5,117.0,,108.6,128.4,116.4,-9.3,-5.9,-10.7,-13.0,-6.1,,-2.5,-6.0,,-14.4,5.4,-6.6,True,False,False,True,,True,True,,False,True,True
Maryland,3506,3809.9,3538.3,3446.4,3669.0,3435.0,,3465.9,3621.5,,3473.2,3554.9,3687.2,303.9,32.3,-59.6,163.0,-71.0,,-40.1,115.5,,-32.8,48.9,181.2,True,True,True,True,,True,True,,True,True,True
Massachusetts,8626,9221.7,8290.1,8498.8,8641.0,8440.1,,8470.3,8675.5,,8457.7,8242.6,8584.2,596.7,-334.9,-126.2,16.0,-184.9,,-154.7,50.5,,-167.3,-382.4,-40.8,True,True,True,True,,True,True,,True,True,True
Michigan,6457,6523.4,6328.8,6354.7,6825.0,6893.0,8387.0,6199.1,6369.5,,6541.6,6265.1,6378.0,66.4,-128.2,-102.3,368.0,436.0,1930.0,-257.9,-87.5,,84.6,-191.9,-79.0,False,False,False,False,False,False,False,,False,False,False
Minnesota,1646,1898.1,1815.5,1735.1,1933.0,1865.8,3195.5,1566.9,1917.5,,1779.6,1494.7,2001.7,252.1,169.5,89.1,287.0,219.8,1549.5,-79.1,271.5,,133.6,-151.3,355.7,True,True,False,True,False,True,False,,True,True,False
Mississippi,1693,1213.3,1443.0,1156.9,1091.0,1048.8,,1232.9,1289.5,,1150.5,1168.2,1372.5,-479.7,-250.0,-536.1,-602.0,-644.2,,-460.1,-403.5,,-542.5,-524.8,-320.5,True,False,False,False,,True,True,,False,False,True
Missouri,1289,1433.6,1229.3,1632.0,1182.0,1369.6,,1284.3,1034.0,,1459.0,1343.1,1237.1,164.6,-39.7,363.0,-87.0,100.6,,15.3,-235.0,,190.0,74.1,-31.9,True,False,True,True,,True,False,,False,True,True
Montana,61,25.9,25.0,27.4,25.0,40.4,,68.8,20.0,,22.8,20.5,26.2,-35.1,-36.0,-33.6,-36.0,-20.6,,7.8,-41.0,,-38.2,-40.5,-34.8,False,True,False,True,,True,False,,False,False,True
Nebraska,332,413.9,325.1,381.2,293.0,308.3,,296.2,611.5,,321.4,262.0,433.1,81.9,-6.9,49.2,-39.0,-23.7,,-35.8,279.5,,-10.6,-70.0,101.1,True,True,True,True,,True,False,,True,True,False
Nevada,832,627.6,655.2,660.4,637.0,715.6,,870.7,541.0,,609.0,727.0,645.9,-204.4,-176.8,-171.6,-195.0,-116.4,,38.7,-291.0,,-223.0,-105.0,-186.1,True,True,True,True,,True,False,,False,True,True
New Hampshire,416,450.3,451.1,524.1,339.0,415.1,,401.2,474.0,,461.6,424.9,473.6,34.3,35.1,108.1,-77.0,-0.9,,-14.8,58.0,,45.6,8.9,57.6,False,False,False,True,,True,False,,False,True,False
New Jersey,15830,14579.0,13391.7,13591.8,13905.0,13850.5,,13033.9,13914.5,,13903.3,12989.4,13560.3,612.0,-575.3,-375.2,-62.0,-116.5,,-933.1,-52.5,,-63.7,-977.6,-406.7,True,True,True,True,,False,True,,True,False,True
New Mexico,651,668.1,643.0,675.6,528.0,594.2,,650.1,566.5,,580.7,548.8,641.0,17.1,-8.0,24.6,-123.0,-56.8,,-0.9,-84.5,,-70.3,-102.2,-10.0,True,False,False,False,,True,False,,False,False,True
New York,32684,32882.1,31606.3,31726.4,32235.0,32128.5,,25258.8,31578.0,,31851.8,32704.6,31739.8,927.1,-348.7,-228.6,280.0,173.5,,-6696.2,-377.0,,-103.2,749.6,-215.2,True,True,True,True,,False,True,,True,True,True
North Carolina,1979,1701.1,2154.0,1653.7,1759.0,1729.9,,1916.6,1624.0,,1882.4,2062.0,1822.9,-247.9,205.0,-295.3,-190.0,-219.1,,-32.4,-325.0,,-66.6,113.0,-126.1,True,False,True,True,,True,False,,True,True,True
North Dakota,103,94.6,88.8,87.7,91.0,93.0,,114.8,175.5,,93.9,86.7,110.8,-8.4,-14.2,-15.3,-12.0,-10.0,,11.8,72.5,,-9.1,-16.3,7.8,False,False,False,False,,False,False,,False,False,True
Ohio,3185,3525.9,3259.0,3309.7,3177.0,3521.8,4293.0,3157.1,3447.5,,3258.1,3359.6,3600.5,97.9,-169.0,-118.3,-251.0,93.8,865.0,-270.9,19.5,,-169.9,-68.4,172.5,False,False,False,True,False,False,True,,False,True,False
Oklahoma,549,427.6,462.9,460.1,549.0,541.1,,436.2,394.0,,416.2,606.6,476.7,-121.4,-86.1,-88.9,0.0,-7.9,,-112.8,-155.0,,-132.8,57.6,-72.3,True,True,True,True,,True,False,,False,True,True
Oregon,325,258.3,250.6,351.2,239.0,245.7,,270.9,198.0,,232.1,337.5,256.3,-64.7,-72.4,28.2,-84.0,-77.3,,-52.1,-125.0,,-90.9,14.5,-66.7,False,True,False,False,,True,False,,False,True,False
