,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1603,1595.3,1629.8,1624.0,1597.0,,1480.1,1681.0,1669.7,,1453.3,1498.0,1658.3,1564.7,1572.6,1657.3,,1579.0,1736.9,1752.0,,10391.2,,1548.0,1576.2,1655.0,1523.6,1528.1,1814.3,1680.5,1632.3,1473.0,-7.7,26.8,21.0,-6.0,,-122.9,78.0,66.7,,-149.7,-105.0,55.3,-38.3,-30.4,54.3,,-24.0,133.9,149.0,,8788.2,,-55.0,-26.8,52.0,-79.4,-74.9,211.3,77.5,29.3,-130.0,False,False,True,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Alaska,24,19.9,20.0,23.0,17.0,,26.8,25.0,21.5,,21.9,,35.3,22.6,24.5,20.9,,22.8,20.4,22.0,,24.4,,24.0,20.1,24.0,,22.8,25.5,25.0,20.0,,-4.1,-4.0,-1.0,-7.0,,2.8,1.0,-2.5,,-2.1,,11.3,-1.4,0.5,-3.1,,-1.2,-3.6,-2.0,,0.4,,0.0,-3.9,0.0,,-1.2,1.5,1.0,-4.0,,True,True,False,,True,True,True,,True,,False,True,True,True,,True,True,True,,True,,True,True,True,,True,True,True,True,
Arizona,3747,3734.1,3887.9,3737.0,3471.0,,3291.0,3538.0,3936.9,,3134.4,3663.0,3466.3,3454.1,2533.3,4010.4,,3683.6,4004.6,4040.5,,10742.2,,3592.0,3643.2,3560.0,3760.8,4947.4,3886.7,4365.0,3683.6,3345.0,-12.9,140.9,-10.0,-276.0,,-456.0,-209.0,189.9,,-612.6,-84.0,-280.7,-292.9,-1213.7,263.4,,-63.4,257.6,293.5,,6995.2,,-155.0,-103.8,-187.0,13.8,1200.4,139.7,618.0,-63.4,-402.0,False,True,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Arkansas,458,423.9,433.0,443.0,466.0,,473.5,457.0,450.5,,416.6,396.0,538.8,412.3,419.5,448.7,,439.5,445.2,448.0,,,,430.0,416.4,433.0,438.6,428.2,444.5,439.0,434.3,,-34.1,-25.0,-15.0,8.0,,15.5,-1.0,-7.5,,-41.4,-62.0,80.8,-45.7,-38.5,-9.3,,-18.5,-12.8,-10.0,,,,-28.0,-41.6,-25.0,-19.4,-29.8,-13.5,-19.0,-23.7,,True,True,True,,True,True,True,,False,False,False,False,False,True,,True,True,True,,,,True,False,True,True,True,True,True,True,
California,9345,8948.1,9052.0,9141.0,9090.0,,9053.6,9751.0,9351.7,,10016.5,9336.0,9820.2,8510.6,9753.4,9666.2,,8675.0,9158.6,8824.0,,1313.4,,9198.0,8912.8,9078.0,8838.4,9830.2,9377.9,9333.5,8973.9,8534.0,-396.9,-293.0,-204.0,-255.0,,-291.4,406.0,6.7,,671.5,-9.0,475.2,-834.4,408.4,321.2,,-670.0,-186.4,-521.0,,-8031.6,,-147.0,-432.2,-267.0,-506.6,485.2,32.9,-11.5,-371.1,-811.0,True,True,True,,True,False,True,,False,True,False,False,False,True,,False,True,False,,False,,True,False,True,False,False,True,True,True,False
Colorado,1844,1802.1,1807.4,1831.0,1817.0,,1834.2,1854.0,,,1806.4,1835.0,1844.0,1809.5,1895.1,1946.9,,1820.5,1822.3,1810.0,,658.5,,1836.0,1804.2,1817.0,1793.1,1854.9,1856.0,1803.5,1844.4,,-41.9,-36.6,-13.0,-27.0,,-9.8,10.0,,,-37.6,-9.0,0.0,-34.5,51.1,102.9,,-23.5,-21.7,-34.0,,-1185.5,,-8.0,-39.8,-27.0,-50.9,10.9,12.0,-40.5,0.4,,True,True,True,,True,True,,,True,True,True,True,False,False,,True,True,True,,False,,True,True,True,False,True,True,True,True,
Connecticut,4432,4485.1,4500.5,4453.0,4437.0,,4423.8,4409.0,4500.7,,4383.3,4477.0,4443.2,4457.0,4408.5,4469.9,,4416.3,4453.6,4458.0,,4721.5,,4423.0,4470.7,4439.0,4464.0,4462.8,4466.4,4440.0,4434.9,,53.1,68.5,21.0,5.0,,-8.2,-23.0,68.7,,-48.7,45.0,11.2,25.0,-23.5,37.9,,-15.7,21.6,26.0,,289.5,,-9.0,38.7,7.0,32.0,30.8,34.4,8.0,2.9,,False,True,True,,True,True,False,,True,True,True,True,True,True,,True,True,True,,False,,True,True,True,True,True,True,True,True,
Delaware,585,534.1,535.8,541.0,536.0,,558.6,554.0,,,528.2,545.0,555.8,539.5,561.7,545.8,,526.1,535.1,555.0,,811.0,,530.0,536.4,535.0,547.6,569.6,532.5,532.0,540.0,,-50.9,-49.2,-44.0,-49.0,,-26.4,-31.0,,,-56.8,-40.0,-29.2,-45.5,-23.3,-39.2,,-58.9,-49.9,-30.0,,226.0,,-55.0,-48.6,-50.0,-37.4,-15.4,-52.5,-53.0,-45.0,,True,True,True,,True,True,,,False,True,True,True,True,True,,False,True,True,,False,,False,True,True,True,True,False,False,True,
District of Columbia,584,596.6,598.0,598.0,596.0,,583.5,596.0,601.5,,597.7,603.0,595.2,608.8,570.5,,,587.8,601.8,607.0,,785.3,,600.0,595.1,598.0,,602.7,605.9,594.0,594.2,,12.6,14.0,14.0,12.0,,-0.5,12.0,17.5,,13.7,19.0,11.2,24.8,-13.5,,,3.8,17.8,23.0,,201.3,,16.0,11.1,14.0,,18.7,21.9,10.0,10.2,,False,False,True,,True,True,False,,False,False,True,False,False,,,True,False,False,,False,,False,True,False,,False,False,True,True,
Florida,7022,6356.3,6290.9,6744.0,7017.0,,7018.4,7234.0,6833.4,,6460.9,6778.0,6143.0,6503.0,5041.4,6565.5,,6218.5,6505.2,6761.0,,27929.1,,6658.0,6357.0,6735.0,6578.8,8868.7,6560.4,7672.0,6691.8,5913.0,-665.7,-731.1,-278.0,-5.0,,-3.6,212.0,-188.6,,-561.1,-244.0,-879.0,-519.0,-1980.6,-456.5,,-803.5,-516.8,-261.0,,20907.1,,-364.0,-665.0,-287.0,-443.2,1846.7,-461.6,650.0,-330.2,-1109.0,False,True,True,,True,True,True,,True,True,False,True,False,True,,False,True,True,,False,,True,True,True,True,False,True,True,True,False
Georgia,3825,3491.6,3515.0,3571.0,3528.0,,3766.1,3961.0,3431.0,3863.3,3427.4,3450.0,3613.3,3411.8,3451.7,3744.5,,3235.0,3599.9,3418.0,,8313.9,,3439.0,3574.4,3576.0,3405.7,4083.2,3635.0,3404.5,3556.7,3421.0,-333.4,-310.0,-254.0,-297.0,,-58.9,136.0,-394.0,38.3,-397.6,-375.0,-211.7,-413.2,-373.3,-80.5,,-590.0,-225.1,-407.0,,4488.9,,-386.0,-250.6,-249.0,-419.3,258.2,-190.0,-420.5,-268.3,-404.0,True,True,True,,True,True,False,True,False,False,True,False,False,True,,False,True,False,,False,,False,True,True,False,True,True,False,True,False
Hawaii,26,33.3,34.0,28.0,24.0,,25.6,26.0,,,20.5,,34.9,26.2,21.1,27.3,,29.9,31.5,,,0.0,,32.0,31.2,29.0,,30.7,32.2,30.0,25.6,,7.3,8.0,2.0,-2.0,,-0.4,0.0,,,-5.5,,8.9,0.2,-4.9,1.3,,3.9,5.5,,,-26.0,,6.0,5.2,3.0,,4.7,6.2,4.0,-0.4,,False,True,True,,True,True,,,True,,False,True,True,True,,True,True,,,False,,True,True,True,,True,True,True,True,
Idaho,197,150.6,153.0,164.0,149.0,,206.6,173.0,164.3,,138.8,149.0,187.3,151.5,134.8,146.8,,145.9,163.7,161.0,,174.1,,174.0,145.9,158.0,,195.8,168.1,216.0,164.3,,-46.4,-44.0,-33.0,-48.0,,9.6,-24.0,-32.7,,-58.2,-48.0,-9.7,-45.5,-62.2,-50.2,,-51.1,-33.3,-36.0,,-22.9,,-23.0,-51.1,-39.0,,-1.2,-28.9,19.0,-32.7,,True,True,False,,True,True,True,,False,False,True,True,False,False,,False,True,True,,True,,True,False,True,,True,True,True,True,
Illinois,7700,7673.7,7711.0,7762.0,7754.0,,7496.8,7534.0,7948.0,,7556.2,7754.0,7676.9,7704.8,7838.7,7798.6,8166.0,7609.3,7746.5,7712.0,,8588.2,,7730.0,7696.6,7701.0,7840.5,7778.4,8102.8,7662.0,7666.9,7259.0,-26.3,11.0,62.0,54.0,,-203.2,-166.0,248.0,,-143.8,54.0,-23.1,4.8,138.7,98.6,466.0,-90.7,46.5,12.0,,888.2,,30.0,-3.4,1.0,140.5,78.4,402.8,-38.0,-33.1,-441.0,True,False,False,,False,False,False,,False,False,True,True,False,False,False,False,False,True,,False,,False,True,True,False,False,False,False,False,False
Indiana,2971,2937.1,2948.0,2973.0,2900.0,,2915.5,2946.0,2977.1,,2815.0,2845.0,2840.9,2990.5,3107.9,3176.1,3023.0,2901.2,2976.1,2889.0,,3979.4,,2975.0,2935.3,3011.0,2921.3,3137.8,3057.6,3018.0,2955.1,2993.0,-33.9,-23.0,2.0,-71.0,,-55.5,-25.0,6.1,,-156.0,-126.0,-130.1,19.5,136.9,205.1,52.0,-69.8,5.1,-82.0,,1008.4,,4.0,-35.7,40.0,-49.7,166.8,86.6,47.0,-15.9,22.0,True,True,False,,False,True,True,,False,False,False,True,False,False,False,False,True,False,,False,,True,False,False,False,False,False,False,True,True
Iowa,874,869.1,871.0,863.0,864.0,,879.7,862.0,862.9,,837.1,814.0,910.2,832.4,851.0,914.5,,823.4,881.7,805.0,,1022.7,,889.0,857.3,861.0,850.1,957.2,870.4,890.0,854.7,,-4.9,-3.0,-11.0,-10.0,,5.7,-12.0,-11.1,,-36.9,-60.0,36.2,-41.6,-23.0,40.5,,-50.6,7.7,-69.0,,148.7,,15.0,-16.7,-13.0,-23.9,83.2,-3.6,16.0,-19.3,,True,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,True,False,False,
Kansas,358,331.3,334.0,343.0,369.0,,394.1,332.0,,,326.6,345.0,397.1,332.0,351.5,334.3,,330.9,337.9,318.0,,275.7,,317.0,330.6,339.0,,401.0,333.2,351.0,339.7,,-26.7,-24.0,-15.0,11.0,,36.1,-26.0,,,-31.4,-13.0,39.1,-26.0,-6.5,-23.7,,-27.1,-20.1,-40.0,,-82.3,,-41.0,-27.4,-19.0,,43.0,-24.8,-7.0,-18.3,,True,True,True,,False,True,,,False,True,False,True,True,True,,False,True,False,,False,,False,False,True,,False,True,True,True,
Kentucky,740,753.6,757.0,757.0,707.0,,704.7,772.0,798.4,,756.1,696.0,814.8,812.9,868.3,750.6,774.5,734.7,792.1,707.0,,209.6,,699.0,750.0,795.0,713.3,800.5,818.8,806.0,766.9,,13.6,17.0,17.0,-33.0,,-35.3,32.0,58.4,,16.1,-44.0,74.8,72.9,128.3,10.6,34.5,-5.3,52.1,-33.0,,-530.4,,-41.0,10.0,55.0,-26.7,60.5,78.8,66.0,26.9,,False,False,False,,False,False,False,,False,False,False,False,False,True,False,True,False,False,,False,,False,True,False,False,False,False,False,False,
Louisiana,3949,3778.9,3720.4,3814.0,3719.0,,3730.1,4028.0,3828.1,,3829.9,3772.0,3754.7,3810.0,3650.0,3906.4,,3655.9,3779.8,3558.0,,894.6,,3912.0,3793.6,3898.0,,3993.3,3623.6,3890.0,3878.9,3713.0,-170.1,-228.6,-135.0,-230.0,,-218.9,79.0,-120.9,,-119.1,-177.0,-194.3,-139.0,-299.0,-42.6,,-293.1,-169.2,-391.0,,-3054.4,,-37.0,-155.4,-51.0,,44.3,-325.4,-59.0,-70.1,-236.0,False,True,False,,False,True,True,,True,False,False,True,False,True,,False,True,False,,False,,True,True,True,,True,False,True,True,False
Maine,123,122.6,127.0,123.0,116.0,,117.6,120.0,124.5,,122.1,124.0,130.2,119.6,123.5,121.1,,119.0,125.5,120.0,,66.3,,122.0,121.5,123.0,,127.5,123.0,128.0,122.7,,-0.4,4.0,0.0,-7.0,,-5.4,-3.0,1.5,,-0.9,1.0,7.2,-3.4,0.5,-1.9,,-4.0,2.5,-3.0,,-56.7,,-1.0,-1.5,0.0,,4.5,0.0,5.0,-0.3,,False,True,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,,False,False,True,,False,True,False,True,
Maryland,3506,3484.7,3484.2,3531.0,3542.0,,3449.4,3443.0,3586.9,,3568.9,3540.0,3548.3,3550.8,3501.9,3752.4,,3480.5,3529.2,3456.0,,2223.8,,3520.0,3481.5,3545.0,3460.0,3628.9,3561.8,3573.0,3505.7,3520.0,-21.3,-21.8,25.0,36.0,,-56.6,-63.0,80.9,,62.9,34.0,42.3,44.8,-4.1,246.4,,-25.5,23.2,-50.0,,-1282.2,,14.0,-24.5,39.0,-46.0,122.9,55.8,67.0,-0.3,14.0,False,False,False,,False,False,False,,False,False,False,False,True,False,,False,False,False,,False,,True,False,False,False,False,False,False,True,True
Massachusetts,8626,8627.9,8645.4,8618.0,8570.0,,8373.7,8493.0,8745.0,,8799.2,8535.0,8558.6,8757.6,8318.9,8708.6,,8554.3,8677.4,8536.0,,8662.1,,8686.0,8606.3,8611.0,8613.3,8618.3,8635.5,8744.5,8605.2,8556.0,1.9,19.4,-8.0,-56.0,,-252.3,-133.0,119.0,,173.2,-91.0,-67.4,131.6,-307.1,82.6,,-71.7,51.4,-90.0,,36.1,,60.0,-19.7,-15.0,-12.7,-7.7,9.5,118.5,-20.8,-70.0,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,,False,False,False,False,False,False,False,False,False
Michigan,6457,6462.6,6468.9,6533.0,6521.0,,6428.8,6554.0,6615.4,,6615.6,6543.0,6550.8,6526.8,6877.7,6994.6,6580.0,6529.6,6494.0,6402.0,,7315.8,,6441.0,6459.2,6527.0,6458.5,6709.5,6583.8,6501.0,6499.1,6529.0,5.6,11.9,76.0,64.0,,-28.2,97.0,158.4,,158.6,86.0,93.8,69.8,420.7,537.6,123.0,72.6,37.0,-55.0,,858.8,,-16.0,2.2,70.0,1.5,252.5,126.8,44.0,42.1,72.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,True,False,True,False,False,False,False,False
Minnesota,1646,1657.1,1660.0,1662.0,1664.0,,1709.2,1661.0,1661.5,,1626.0,1678.0,1691.5,1659.6,1721.5,1673.3,1712.5,1612.7,1672.8,1629.0,,,,1672.0,1653.8,1661.0,1649.0,1675.4,1662.2,1637.0,1668.3,,11.1,14.0,16.0,18.0,,63.2,15.0,15.5,,-20.0,32.0,45.5,13.6,75.5,27.3,66.5,-33.3,26.8,-17.0,,,,26.0,7.8,15.0,3.0,29.4,16.2,-9.0,22.3,,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,,,False,True,False,True,False,False,True,False,
