,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1603,1172.0,939.5,670.0,1043.7,999.7,1729.0,-431.0,-663.5,-933.0,-559.3,-603.3,126.0,False,False,False,False,True
Alaska,24,10.0,11.3,,11.4,11.8,12.2,-14.0,-12.7,,-12.6,-12.2,-11.8,True,,True,True,True
Arizona,3747,1993.7,1807.5,1486.0,1889.8,1711.0,3611.4,-1753.3,-1939.5,-2261.0,-1857.2,-2036.0,-135.6,False,False,False,False,True
Arkansas,458,293.4,247.8,654.0,300.9,269.6,229.2,-164.6,-210.2,196.0,-157.1,-188.4,-228.8,False,False,True,False,False
California,9345,8820.6,5830.4,6568.0,6614.9,7612.4,9401.2,-525.4,-3515.6,-2778.0,-2731.1,-1733.6,55.2,False,False,False,False,True
Colorado,1844,2485.3,1727.0,1989.0,2390.0,1865.7,3407.2,641.3,-117.0,145.0,546.0,21.7,1563.2,True,True,True,True,False
Connecticut,4432,6502.3,4603.8,4198.0,5010.7,4040.3,5003.7,2070.3,171.8,-234.0,578.7,-391.7,571.7,True,True,True,True,True
Delaware,585,680.9,454.1,435.0,479.2,408.2,814.9,95.9,-130.9,-150.0,-105.8,-176.8,229.9,False,False,False,False,False
District of Columbia,585,915.0,552.9,674.0,892.6,567.8,737.3,330.0,-32.1,89.0,307.6,-17.2,152.3,True,True,True,True,True
Florida,7022,4839.3,2907.5,2988.0,4034.7,2784.8,5668.4,-2182.7,-4114.5,-4034.0,-2987.3,-4237.2,-1353.6,False,False,False,False,True
Georgia,3825,3966.0,2437.3,2448.0,2430.2,2130.5,4291.3,141.0,-1387.7,-1377.0,-1394.8,-1694.5,466.3,False,False,False,False,False
Hawaii,26,17.0,18.1,,19.3,19.0,23.5,-9.0,-7.9,,-6.7,-7.0,-2.5,True,,True,True,True
Idaho,197,138.1,107.7,87.0,97.6,91.2,98.8,-58.9,-89.3,-110.0,-99.4,-105.8,-98.2,False,False,False,False,False
Illinois,7700,11549.0,7378.6,7742.0,8858.3,7016.5,13572.0,3849.0,-321.4,42.0,1158.3,-683.5,5872.0,True,True,True,True,False
Indiana,2971,4193.9,2587.7,2797.0,2673.8,2744.6,5541.3,1222.9,-383.3,-174.0,-297.2,-226.4,2570.3,True,True,True,True,False
Iowa,874,1491.0,655.3,698.0,846.1,543.0,2080.7,617.0,-218.7,-176.0,-27.9,-331.0,1206.7,True,True,True,True,False
Kansas,358,303.6,319.0,372.0,348.8,224.0,303.7,-54.4,-39.0,14.0,-9.2,-134.0,-54.3,True,True,True,False,True
Kentucky,740,952.9,511.8,479.0,684.6,783.6,774.9,212.9,-228.2,-261.0,-55.4,43.6,34.9,False,False,True,True,True
Louisiana,3949,4662.4,3184.4,3886.0,3234.5,2911.1,3764.3,713.4,-764.6,-63.0,-714.5,-1037.9,-184.7,False,True,False,False,True
Maine,123,156.9,130.7,236.0,100.1,158.6,107.4,33.9,7.7,113.0,-22.9,35.6,-15.6,True,False,True,False,True
Maryland,3506,5086.3,3692.4,3502.0,3974.1,3878.9,4866.1,1580.3,186.4,-4.0,468.1,372.9,1360.1,True,True,True,True,True
Massachusetts,8626,12039.9,7899.4,8452.0,9144.3,7007.8,9395.6,3413.9,-726.6,-174.0,518.3,-1618.2,769.6,True,True,True,True,True
Michigan,6457,8549.9,5991.3,6156.0,6346.5,5870.3,6591.9,2330.9,-227.7,-63.0,127.5,-348.7,372.9,True,True,True,True,True
Minnesota,1646,2327.0,1817.1,5502.0,1806.5,1321.3,2932.4,681.0,171.1,3856.0,160.5,-324.7,1286.4,True,False,True,True,False
Mississippi,1693,1650.1,1239.8,976.0,1021.7,946.4,2619.0,-42.9,-453.2,-717.0,-671.3,-746.6,926.0,False,False,False,False,False
Missouri,1276,1533.7,835.1,1045.0,1455.4,913.2,2266.9,339.7,-358.9,-149.0,261.4,-280.8,1072.9,False,True,True,True,False
Montana,61,16.0,17.0,17.0,21.0,17.5,19.7,-45.0,-44.0,-44.0,-40.0,-43.5,-41.3,True,True,True,True,True
Nebraska,332,383.6,368.1,410.0,358.1,166.1,587.8,51.6,36.1,78.0,26.1,-165.9,255.8,True,False,True,False,False
Nevada,832,675.7,468.2,586.0,553.6,550.8,701.7,-156.3,-363.8,-246.0,-278.4,-281.2,-130.3,False,False,False,False,True
New Hampshire,416,573.7,247.5,319.0,463.0,367.0,918.4,157.7,-168.5,-97.0,47.0,-49.0,502.4,False,True,True,True,False
New Jersey,15830,18777.3,12629.5,13160.0,14038.5,11642.4,14989.8,4736.3,-1411.5,-881.0,-2.5,-2398.6,948.8,True,True,True,True,True
New Mexico,651,829.6,425.9,476.0,621.8,538.5,1115.0,178.6,-225.1,-175.0,-29.2,-112.5,464.0,False,True,True,True,False
New York,32684,38101.1,32179.9,32434.0,32068.3,29347.3,32681.2,6401.1,479.9,734.0,368.3,-2352.7,981.2,True,True,True,True,True
North Carolina,1979,1750.0,1487.5,1484.0,1744.4,1945.9,1870.8,-229.0,-491.5,-495.0,-234.6,-33.1,-108.2,False,False,False,True,True
North Dakota,103,151.6,112.1,802.0,101.4,120.9,198.6,48.6,9.1,699.0,-1.6,17.9,95.6,True,False,True,True,False
Ohio,3515,5359.9,3010.7,2564.0,3165.7,3512.8,6805.8,1844.9,-504.3,-951.0,-349.3,-2.2,3290.8,True,True,True,True,False
Oklahoma,549,537.7,394.2,789.0,389.4,522.0,458.3,-11.3,-154.8,240.0,-159.6,-27.0,-90.7,False,False,False,False,False
Oregon,325,256.4,181.7,159.0,217.5,254.9,207.0,-68.6,-143.3,-166.0,-107.5,-70.1,-118.0,False,False,False,False,False
Pennsylvania,7219,11454.4,6283.6,5823.0,8033.7,5700.1,9633.1,4235.4,-935.4,-1396.0,814.7,-1518.9,2414.1,True,True,True,True,True
Rhode Island,1020,1682.4,738.0,856.0,952.5,621.1,1495.2,673.4,-271.0,-153.0,-56.5,-387.9,486.2,True,True,True,True,True
South Carolina,1751,927.9,591.6,624.0,880.7,708.9,1299.9,-823.1,-1159.4,-1127.0,-870.3,-1042.1,-451.1,False,False,False,False,True
South Dakota,134,109.1,120.5,273.0,80.1,63.6,230.7,-24.9,-13.5,139.0,-53.9,-70.4,96.7,True,False,False,False,False
Tennessee,1067,710.6,655.3,657.0,444.8,533.9,625.3,-356.4,-411.7,-410.0,-622.2,-533.1,-441.7,False,False,False,False,False
Texas,7582,3351.6,2881.6,4415.0,2788.9,3024.8,5231.4,-4143.4,-4613.4,-3080.0,-4706.1,-4470.2,-2263.6,False,True,False,False,True
Utah,310,264.6,268.0,123.0,220.8,187.1,384.7,-45.4,-42.0,-187.0,-89.2,-122.9,74.7,True,False,False,False,False
Vermont,57,54.0,56.4,55.0,70.0,56.3,64.5,-3.0,-0.6,-2.0,13.0,-0.7,7.5,True,True,False,True,False
Virginia,2215,2758.0,1922.3,1709.0,1975.5,2190.5,2674.4,543.0,-292.7,-506.0,-239.5,-24.5,459.4,True,True,True,True,True
Washington,1592,1652.4,1270.9,1238.0,1260.5,1271.9,1408.2,60.4,-321.1,-354.0,-331.5,-320.1,-183.8,False,False,False,False,False
West Virginia,116,121.3,92.0,75.0,139.5,132.2,111.4,5.3,-24.0,-41.0,23.5,16.2,-4.6,False,False,False,False,True
Wisconsin,981,1071.9,839.3,1102.0,842.0,1121.9,902.1,144.9,-87.7,175.0,-85.0,194.9,-24.9,True,False,True,False,True
Wyoming,26,51.4,21.9,13.0,14.3,56.5,27.1,25.4,-4.1,-13.0,-11.7,30.5,1.1,True,True,True,False,True
US,155202,178134.6,125349.9,134328.0,129723.6,121486.4,174672.0,26176.6,-26608.1,-17630.0,-22234.4,-30471.6,22714.0,False,True,True,False,True
