,mean_rank
COVIDhub-ensemble,8.0
OliverWyman-Navigator,8.6
UMass-MechBayes,9.0
Covid19Sim-Simulator,10.0
LANL-GrowthRate,10.3
USACE-ERDC_SEIR,10.4
YYG-ParamSearch,10.5
CovidAnalytics-DELPHI,11.2
USC-SI_kJalpha,11.5
Auquan-SEIR,12.3
UCLA-SuEIR,13.2
MOBS-GLEAM_COVID,13.3
IHME-CurveFit,13.5
UA-EpiCovDA,13.6
COVIDhub-baseline,13.8
UT-Mobility,13.8
IowaStateLW-STEM,13.9
NotreDame-mobility,14.2
CU-select,14.6
GT-DeepCOVID,15.5
RobertWalraven-ESG,16.4
CovidActNow-SEIR_CAN,16.7
PSI-DRAFT,16.9
MITCovAlliance-SIR,16.9
JHU_IDD-CovidSP,17.0
