,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1603,1346.4,1341.0,1359.2,1463.7,2083.0,,1389.6,1758.5,1804.0,,,1515.6,1239.0,1608.4,1321.7,1607.5,1404.8,,1276.9,1662.9,1280.5,,1039.8,,1345.0,1335.8,1444.0,,1591.2,1697.7,1479.0,1436.2,1490.3,-256.6,-262.0,-243.8,-139.3,480.0,,-213.4,155.5,201.0,,,-87.4,-364.0,5.4,-281.3,4.5,-198.2,,-326.1,59.9,-322.5,,-563.2,,-258.0,-267.2,-159.0,,-11.8,94.7,-124.0,-166.8,-112.7,False,True,True,False,,True,True,True,,,True,False,True,False,True,True,,False,True,False,,False,,False,False,True,,True,True,True,True,True
Alaska,24,23.7,23.0,24.0,28.5,27.0,,23.2,137.4,21.0,21.4,,13.6,,39.1,26.8,13.9,30.1,,41.2,32.5,16.0,,22.5,,22.0,17.6,40.0,,35.5,63.8,52.0,23.3,,-0.3,-1.0,0.0,4.5,3.0,,-0.8,113.4,-3.0,-2.6,,-10.4,,15.1,2.8,-10.1,6.1,,17.2,8.5,-8.0,,-1.5,,-2.0,-6.4,16.0,,11.5,39.8,28.0,-0.7,,False,True,False,False,,False,False,False,False,,False,,False,False,False,False,,False,False,False,,False,,False,False,False,,False,False,False,False,
Arizona,3747,2716.0,3123.0,2765.0,3029.8,4982.0,,3821.4,6290.1,4551.0,2607.5,,3023.8,3739.0,3080.7,2736.0,1919.2,2854.8,,2797.3,3095.7,2478.5,,2512.7,,2274.0,2763.9,3106.0,,3343.2,3180.6,2942.0,3099.6,3134.7,-1031.0,-624.0,-982.0,-717.2,1235.0,,74.4,2543.1,804.0,-1139.5,,-723.2,-8.0,-666.3,-1011.0,-1827.8,-892.2,,-949.7,-651.3,-1268.5,,-1234.3,,-1473.0,-983.1,-641.0,,-403.8,-566.4,-805.0,-647.4,-612.3,True,True,True,False,,True,False,True,False,,True,True,True,True,False,True,,True,True,False,,False,,False,True,True,,True,True,True,True,True
Arkansas,458,375.7,408.0,394.1,441.9,469.0,,483.3,737.1,526.0,319.3,,425.4,613.0,511.2,411.4,346.4,471.8,,428.1,454.9,434.0,,416.9,,316.0,372.6,406.0,,471.0,451.9,440.0,448.7,,-82.3,-50.0,-63.9,-16.1,11.0,,25.3,279.1,68.0,-138.7,,-32.6,155.0,53.2,-46.6,-111.6,13.8,,-29.9,-3.1,-24.0,,-41.1,,-142.0,-85.4,-52.0,,13.0,-6.1,-18.0,-9.3,,True,True,True,True,,True,False,True,False,,True,False,True,True,False,True,,True,True,True,,True,,False,False,True,,True,True,True,True,
California,9345,8074.0,7873.0,8074.0,8621.3,10460.0,,8734.2,16309.8,10625.0,8484.8,,8838.4,8566.0,10853.8,9344.2,11070.4,8019.9,,7568.2,8059.1,7682.0,,8042.0,,7486.0,8043.8,8726.0,,9597.0,9504.5,8508.5,8265.9,8233.3,-1271.0,-1472.0,-1271.0,-723.7,1115.0,,-610.8,6964.8,1280.0,-860.2,,-506.6,-779.0,1508.8,-0.8,1725.4,-1325.1,,-1776.8,-1285.9,-1663.0,,-1303.0,,-1859.0,-1301.2,-619.0,,252.0,159.5,-836.5,-1079.1,-1111.7,False,True,True,True,,True,False,False,True,,True,True,False,True,False,False,,False,False,False,,False,,False,False,True,,True,True,True,True,True
Colorado,1844,1797.4,1861.0,1825.7,1845.7,1803.0,,1847.2,1850.5,1862.0,1822.6,,1772.6,1798.0,2074.1,1823.4,1818.2,1886.0,,1838.7,1846.2,1812.0,,1853.2,,1724.0,1828.5,1800.0,,1879.0,1910.2,1760.0,1875.2,,-46.6,17.0,-18.3,1.7,-41.0,,3.2,6.5,18.0,-21.4,,-71.4,-46.0,230.1,-20.6,-25.8,42.0,,-5.3,2.2,-32.0,,9.2,,-120.0,-15.5,-44.0,,35.0,66.2,-84.0,31.2,,True,True,True,True,,True,True,True,True,,False,True,False,True,True,True,,True,True,True,,True,,False,True,True,,True,False,False,True,
Connecticut,4432,4408.3,4542.0,4511.8,4433.7,4465.0,,4438.5,4376.9,4402.0,4488.8,,4467.8,4743.0,4536.9,4408.0,4555.7,4500.4,,4400.7,4417.0,4487.0,,4587.3,,4350.0,4453.8,4371.0,,4412.5,4448.0,4413.0,4449.6,,-23.7,110.0,79.8,1.7,33.0,,6.5,-55.1,-30.0,56.8,,35.8,311.0,104.9,-24.0,123.7,68.4,,-31.3,-15.0,55.0,,155.3,,-82.0,21.8,-61.0,,-19.5,16.0,-19.0,17.6,,False,False,True,False,,True,False,False,False,,False,False,False,False,False,False,,False,True,False,,False,,False,True,False,,True,True,True,True,
Delaware,600,531.3,648.0,542.2,569.9,691.0,,571.6,544.1,585.0,,,553.2,576.0,683.4,579.3,536.0,587.1,,520.1,556.0,577.5,,537.3,,541.0,583.3,582.0,,546.2,790.0,547.0,557.9,,-9.7,107.0,1.2,28.9,150.0,,30.6,3.1,44.0,,,12.2,35.0,142.4,38.3,-5.0,46.1,,-20.9,15.0,36.5,,-3.7,,0.0,42.3,41.0,,5.2,249.0,6.0,16.9,,False,True,False,False,,False,True,False,,,False,False,False,False,True,False,,False,False,False,,True,,True,False,False,,True,False,True,False,
District of Columbia,585,593.7,607.0,595.1,590.8,585.0,,579.1,611.1,580.0,590.9,,603.7,628.0,647.1,590.3,553.3,,,582.8,586.8,572.5,,593.9,,584.0,600.0,583.0,,587.3,590.6,592.0,597.3,,8.7,22.0,10.1,5.8,0.0,,-5.9,26.1,-5.0,5.9,,18.7,43.0,62.1,5.3,-31.7,,,-2.2,1.8,-12.5,,8.9,,-1.0,15.0,-2.0,,2.3,5.6,7.0,12.3,,False,False,True,True,,True,False,True,True,,False,False,False,True,False,,,True,True,False,,False,,True,False,True,,True,True,True,False,
Florida,7022,4934.4,5141.0,4949.3,5823.6,9911.0,,8689.1,13864.5,9224.0,,,5980.3,4702.0,5986.9,5332.5,5691.3,4774.8,,4615.3,6092.3,4364.0,,4693.6,,5428.0,5178.5,7812.0,,8204.8,9154.5,5999.5,5345.0,5143.0,-2087.6,-1881.0,-2072.7,-1198.4,2889.0,,1667.1,6842.5,2202.0,,,-1041.7,-2320.0,-1035.1,-1689.5,-1330.7,-2247.2,,-2406.7,-929.7,-2658.0,,-2328.4,,-1594.0,-1843.5,790.0,,1182.8,2132.5,-1022.5,-1677.0,-1879.0,True,True,True,False,,True,False,False,,,True,False,True,True,True,False,,False,True,False,,False,,True,True,True,,True,False,True,True,True
