,mean_rank
COVIDhub-ensemble,10.8
UA-EpiCovDA,11.1
JCB-PRM,11.3
YYG-ParamSearch,11.3
DDS-NBDS,11.4
OliverWyman-Navigator,11.9
Geneva-DetGrowth,13.0
UMass-MechBayes,13.0
CMU-TimeSeries,13.0
COVIDhub-baseline,13.1
UT-Mobility,13.3
USC-SI_kJalpha,13.3
UCLA-SuEIR,13.7
LNQ-ens1,14.2
CovidAnalytics-DELPHI,14.7
Karlen-pypm,14.8
MOBS-GLEAM_COVID,15.5
GT-DeepCOVID,15.7
JHU_IDD-CovidSP,16.5
CU-select,16.6
LANL-GrowthRate,16.7
IowaStateLW-STEM,16.8
USACE-ERDC_SEIR,17.3
PSI-DRAFT,17.6
IHME-CurveFit,19.2
Covid19Sim-Simulator,19.2
RobertWalraven-ESG,19.6
NotreDame-mobility,20.0
MITCovAlliance-SIR,20.1
