,actual_deaths,Baseline,IHME-CurveFit,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR
Alabama,1603,1614.3,1553.7,774.2,11.3,-49.3,-828.8,False,False
Alaska,24,21.9,5.0,14.7,-2.1,-19.0,-9.3,False,False
Arizona,3747,2599.1,2987.2,1184.1,-1147.9,-759.8,-2562.9,True,False
Arkansas,458,268.9,213.3,298.4,-189.1,-244.7,-159.6,False,True
California,9345,8644.6,6086.4,7182.8,-700.4,-3258.6,-2162.2,False,False
Colorado,1844,2500.6,1676.0,1844.1,656.6,-168.0,0.1,True,True
Connecticut,4432,9263.1,4574.7,4449.9,4831.1,142.7,17.9,True,True
Delaware,585,742.7,412.8,462.7,157.7,-172.2,-122.3,False,True
District of Columbia,585,1176.7,536.4,581.5,591.7,-48.6,-3.5,True,True
Florida,7022,5776.1,5439.7,2767.5,-1245.9,-1582.3,-4254.5,False,False
Georgia,3825,4038.3,3596.1,2857.5,213.3,-228.9,-967.5,False,False
Hawaii,26,17.0,19.0,25.5,-9.0,-7.0,-0.5,True,True
Idaho,197,102.6,75.1,112.8,-94.4,-121.9,-84.2,False,True
Illinois,7700,12749.4,7395.4,6797.9,5049.4,-304.6,-902.1,True,True
Indiana,2971,5966.3,4091.2,2780.8,2995.3,1120.2,-190.2,True,True
Iowa,874,1225.4,914.7,2346.0,351.4,40.7,1472.0,True,False
Kansas,358,529.7,411.4,1043.9,171.7,53.4,685.9,True,False
Kentucky,740,908.7,703.0,724.0,168.7,-37.0,-16.0,True,True
Louisiana,3949,5534.9,3232.5,3508.2,1585.9,-716.5,-440.8,True,True
Maine,123,147.0,91.6,132.6,24.0,-31.4,9.6,False,True
Maryland,3506,5948.1,2606.4,3095.9,2442.1,-899.6,-410.1,True,True
Massachusetts,8626,16539.7,7544.9,7608.8,7913.7,-1081.1,-1017.2,True,True
Michigan,6457,10507.3,6216.6,6640.8,4278.3,-12.4,411.8,True,True
Minnesota,1646,2475.1,2073.3,1778.0,829.1,427.3,132.0,True,True
Mississippi,1693,1935.9,1235.8,770.4,242.9,-457.2,-922.6,False,False
Missouri,1276,1949.6,1983.6,845.9,775.6,809.6,-328.1,False,True
Montana,61,16.0,14.0,23.1,-45.0,-47.0,-37.9,False,True
Nebraska,332,232.3,218.1,846.8,-99.7,-113.9,514.8,False,False
Nevada,832,926.6,511.4,518.0,94.6,-320.6,-314.0,False,False
New Hampshire,416,690.3,227.8,291.9,274.3,-188.2,-124.1,True,True
New Jersey,15830,25678.1,14752.1,13969.1,11554.1,628.1,-154.9,True,True
New Mexico,651,781.0,381.7,349.7,130.0,-269.3,-301.3,False,False
New York,32684,49560.9,31620.5,38916.8,17862.9,-77.5,7218.8,True,True
North Carolina,1979,2105.4,1190.4,1004.7,126.4,-788.6,-974.3,False,False
North Dakota,103,153.6,80.9,101.2,50.6,-22.1,-1.8,True,True
Ohio,3515,4921.9,2959.6,2434.5,1406.9,-555.4,-1080.5,True,True
Oklahoma,549,675.1,470.2,487.5,126.1,-78.8,-61.5,True,True
Oregon,325,340.4,203.8,251.6,15.4,-121.2,-73.4,False,False
Pennsylvania,7219,16682.9,10742.4,5413.1,9463.9,3523.4,-1805.9,True,True
Rhode Island,1020,1631.4,675.0,886.7,669.4,-287.0,-75.3,True,True
South Carolina,1751,995.0,743.9,562.4,-756.0,-1007.1,-1188.6,False,False
South Dakota,134,188.1,166.8,69.7,54.1,32.8,-64.3,True,False
Tennessee,1067,634.3,506.8,536.5,-432.7,-560.2,-530.5,False,False
Texas,7582,3655.1,2567.1,2227.7,-3862.9,-4950.9,-5290.3,False,False
Utah,310,268.6,149.5,136.8,-41.4,-160.5,-173.2,False,False
Vermont,57,53.0,52.3,78.5,-4.0,-4.7,21.5,False,False
Virginia,2215,2961.4,1396.1,1886.3,746.4,-818.9,-328.7,False,True
Washington,1592,2081.1,1120.1,1405.7,489.1,-471.9,-186.3,True,True
West Virginia,116,125.1,78.6,88.1,9.1,-37.4,-27.9,False,False
Wisconsin,981,1123.3,672.8,1015.4,189.3,-261.2,81.4,False,True
Wyoming,26,7.0,6.0,18.9,-19.0,-20.0,-7.1,False,True
US,155202,219962.0,137183.7,130082.3,67951.0,-14827.3,-21928.7,True,True
