,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1603,1179.1,1079.8,1035.8,835.0,976.7,1177.6,1541.7,-423.9,-523.2,-567.2,-768.0,-626.3,-425.4,-61.3,False,False,False,False,False,True
Alaska,24,10.0,14.7,10.5,,10.9,11.1,11.1,-14.0,-9.3,-13.5,,-13.1,-12.9,-12.9,True,True,,True,True,True
Arizona,3747,2182.4,1430.2,4218.7,1752.0,2436.2,3182.3,2507.1,-1564.6,-2316.8,471.7,-1995.0,-1310.8,-564.7,-1239.9,False,True,False,True,True,True
Arkansas,458,319.0,346.0,802.7,287.0,342.6,480.9,388.4,-139.0,-112.0,344.7,-171.0,-115.4,22.9,-69.6,True,False,False,True,True,True
California,9345,8246.3,6878.9,8560.7,6579.0,6903.1,8679.2,9139.9,-1098.7,-2466.1,-784.3,-2766.0,-2441.9,-665.8,-205.1,False,True,False,False,True,True
Colorado,1844,2171.3,1732.7,2047.9,1722.0,2313.1,1708.5,2354.0,327.3,-111.3,203.9,-122.0,469.1,-135.5,510.0,True,True,True,False,True,False
Connecticut,4432,5068.9,4427.4,4310.3,4424.0,4933.2,4082.7,4831.0,636.9,-4.6,-121.7,-8.0,501.2,-349.3,399.0,True,True,True,True,True,True
Delaware,600,649.4,443.8,463.6,465.0,499.9,436.0,604.5,175.4,-30.2,-10.4,-9.0,25.9,-38.0,130.5,True,True,True,True,True,True
District of Columbia,585,669.7,546.7,586.4,646.0,784.2,562.1,635.0,84.7,-38.3,1.4,61.0,199.2,-22.9,50.0,True,True,True,False,True,True
Florida,7022,4656.4,3291.6,4277.5,3970.0,4338.7,3685.3,5317.8,-2365.6,-3730.4,-2744.5,-3052.0,-2683.3,-3336.7,-1704.2,False,False,False,False,False,True
Georgia,3825,3177.9,2700.6,4132.2,2617.0,2833.0,2625.7,3591.7,-647.1,-1124.4,307.2,-1208.0,-992.0,-1199.3,-233.3,False,True,False,False,False,True
Hawaii,26,17.0,17.7,18.7,,18.3,17.7,19.6,-9.0,-8.3,-7.3,,-7.7,-8.3,-6.4,True,True,,True,True,True
Idaho,197,90.9,114.6,143.1,84.0,91.9,84.5,96.5,-106.1,-82.4,-53.9,-113.0,-105.1,-112.5,-100.5,True,True,False,True,False,True
Illinois,7700,9942.6,6868.3,7346.6,7685.0,8565.6,6652.3,8924.2,2242.6,-831.7,-353.4,-15.0,865.6,-1047.7,1224.2,True,True,True,True,True,True
Indiana,2899,3630.9,2617.7,2924.2,2427.0,3042.6,2804.3,3949.0,676.9,-336.3,-29.8,-527.0,88.6,-149.7,995.0,True,True,True,True,True,False
Iowa,874,1155.0,794.8,1416.0,745.0,876.7,669.7,1269.8,281.0,-79.2,542.0,-129.0,2.7,-204.3,395.8,True,False,True,True,True,False
Kansas,358,374.4,293.3,448.6,328.0,296.8,231.4,342.8,16.4,-64.7,90.6,-30.0,-61.2,-126.6,-15.2,False,False,False,False,False,True
Kentucky,740,776.4,561.6,895.4,558.0,868.8,745.5,880.2,36.4,-178.4,155.4,-182.0,128.8,5.5,140.2,False,False,False,False,True,False
Louisiana,3949,4075.3,3205.2,3214.0,3240.0,3298.1,2901.0,3910.0,126.3,-743.8,-735.0,-709.0,-650.9,-1048.0,-39.0,False,False,False,False,False,True
Maine,123,177.6,129.0,265.3,122.0,110.8,167.0,136.9,54.6,6.0,142.3,-1.0,-12.2,44.0,13.9,True,False,True,True,True,True
Maryland,3506,4454.0,3510.2,3601.9,3710.0,4091.9,3616.3,4952.4,948.0,4.2,95.9,204.0,585.9,110.3,1446.4,True,True,True,True,True,False
Massachusetts,8626,11008.9,8151.9,8076.4,8798.0,8901.4,7360.5,8843.6,2382.9,-474.1,-549.6,172.0,275.4,-1265.5,217.6,True,True,True,True,True,True
Michigan,6457,9069.3,5991.6,6440.7,7174.0,6716.0,5725.8,6754.3,2644.3,-433.4,15.7,749.0,291.0,-699.2,329.3,True,True,True,True,True,True
Minnesota,1646,2352.0,1607.4,2146.5,1935.0,1804.9,1414.7,2898.3,706.0,-38.6,500.5,289.0,158.9,-231.3,1252.3,True,True,True,True,True,False
Mississippi,1693,1469.1,1024.4,1366.5,933.0,1129.8,1199.3,1685.8,-223.9,-668.6,-326.5,-760.0,-563.2,-493.7,-7.2,False,False,False,False,False,True
Missouri,1289,1121.4,948.8,1219.2,1027.0,1557.1,1111.5,1675.4,-124.6,-297.2,-26.8,-219.0,311.1,-134.5,429.4,False,True,False,False,False,False
Montana,61,25.9,19.6,18.8,18.0,20.9,16.3,21.0,-35.1,-41.4,-42.2,-43.0,-40.1,-44.7,-40.0,False,False,False,False,False,False
Nebraska,332,320.6,350.0,563.5,268.0,314.3,210.0,402.4,-11.4,18.0,231.5,-64.0,-17.7,-122.0,70.4,False,False,False,False,False,False
Nevada,832,603.0,514.4,636.5,561.0,581.9,578.6,699.8,-229.0,-317.6,-195.5,-271.0,-250.1,-253.4,-132.2,False,True,False,False,False,True
New Hampshire,416,608.1,300.4,480.8,311.0,496.7,367.7,614.8,192.1,-115.6,64.8,-105.0,80.7,-48.3,198.8,True,True,True,True,True,False
New Jersey,15830,15931.7,12690.6,13246.1,13606.0,13965.8,11881.1,14112.8,1941.7,-1299.4,-743.9,-384.0,-24.2,-2108.9,122.8,True,True,True,True,False,True
New Mexico,651,710.3,462.2,670.6,495.0,693.9,447.1,784.0,59.3,-188.8,19.6,-156.0,42.9,-203.9,133.0,False,True,False,True,False,False
New York,32684,35009.7,31762.8,31772.4,32479.0,31388.9,29583.7,32474.2,3177.7,-69.2,-59.6,647.0,-443.1,-2248.3,642.2,True,True,True,True,True,True
North Carolina,1979,1778.4,1790.6,2974.5,1548.0,1857.6,2753.2,2305.5,-200.6,-188.4,995.5,-431.0,-121.4,774.2,326.5,True,False,False,True,False,False
North Dakota,103,158.4,95.4,154.6,112.0,99.2,79.7,152.4,55.4,-7.6,51.6,9.0,-3.8,-23.3,49.4,True,True,True,True,True,True
Ohio,3185,4139.0,2790.1,3733.4,3051.0,3296.7,3060.2,4770.9,834.0,-514.9,428.4,-254.0,-8.3,-244.8,1465.9,True,True,True,True,True,False
