,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Alabama,1603,1329.7,1080.6,829.4,739.0,1103.0,1419.7,1686.2,-273.3,-522.4,-773.6,-864.0,-500.0,-183.3,83.2,False,False,False,False,True,True
Alaska,24,10.0,11.7,10.4,,11.5,9.7,11.5,-14.0,-12.3,-13.6,,-12.5,-14.3,-12.5,True,True,,True,False,True
Arizona,3747,1845.9,1248.0,2588.8,1543.0,1900.7,2260.3,2852.3,-1901.1,-2499.0,-1158.2,-2204.0,-1846.3,-1486.7,-894.7,False,True,False,True,True,True
Arkansas,458,283.6,289.5,580.8,505.0,263.2,326.1,341.5,-174.4,-168.5,122.8,47.0,-194.8,-131.9,-116.5,True,True,True,False,True,True
California,9345,7883.1,6390.8,12638.4,7263.0,8137.8,9576.9,8995.8,-1461.9,-2954.2,3293.4,-2082.0,-1207.2,231.9,-349.2,False,False,False,True,True,True
Colorado,1844,2445.9,1684.3,3412.6,1932.0,2356.7,1817.3,3037.5,601.9,-159.7,1568.6,88.0,512.7,-26.7,1193.5,True,False,True,True,True,False
Connecticut,4432,6167.1,4500.7,4250.7,4354.0,5008.9,4107.0,5038.0,1735.1,68.7,-181.3,-78.0,576.9,-325.0,606.0,True,True,True,True,True,True
Delaware,585,720.3,441.5,412.7,459.0,503.5,433.6,714.9,135.3,-143.5,-172.3,-126.0,-81.5,-151.4,129.9,False,False,True,True,False,True
District of Columbia,585,767.1,545.3,690.7,710.0,823.0,549.0,695.2,182.1,-39.7,105.7,125.0,238.0,-36.0,110.2,True,True,True,False,True,True
Florida,7022,4346.4,3079.8,3677.6,3306.0,4714.0,3315.5,5188.0,-2675.6,-3942.2,-3344.4,-3716.0,-2308.0,-3706.5,-1834.0,False,False,False,True,False,True
Georgia,3825,4054.7,2596.1,2753.2,2617.0,2804.3,2646.6,4716.9,229.7,-1228.9,-1071.8,-1208.0,-1020.7,-1178.4,891.9,False,False,False,False,False,False
Hawaii,26,17.0,17.8,17.5,,18.8,17.9,20.3,-9.0,-8.2,-8.5,,-7.2,-8.1,-5.7,True,True,,True,True,True
Idaho,197,108.6,112.3,97.6,86.0,93.9,87.1,99.2,-88.4,-84.7,-99.4,-111.0,-103.1,-109.9,-97.8,True,False,False,False,False,False
Illinois,7700,10119.7,6944.9,6369.0,7864.0,8572.2,6598.1,8720.4,2419.7,-755.1,-1331.0,164.0,872.2,-1101.9,1020.4,True,True,True,True,True,True
Indiana,2971,3533.4,2521.1,2348.7,2854.0,2713.8,2535.7,3944.1,562.4,-449.9,-622.3,-117.0,-257.2,-435.3,973.1,True,False,True,True,True,False
Iowa,874,1234.7,752.8,1035.8,756.0,849.2,608.9,1646.6,360.7,-121.2,161.8,-118.0,-24.8,-265.1,772.6,True,True,True,True,True,False
Kansas,358,303.6,289.4,226.8,324.0,302.0,230.3,322.8,-54.4,-68.6,-131.2,-34.0,-56.0,-127.7,-35.2,False,False,True,False,False,True
Kentucky,740,785.3,518.1,539.1,507.0,810.5,621.3,829.5,45.3,-221.9,-200.9,-233.0,70.5,-118.7,89.5,False,False,False,False,False,False
Louisiana,3949,3676.7,3171.9,2946.4,3199.0,3267.9,1911.4,3805.2,-272.3,-777.1,-1002.6,-750.0,-681.1,-2037.6,-143.8,False,False,False,False,False,True
Maine,123,186.4,126.7,166.1,278.0,102.7,179.8,122.4,63.4,3.7,43.1,155.0,-20.3,56.8,-0.6,True,True,False,True,True,True
Maryland,3506,4790.6,3540.3,2882.5,3760.0,4344.6,3434.6,5041.8,1284.6,34.3,-623.5,254.0,838.6,-71.4,1535.8,True,True,True,True,True,False
Massachusetts,8626,11044.3,7784.1,8987.5,8700.0,8809.4,7276.9,8837.5,2418.3,-841.9,361.5,74.0,183.4,-1349.1,211.5,True,True,True,True,True,True
Michigan,6457,7820.4,5961.2,5984.0,6108.0,6372.2,5270.8,6581.1,1603.4,-255.8,-233.0,-109.0,155.2,-946.2,364.1,True,True,True,True,True,True
Minnesota,1646,2573.4,1788.3,1706.4,5117.0,1837.9,1382.9,3039.5,927.4,142.3,60.4,3471.0,191.9,-263.1,1393.5,True,True,False,True,True,False
Mississippi,1693,1699.4,959.4,946.9,929.0,1122.6,1300.5,2149.1,6.4,-733.6,-746.1,-764.0,-570.4,-392.5,456.1,False,False,False,False,False,False
Missouri,1276,1573.1,853.2,994.0,1071.0,1471.8,1025.3,1961.2,335.1,-384.8,-244.0,-167.0,233.8,-212.7,723.2,False,True,True,True,True,False
Montana,61,25.9,18.2,16.0,17.0,20.7,15.2,20.4,-35.1,-42.8,-45.0,-44.0,-40.3,-45.8,-40.6,False,False,False,False,False,False
Nebraska,332,373.7,359.1,468.0,379.0,330.6,190.5,543.8,41.7,27.1,136.0,47.0,-1.4,-141.5,211.8,True,False,False,True,False,False
Nevada,832,744.7,499.0,689.6,626.0,603.7,552.1,732.2,-87.3,-333.0,-142.4,-206.0,-228.3,-279.9,-99.8,False,False,False,False,False,False
New Hampshire,416,563.9,279.3,349.6,282.0,457.7,372.3,750.1,147.9,-136.7,-66.4,-134.0,41.7,-43.7,334.1,True,True,True,True,True,False
New Jersey,15830,16658.0,12575.1,12576.1,13399.0,13999.5,11619.3,14181.8,2648.0,-1434.9,-1433.9,-611.0,-10.5,-2390.7,171.8,True,True,True,True,True,True
New Mexico,651,701.4,439.9,554.5,462.0,607.9,435.2,792.3,50.4,-211.1,-96.5,-189.0,-43.1,-215.8,141.3,False,False,False,True,False,False
