,actual_deaths,Baseline,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,1603,1632.4,1626.0,1626.0,1641.0,1696.0,,1491.7,1679.0,1705.5,1609.5,,1718.0,1595.5,1612.0,1601.2,1650.1,1616.3,1579.9,1632.1,1559.8,1645.7,,1511.7,1648.9,1660.0,,1560.1,,1690.0,1619.0,,1634.0,1579.9,1636.8,1623.0,1657.5,1661.0,1588.0,29.4,23.0,23.0,38.0,93.0,,-111.3,76.0,102.5,6.5,,115.0,-7.5,9.0,-1.8,47.1,13.3,-23.1,29.1,-43.2,42.7,,-91.3,45.9,57.0,,-42.9,,87.0,16.0,,31.0,-23.1,33.8,20.0,54.5,58.0,-15.0,True,True,False,False,,False,False,False,True,,False,True,True,True,False,True,True,True,False,False,,False,False,False,,False,,False,True,,False,True,False,True,False,False,True
Alaska,24,21.7,22.0,22.0,23.0,22.0,,25.5,25.0,23.6,21.9,,23.4,18.5,,23.8,27.9,25.6,23.3,20.3,23.1,21.8,,20.5,22.0,22.0,,20.5,,23.0,22.3,,23.0,,22.5,22.0,25.0,22.0,,-2.3,-2.0,-2.0,-1.0,-2.0,,1.5,1.0,-0.4,-2.1,,-0.6,-5.5,,-0.2,3.9,1.6,-0.7,-3.7,-0.9,-2.2,,-3.5,-2.0,-2.0,,-3.5,,-1.0,-1.7,,-1.0,,-1.5,-2.0,1.0,-2.0,,True,True,True,True,,True,True,True,True,,True,False,,True,False,True,True,False,True,True,,False,True,True,,False,,True,True,,True,,True,True,True,True,
Arizona,3747,3771.3,3826.0,3842.0,3748.0,3633.0,,3287.7,3631.0,4286.2,3850.2,,3986.2,3619.3,3821.0,3675.4,3612.4,3774.0,3684.9,3746.0,2993.9,3962.5,,3899.2,3745.5,3954.5,,3584.8,,3701.0,3804.0,,3696.0,3751.1,3724.3,3742.0,4072.5,3753.3,3654.0,24.3,79.0,95.0,1.0,-114.0,,-459.3,-116.0,539.2,103.2,,239.2,-127.7,74.0,-71.6,-134.6,27.0,-62.1,-1.0,-753.1,215.5,,152.2,-1.5,207.5,,-162.2,,-46.0,57.0,,-51.0,4.1,-22.7,-5.0,325.5,6.3,-93.0,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,,False,True,False,,False,,False,False,,False,True,True,True,False,True,False
Arkansas,458,438.7,442.0,441.0,441.0,473.0,,469.5,451.0,454.4,442.8,,443.7,438.3,421.0,454.0,475.8,435.0,430.0,438.8,428.9,445.1,,440.4,442.3,430.5,,,,445.0,440.7,,437.0,441.0,440.4,438.0,441.0,442.0,,-19.3,-16.0,-17.0,-17.0,15.0,,11.5,-7.0,-3.6,-15.2,,-14.3,-19.7,-37.0,-4.0,17.8,-23.0,-28.0,-19.2,-29.1,-12.9,,-17.6,-15.7,-27.5,,,,-13.0,-17.3,,-21.0,-17.0,-17.6,-20.0,-17.0,-16.0,,True,True,True,True,,True,True,True,True,,True,False,False,True,True,False,False,True,False,True,,True,True,False,,,,True,True,,False,True,True,False,True,True,
California,9345,9076.3,9118.0,9114.0,9158.0,9398.0,,8661.9,9424.0,9238.6,9156.3,,9179.9,9335.4,9400.0,9175.8,9291.9,9178.9,8828.6,9166.7,9388.1,9141.1,,8678.7,9119.4,9174.0,,8899.3,,9179.0,9112.2,8586.0,9085.0,9010.5,9415.2,9042.0,9253.5,9131.4,8757.0,-268.7,-227.0,-231.0,-187.0,53.0,,-683.1,79.0,-106.4,-188.7,,-165.1,-9.6,55.0,-169.2,-53.1,-166.1,-516.4,-178.3,43.1,-203.9,,-666.3,-225.6,-171.0,,-445.7,,-166.0,-232.8,-759.0,-260.0,-334.5,70.2,-303.0,-91.5,-213.6,-588.0,True,True,True,True,,False,True,True,True,,True,True,True,True,True,True,False,True,True,True,,False,True,True,,False,,True,True,False,True,False,True,False,True,True,False
Colorado,1844,1830.0,1836.0,1836.0,1836.0,1868.0,,1820.1,1854.0,1818.2,1849.7,,1836.3,1842.1,1850.0,1831.5,1837.6,1715.6,1829.0,1825.1,1909.5,1860.6,,1810.4,1837.7,1813.0,,1816.2,,1834.0,1840.6,,1831.0,,1886.8,1828.0,1835.5,1836.3,,-14.0,-8.0,-8.0,-8.0,24.0,,-23.9,10.0,-25.8,5.7,,-7.7,-1.9,6.0,-12.5,-6.4,-128.4,-15.0,-18.9,65.5,16.6,,-33.6,-6.3,-31.0,,-27.8,,-10.0,-3.4,,-13.0,,42.8,-16.0,-8.5,-7.7,,True,True,True,False,,False,True,False,True,,True,True,True,True,True,False,False,False,False,False,,False,True,False,,False,,True,True,,True,,False,False,True,True,
Connecticut,4432,4427.6,4426.0,4430.0,4428.0,4442.0,,4413.3,4419.0,4423.1,4448.9,,4430.7,4443.0,4442.0,4422.7,4432.1,4428.5,4458.3,4425.6,4428.6,4447.6,,4425.7,4433.5,4427.0,,4435.1,,4420.0,4419.8,,4428.0,4464.6,4459.6,4438.0,4424.0,4427.2,,-4.4,-6.0,-2.0,-4.0,10.0,,-18.7,-13.0,-8.9,16.9,,-1.3,11.0,10.0,-9.3,0.1,-3.5,26.3,-6.4,-3.4,15.6,,-6.3,1.5,-5.0,,3.1,,-12.0,-12.2,,-4.0,32.6,27.6,6.0,-8.0,-4.8,,False,True,True,False,,False,False,False,False,,True,False,False,False,True,True,False,False,True,False,,False,True,False,,True,,False,False,,True,False,False,False,False,False,
Delaware,585,627.0,635.0,635.0,592.0,600.0,,543.2,592.0,591.0,603.1,,832.8,528.5,588.0,588.3,594.0,582.9,584.6,592.7,553.8,598.5,,529.4,586.8,579.0,,585.4,,601.0,648.9,,640.0,,602.9,603.0,602.0,585.2,,42.0,50.0,50.0,7.0,15.0,,-41.8,7.0,6.0,18.1,,247.8,-56.5,3.0,3.3,9.0,-2.1,-0.4,7.7,-31.2,13.5,,-55.6,1.8,-6.0,,0.4,,16.0,63.9,,55.0,,17.9,18.0,17.0,0.2,,False,False,True,True,,True,True,True,True,,False,False,True,True,True,True,True,True,True,True,,False,True,True,,True,,True,False,,False,,True,True,True,True,
District of Columbia,585,583.6,584.0,584.0,586.0,595.0,,582.6,590.0,584.5,589.4,,584.2,594.4,583.0,585.4,588.5,589.5,594.9,583.1,577.5,,,587.9,584.0,583.0,,586.6,,585.0,582.3,,587.0,,595.3,584.0,589.0,585.4,,-1.4,-1.0,-1.0,1.0,10.0,,-2.4,5.0,-0.5,4.4,,-0.8,9.4,-2.0,0.4,3.5,4.5,9.9,-1.9,-7.5,,,2.9,-1.0,-2.0,,1.6,,0.0,-2.7,,2.0,,10.3,-1.0,4.0,0.4,,True,True,True,False,,False,False,True,False,,True,False,False,True,False,False,False,False,False,,,False,True,False,,False,,True,False,,False,,False,True,False,True,
Florida,7022,6601.4,6660.0,6659.0,6712.0,6911.0,,6373.5,6718.0,7216.5,6506.3,,6735.4,6428.5,6810.0,6705.0,6466.9,7306.3,6516.6,6696.1,5728.9,6794.8,,6425.5,6718.7,6977.0,,6469.3,,6774.0,6701.6,,6638.0,6423.0,6711.9,6617.0,7216.5,6654.8,6341.0,-420.6,-362.0,-363.0,-310.0,-111.0,,-648.5,-304.0,194.5,-515.7,,-286.6,-593.5,-212.0,-317.0,-555.1,284.3,-505.4,-325.9,-1293.1,-227.2,,-596.5,-303.3,-45.0,,-552.7,,-248.0,-320.4,,-384.0,-599.0,-310.1,-405.0,194.5,-367.2,-681.0,True,True,True,True,,False,True,True,False,,True,False,True,True,False,True,False,True,False,True,,False,True,True,,False,,True,True,,True,False,True,True,True,True,False
