,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,403019.0,405196,-2177.0,-0.5%
Covid19Sim-Simulator,402431.2,405196,-2764.8,-0.7%
OliverWyman-Navigator,416275.0,405196,11079.0,2.7%
Geneva-DetGrowth,362289.8,405196,-42906.2,-10.6%
USC-SI_kJalpha,357465.2,405196,-47730.8,-11.8%
Columbia_UNC-SurvCon,458708.0,405196,53512.0,13.2%
UCLA-SuEIR,346765.9,405196,-58430.1,-14.4%
COVIDhub-baseline,329177.0,405196,-76019.0,-18.8%
CovidAnalytics-DELPHI,310563.0,405196,-94633.0,-23.4%
USACE-ERDC_SEIR,307162.3,405196,-98033.7,-24.2%
JHU_IDD-CovidSP,291364.8,405196,-113831.2,-28.1%
UMich-RidgeTfReg,258992.0,405196,-146204.0,-36.1%
LANL-GrowthRate,248291.1,405196,-156904.9,-38.7%
RobertWalraven-ESG,39710.6,405196,-365485.5,-90.2%
CovidActNow-SEIR_CAN,,405196,,
