,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,9586,7779.0,,8090.3,8216.9,8224.0,8176.9,8446.0,5829.4,5409.1,9948.0,1074.0,8245.1,,7062.3,8401.5,-1807.0,,-1495.7,-1369.1,-1362.0,-1409.1,-1140.0,-3756.6,-4176.9,362.0,-8512.0,-1340.9,,-2523.7,-1184.5,,True,True,True,True,True,False,False,True,False,True,,False,True
Alaska,319,256.0,,209.2,357.6,126.0,336.6,,231.3,205.3,296.0,15.3,243.3,,248.9,392.7,-63.0,,-109.8,38.6,-193.0,17.6,,-87.7,-113.7,-23.0,-303.7,-75.7,,-70.1,73.7,,False,True,False,True,,False,False,True,False,False,,False,False
Arizona,25363,24443.0,,40016.1,28645.3,27599.0,27245.6,28882.0,11391.0,18012.4,31736.0,1664.2,23631.6,,26260.4,23920.5,-920.0,,14653.1,3282.3,2236.0,1882.6,3519.0,-13972.0,-7350.6,6373.0,-23698.8,-1731.4,,897.4,-1442.5,,False,False,False,False,False,False,False,False,False,False,,True,False
Arkansas,4655,3899.0,,5066.4,4649.0,4525.0,4264.1,3961.0,1989.1,2939.6,4693.0,450.6,4214.3,,4084.9,3693.1,-756.0,,411.4,-6.0,-130.0,-390.9,-694.0,-2665.9,-1715.4,38.0,-4204.4,-440.7,,-570.1,-961.9,,True,True,True,True,True,False,False,True,False,True,,True,False
California,65866,42203.0,,52942.9,57788.5,44193.0,31616.8,62797.0,45255.9,59671.9,56386.0,8533.7,58655.6,,36432.1,29847.8,-23663.0,,-12923.1,-8077.5,-21673.0,-34249.2,-3069.0,-20610.1,-6194.1,-9480.0,-57332.3,-7210.4,,-29433.9,-36018.2,,True,True,True,False,True,True,True,True,False,True,,False,False
Colorado,2725,1843.0,,1656.2,1794.3,1205.0,1835.7,3012.0,3042.0,1170.5,2093.0,200.9,1705.6,,812.1,1846.4,-882.0,,-1068.8,-930.7,-1520.0,-889.3,287.0,317.0,-1554.5,-632.0,-2524.1,-1019.4,,-1912.9,-878.6,,False,False,False,False,True,True,False,True,False,False,,False,True
Connecticut,570,511.0,,312.3,479.5,254.0,417.1,485.0,2170.9,169.3,326.0,110.3,348.6,,143.4,400.8,-59.0,,-257.7,-90.5,-316.0,-152.9,-85.0,1600.9,-400.7,-244.0,-459.7,-221.4,,-426.6,-169.2,,False,False,False,False,False,False,False,False,False,False,,False,False
Delaware,747,905.0,,448.5,874.5,517.0,1101.6,556.0,1723.9,579.5,1036.0,58.9,820.6,,146.1,935.0,158.0,,-298.5,127.5,-230.0,354.6,-191.0,976.9,-167.5,289.0,-688.1,73.6,,-600.9,188.0,,False,True,False,False,False,False,False,False,False,True,,False,False
District of Columbia,354,231.0,,124.0,191.7,159.0,222.1,518.0,777.1,129.5,188.0,38.9,227.0,,108.7,165.1,-123.0,,-230.0,-162.3,-195.0,-131.9,164.0,423.1,-224.5,-166.0,-315.1,-127.0,,-245.3,-188.9,,False,False,False,False,False,False,False,False,False,False,,False,False
Florida,64459,57507.0,,88272.1,93108.9,58745.0,66148.8,71276.0,22179.7,56770.7,78655.0,9589.3,63339.8,,82010.4,63091.0,-6952.0,,23813.1,28649.9,-5714.0,1689.8,6817.0,-42279.3,-7688.3,14196.0,-54869.7,-1119.2,,17551.4,-1368.0,,False,False,True,True,True,False,False,False,False,True,,False,True
Georgia,21082,18334.0,,19029.2,26828.9,14583.0,21306.9,17322.0,8292.9,11560.4,22483.0,2543.4,18279.3,,12723.9,22980.7,-2748.0,,-2052.8,5746.9,-6499.0,224.9,-3760.0,-12789.1,-9521.6,1401.0,-18538.6,-2802.7,,-8358.1,1898.7,,True,False,False,True,False,False,False,True,False,False,,False,True
Hawaii,201,127.0,,171.7,156.3,43.0,170.5,,58.5,104.4,156.0,11.8,144.4,,5.2,136.6,-74.0,,-29.3,-44.7,-158.0,-30.5,,-142.5,-96.6,-45.0,-189.2,-56.6,,-195.8,-64.4,,True,True,False,True,,False,False,True,False,True,,False,True
Idaho,3136,2048.0,,3013.2,2205.0,1621.0,2310.6,4122.0,858.4,1868.0,2876.0,334.0,2655.4,,3233.0,2448.2,-1088.0,,-122.8,-931.0,-1515.0,-825.4,986.0,-2277.6,-1268.0,-260.0,-2802.0,-480.6,,97.0,-687.8,,True,True,False,True,True,False,False,True,False,True,,True,True
Illinois,7482,5535.0,,2327.5,5044.6,1422.0,5923.3,9719.0,12909.8,3481.7,6024.0,675.7,5322.2,,1454.3,5604.8,-1947.0,,-5154.5,-2437.4,-6060.0,-1558.7,2237.0,5427.8,-4000.3,-1458.0,-6806.3,-2159.8,,-6027.7,-1877.2,,False,False,False,True,False,False,False,True,False,False,,False,True
Indiana,3647,2857.0,,2367.2,2708.5,2028.0,3236.1,2332.0,5318.0,2674.7,3572.0,286.3,3313.9,,1492.2,2981.5,-790.0,,-1279.8,-938.5,-1619.0,-410.9,-1315.0,1671.0,-972.3,-75.0,-3360.7,-333.1,,-2154.8,-665.5,,False,False,False,True,False,False,False,True,False,True,,False,True
