,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,107,91.0,,73.0,,,,,122.0,108.9,61.2,,123.0,,114.7,,,,-16.0,,-34.0,,,,,15.0,1.9,-45.8,,16.0,,7.7,,,,,False,,,,,True,True,False,,False,,True,,,
01003,419,307.0,,930.0,,,,,181.0,107.4,225.4,,346.0,,331.4,,,,-112.0,,511.0,,,,,-238.0,-311.6,-193.6,,-73.0,,-87.6,,,,,False,,,,,False,False,False,,True,,True,,,
01005,53,33.0,,56.0,,,,,28.0,50.3,13.1,,51.0,,,,,,-20.0,,3.0,,,,,-25.0,-2.7,-39.9,,-2.0,,,,,,,True,,,,,False,True,False,,True,,,,,
01007,33,29.0,,51.0,,,,,27.0,20.7,12.7,,41.0,,,,,,-4.0,,18.0,,,,,-6.0,-12.3,-20.3,,8.0,,,,,,,False,,,,,False,False,False,,False,,,,,
01009,98,45.0,,67.0,,,,,55.0,38.5,21.2,,56.0,,,,,,-53.0,,-31.0,,,,,-43.0,-59.5,-76.8,,-42.0,,,,,,,True,,,,,True,False,False,,True,,,,,
01011,10,14.0,,25.0,,,,,22.0,20.6,1.9,,,,,,,,4.0,,15.0,,,,,12.0,10.6,-8.1,,,,,,,,,False,,,,,False,False,False,,,,,,,
01013,22,27.0,,67.0,,,,,130.0,42.8,13.0,,,,,,,,5.0,,45.0,,,,,108.0,20.8,-9.0,,,,,,,,,False,,,,,False,False,False,,,,,,,
01015,157,95.0,,246.0,,,,,104.0,62.6,75.8,,126.0,,,,,,-62.0,,89.0,,,,,-53.0,-94.4,-81.2,,-31.0,,,,,,,False,,,,,True,False,False,,True,,,,,
01017,60,77.0,,82.0,,,,,59.0,27.4,35.2,,96.0,,,,,,17.0,,22.0,,,,,-1.0,-32.6,-24.8,,36.0,,,,,,,False,,,,,True,False,False,,False,,,,,
01019,27,19.0,,31.0,,,,,13.0,20.5,6.8,,35.0,,,,,,-8.0,,4.0,,,,,-14.0,-6.5,-20.2,,8.0,,,,,,,True,,,,,False,True,False,,False,,,,,
