,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,22372,15558.0,,16492.9,16841.3,17250.0,16875.0,11914.5,12483.0,23321.0,2116.0,18181.7,,14218.2,19681.2,-6814.0,,-5879.1,-5530.7,-5122.0,-5497.0,-10457.5,-9889.0,949.0,-20256.0,-4190.3,,-8153.8,-2690.8,,True,True,True,True,False,False,True,False,True,,False,True
Alaska,830,512.0,,430.4,766.5,245.0,,507.0,486.4,697.0,30.5,476.4,,563.1,1184.8,-318.0,,-399.6,-63.5,-585.0,,-323.0,-343.6,-133.0,-799.5,-353.6,,-266.9,354.8,,False,True,False,,False,False,True,False,False,,True,False
Arizona,46698,48886.0,,80084.4,61444.1,59599.0,56428.0,23513.1,42385.6,71918.0,3315.7,44421.6,,51044.5,51713.3,2188.0,,33386.4,14746.1,12901.0,9730.0,-23184.9,-4312.4,25220.0,-43382.3,-2276.4,,4346.5,5015.3,,False,False,False,False,False,False,False,False,False,,False,False
Arkansas,9324,7798.0,,9961.2,10140.2,9366.0,8743.0,3988.6,6841.5,9674.0,814.3,9228.5,,8059.4,8040.6,-1526.0,,637.2,816.2,42.0,-581.0,-5335.4,-2482.5,350.0,-8509.7,-95.5,,-1264.6,-1283.4,,True,True,True,True,False,False,True,False,True,,True,True
California,127850,84406.0,,111148.3,127924.8,90283.0,123779.0,95797.1,143356.6,117715.0,16476.5,115499.4,,73746.4,58220.9,-43444.0,,-16701.7,74.8,-37567.0,-4071.0,-32052.9,15506.6,-10135.0,-111373.5,-12350.6,,-54103.6,-69629.1,,True,True,True,True,True,True,True,False,True,,False,False
Colorado,5921,3686.0,,3334.3,3504.2,2030.0,5593.0,6314.1,2574.9,4724.0,393.6,3365.2,,1463.9,4215.8,-2235.0,,-2586.7,-2416.8,-3891.0,-328.0,393.1,-3346.1,-1197.0,-5527.4,-2555.8,,-4457.1,-1705.2,,False,False,False,True,True,False,True,False,False,,False,True
Connecticut,1176,1022.0,,549.6,937.4,401.0,835.0,4627.0,364.6,611.0,209.6,732.9,,234.4,780.1,-154.0,,-626.4,-238.6,-775.0,-341.0,3451.0,-811.4,-565.0,-966.4,-443.1,,-941.6,-395.9,,False,False,False,False,False,False,False,False,False,,False,False
Delaware,1433,1810.0,,976.9,1724.8,842.0,1046.0,3754.6,1280.0,2451.0,113.5,1397.7,,248.5,2217.8,377.0,,-456.1,291.8,-591.0,-387.0,2321.6,-153.0,1018.0,-1319.5,-35.3,,-1184.5,784.8,,False,True,False,False,False,True,False,False,True,,False,False
District of Columbia,747,462.0,,236.3,352.2,260.0,937.0,1778.9,280.8,342.0,74.2,406.8,,183.7,327.6,-285.0,,-510.7,-394.8,-487.0,190.0,1031.9,-466.2,-405.0,-672.8,-340.2,,-563.3,-419.4,,False,False,False,True,False,False,False,False,False,,False,False
Florida,147517,115014.0,,188827.1,239493.5,118685.0,142336.0,45987.8,139105.8,182738.0,17128.0,118376.9,,176771.8,141717.7,-32503.0,,41310.1,91976.5,-28832.0,-5181.0,-101529.2,-8411.2,35221.0,-130389.0,-29140.1,,29254.8,-5799.3,,False,False,True,True,False,True,False,False,True,,True,True
Georgia,46561,36668.0,,38926.3,68753.2,28793.0,32688.0,16834.9,26616.5,53471.0,4022.4,36098.1,,25888.2,58529.9,-9893.0,,-7634.7,22192.2,-17768.0,-13873.0,-29726.1,-19944.5,6910.0,-42538.6,-10462.9,,-20672.8,11968.9,,True,False,False,False,False,False,True,False,False,,False,False
Hawaii,355,254.0,,352.0,353.0,69.0,,149.1,237.6,320.0,23.4,288.0,,9.3,349.5,-101.0,,-3.0,-2.0,-286.0,,-205.9,-117.4,-35.0,-331.6,-67.0,,-345.7,-5.5,,True,True,False,,False,False,True,False,True,,False,True
Idaho,6933,4096.0,,6322.2,4518.2,3108.0,9301.0,1871.9,4592.7,6823.0,616.4,5675.8,,7979.6,5968.9,-2837.0,,-610.8,-2414.8,-3825.0,2368.0,-5061.1,-2340.3,-110.0,-6316.6,-1257.2,,1046.6,-964.1,,True,True,False,True,False,True,True,False,True,,True,True
Illinois,15173,11070.0,,4702.4,9635.0,2264.0,18528.0,27773.8,7586.4,13607.0,1292.6,9981.4,,2420.9,12880.7,-4103.0,,-10470.6,-5538.0,-12909.0,3355.0,12600.8,-7586.6,-1566.0,-13880.4,-5191.6,,-12752.1,-2292.3,,False,False,False,True,False,False,True,False,False,,False,True
Indiana,8222,5714.0,,4914.2,5227.4,3503.0,4375.0,11120.3,5996.4,7430.0,558.9,6082.4,,2716.4,6961.1,-2508.0,,-3307.8,-2994.6,-4719.0,-3847.0,2898.3,-2225.6,-792.0,-7663.1,-2139.6,,-5505.6,-1260.9,,False,False,False,False,False,True,True,False,True,,False,True
Iowa,7252,5976.0,,5603.1,5554.5,2741.0,3555.0,4097.1,4985.9,8117.0,604.7,6498.1,,2747.8,7591.0,-1276.0,,-1648.9,-1697.5,-4511.0,-3697.0,-3154.9,-2266.1,865.0,-6647.3,-753.9,,-4504.2,339.0,,False,False,False,False,False,False,True,False,True,,False,True
Kansas,5782,4588.0,,4813.5,5152.1,1860.0,5837.0,4213.1,3203.7,7182.0,244.8,3951.4,,1396.3,7630.3,-1194.0,,-968.5,-629.9,-3922.0,55.0,-1568.9,-2578.3,1400.0,-5537.2,-1830.6,,-4385.7,1848.3,,True,True,False,True,False,False,False,False,False,,False,False
Kentucky,5808,2418.0,,2873.4,2731.6,2611.0,3618.0,7256.6,1224.5,2631.0,282.6,2903.4,,2208.9,2673.3,-3390.0,,-2934.6,-3076.4,-3197.0,-2190.0,1448.6,-4583.5,-3177.0,-5525.4,-2904.6,,-3599.1,-3134.7,,True,True,True,True,True,False,True,False,True,,False,True
Louisiana,25301,17040.0,,16501.8,16748.3,10663.0,22442.0,14075.6,16653.2,23100.0,941.8,20717.9,,4624.2,18832.3,-8261.0,,-8799.2,-8552.7,-14638.0,-2859.0,-11225.4,-8647.8,-2201.0,-24359.2,-4583.1,,-20676.8,-6468.7,,False,False,False,True,False,False,True,False,True,,False,True
Maine,248,486.0,,321.5,475.4,340.0,378.0,913.1,323.4,563.0,62.1,515.5,,339.0,543.4,238.0,,73.5,227.4,92.0,130.0,665.1,75.4,315.0,-185.9,267.5,,91.0,295.4,,True,True,True,True,False,True,False,True,False,,True,False
Maryland,7865,5782.0,,3026.3,4576.7,2253.0,4476.0,13286.2,3779.7,5501.0,664.5,4578.3,,2718.9,6936.7,-2083.0,,-4838.7,-3288.3,-5612.0,-3389.0,5421.2,-4085.3,-2364.0,-7200.5,-3286.7,,-5146.1,-928.3,,False,False,False,False,False,False,False,False,False,,False,True
Massachusetts,3081,2790.0,,1543.0,2069.0,857.0,2562.0,8756.2,2004.1,2731.0,350.7,2058.5,,561.3,3157.5,-291.0,,-1538.0,-1012.0,-2224.0,-519.0,5675.2,-1076.9,-350.0,-2730.3,-1022.5,,-2519.7,76.5,,False,False,False,False,False,False,False,False,False,,False,True
Michigan,8757,5804.0,,3669.8,5543.8,3538.0,6510.0,17344.2,3951.2,8579.0,446.6,5661.8,,1470.8,8366.1,-2953.0,,-5087.2,-3213.2,-5219.0,-2247.0,8587.2,-4805.8,-178.0,-8310.4,-3095.2,,-7286.2,-390.9,,False,False,False,True,False,False,True,False,False,,False,True
Minnesota,7846,5182.0,,3615.1,4575.1,3680.0,5938.0,12260.0,3561.3,4733.0,471.5,5661.2,,1699.1,4028.5,-2664.0,,-4230.9,-3270.9,-4166.0,-1908.0,4414.0,-4284.7,-3113.0,-7374.5,-2184.8,,-6146.9,-3817.5,,False,False,False,True,False,False,False,False,True,,False,False
Mississippi,11172,10286.0,,9902.7,9987.5,8781.0,10354.0,5605.5,5866.0,15692.0,1336.3,11929.7,,6644.8,14774.4,-886.0,,-1269.3,-1184.5,-2391.0,-818.0,-5566.5,-5306.0,4520.0,-9835.7,757.7,,-4527.2,3602.4,,False,False,False,True,False,False,False,False,True,,False,False
Missouri,9121,6022.0,,7468.3,11516.4,4997.0,7809.0,6674.3,4785.1,9383.0,345.6,6730.4,,3896.3,6702.5,-3099.0,,-1652.7,2395.4,-4124.0,-1312.0,-2446.7,-4335.9,262.0,-8775.4,-2390.6,,-5224.7,-2418.5,,True,True,False,True,True,False,True,False,True,,False,True
