,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,13379,9085.0,,10322.3,9173.0,8829.1,11666.0,6994.4,8056.0,11493.8,12050.0,,4943.2,10352.2,,8686.0,9753.8,-4294.0,,-3056.7,-4206.0,-4549.9,-1713.0,-6384.6,-5323.0,-1885.2,-1329.0,,-8435.8,-3026.8,,-4693.0,-3625.2,,True,True,False,True,False,False,True,True,,False,True,,False,True
Alaska,511,278.0,,325.9,214.0,436.4,,225.8,358.5,482.4,452.0,,90.4,424.9,,418.3,704.4,-233.0,,-185.1,-297.0,-74.6,,-285.2,-152.5,-28.6,-59.0,,-420.6,-86.1,,-92.7,193.4,,True,False,True,,False,True,True,True,,False,True,,True,True
Arizona,21335,25363.0,,44257.4,28826.0,26174.6,29744.0,11021.9,12732.8,24815.0,28827.0,,52732.9,23703.6,,24061.8,23730.0,4028.0,,22922.4,7491.0,4839.6,8409.0,-10313.1,-8602.2,3480.0,7492.0,,31397.9,2368.6,,2726.8,2395.0,,False,False,False,False,False,False,True,False,,False,True,,True,True
Arkansas,4669,4655.0,,4891.6,4342.0,5206.3,4515.0,4111.5,3297.2,5144.1,5088.0,,4335.0,4358.4,,4164.8,3723.5,-14.0,,222.6,-327.0,537.3,-154.0,-557.5,-1371.8,475.1,419.0,,-334.0,-310.6,,-504.2,-945.5,,False,False,False,False,False,False,False,False,,False,False,,False,False
California,62151,65866.0,,70732.1,55503.0,67904.3,63210.0,47982.7,29015.1,62551.3,76262.0,,116304.9,59719.8,,57375.3,23907.2,3715.0,,8581.1,-6648.0,5753.3,1059.0,-14168.3,-33135.9,400.3,14111.0,,54153.9,-2431.2,,-4775.7,-38243.8,,False,False,False,True,False,False,True,False,,False,True,,False,False
Colorado,3197,2724.0,,2261.0,1267.0,3037.6,2715.0,1589.4,1924.8,3157.8,3366.0,,1311.3,2688.8,,1092.9,2045.7,-473.0,,-936.0,-1930.0,-159.4,-482.0,-1607.6,-1272.2,-39.2,169.0,,-1885.7,-508.2,,-2104.1,-1151.3,,False,False,True,False,False,False,True,True,,False,False,,False,False
Connecticut,606,570.0,,312.8,124.0,484.8,6755.0,1366.7,211.6,349.0,408.0,,642.8,472.8,,89.6,317.4,-36.0,,-293.2,-482.0,-121.2,6149.0,760.7,-394.4,-257.0,-198.0,,36.8,-133.2,,-516.4,-288.6,,False,False,False,False,False,False,False,False,,False,False,,False,False
Delaware,686,747.0,,832.3,427.0,731.3,715.0,860.3,327.6,610.0,906.0,,512.5,679.1,,157.1,1111.5,61.0,,146.3,-259.0,45.3,29.0,174.3,-358.4,-76.0,220.0,,-173.5,-6.9,,-528.9,425.5,,False,False,True,True,False,False,False,False,,False,True,,False,False
District of Columbia,393,354.0,,130.3,142.0,348.1,618.0,311.2,234.6,,386.0,,263.7,337.6,,92.9,137.4,-39.0,,-262.7,-251.0,-44.9,225.0,-81.8,-158.4,,-7.0,,-129.3,-55.4,,-300.1,-255.6,,False,False,False,False,False,False,,True,,False,False,,False,False
Florida,83058,64459.0,,125899.7,60681.0,72154.5,89336.0,22747.6,87803.7,87284.8,96417.0,,41250.1,82188.2,,81414.7,67444.2,-18599.0,,42841.7,-22377.0,-10903.5,6278.0,-60310.4,4745.7,4226.8,13359.0,,-41807.9,-869.8,,-1643.3,-15613.8,,False,False,True,True,False,True,True,True,,False,True,,True,True
