,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,OliverWyman-Navigator,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,227,182.0,,135.0,,,,245.0,220.8,155.5,,295.0,,222.1,,,,-45.0,,-92.0,,,,18.0,-6.2,-71.5,,68.0,,-4.9,,,,,False,,,,True,True,False,,False,,True,,,
01003,950,614.0,,3211.0,,,,367.0,230.1,621.4,,690.0,,931.6,,,,-336.0,,2261.0,,,,-583.0,-719.9,-328.6,,-260.0,,-18.4,,,,,False,,,,False,False,True,,True,,True,,,
01005,118,66.0,,131.0,,,,51.0,102.9,30.4,,148.0,,,,,,-52.0,,13.0,,,,-67.0,-15.1,-87.6,,30.0,,,,,,,True,,,,False,True,False,,True,,,,,
01007,73,58.0,,124.0,,,,51.0,43.2,31.2,,99.0,,,,,,-15.0,,51.0,,,,-22.0,-29.8,-41.8,,26.0,,,,,,,False,,,,False,False,False,,False,,,,,
01009,191,90.0,,152.0,,,,112.0,82.3,54.0,,129.0,,,,,,-101.0,,-39.0,,,,-79.0,-108.7,-137.0,,-62.0,,,,,,,True,,,,True,False,False,,True,,,,,
01011,25,28.0,,63.0,,,,40.0,39.4,4.2,,,,,,,,3.0,,38.0,,,,15.0,14.4,-20.8,,,,,,,,,False,,,,False,False,False,,,,,,,
01013,49,54.0,,177.0,,,,260.0,82.8,28.7,,,,,,,,5.0,,128.0,,,,211.0,33.8,-20.3,,,,,,,,,False,,,,False,False,False,,,,,,,
01015,392,190.0,,873.0,,,,225.0,136.1,199.7,,248.0,,,,,,-202.0,,481.0,,,,-167.0,-255.9,-192.3,,-144.0,,,,,,,False,,,,True,False,True,,True,,,,,
01017,106,154.0,,184.0,,,,109.0,54.3,84.8,,274.0,,,,,,48.0,,78.0,,,,3.0,-51.7,-21.2,,168.0,,,,,,,False,,,,True,False,True,,False,,,,,
01019,73,38.0,,85.0,,,,25.0,42.4,17.0,,63.0,,,,,,-35.0,,12.0,,,,-48.0,-30.6,-56.0,,-10.0,,,,,,,True,,,,False,True,False,,True,,,,,
01021,188,92.0,,157.0,,,,120.0,80.9,79.4,,137.0,,,,,,-96.0,,-31.0,,,,-68.0,-107.1,-108.6,,-51.0,,,,,,,True,,,,True,False,False,,True,,,,,
01023,40,14.0,,0.0,,,,72.0,22.4,1.5,,,,,,,,-26.0,,-40.0,,,,32.0,-17.6,-38.5,,,,,,,,,False,,,,False,True,False,,,,,,,
01025,103,34.0,,93.0,,,,104.0,80.1,8.2,,,,,,,,-69.0,,-10.0,,,,1.0,-22.9,-94.8,,,,,,,,,True,,,,True,True,False,,,,,,,
01027,44,58.0,,0.0,,,,13.0,13.1,8.9,,52.0,,,,,,14.0,,-44.0,,,,-31.0,-30.9,-35.1,,8.0,,,,,,,False,,,,False,False,False,,True,,,,,
01029,36,22.0,,0.0,,,,6.0,10.1,4.2,,23.0,,,,,,-14.0,,-36.0,,,,-30.0,-25.9,-31.8,,-13.0,,,,,,,False,,,,False,False,False,,True,,,,,
01031,146,68.0,,129.0,,,,189.0,95.7,30.0,,156.0,,,,,,-78.0,,-17.0,,,,43.0,-50.3,-116.0,,10.0,,,,,,,True,,,,True,True,False,,True,,,,,
01033,311,100.0,,110.0,,,,218.0,145.8,43.5,,172.0,,,,,,-211.0,,-201.0,,,,-93.0,-165.2,-267.5,,-139.0,,,,,,,True,,,,True,True,False,,True,,,,,
