,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,Geneva-DetGrowth,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-Geneva-DetGrowth,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-Geneva-DetGrowth,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,142,93.0,132.2,92.0,,,,,142.0,154.9,43.6,99.3,,127.0,,,,,,,,-49.0,-9.8,-50.0,,,,,0.0,12.9,-98.4,-42.7,,-15.0,,,,,,,,True,False,,,,,True,True,False,True,,True,,,,,,,
01003,645,361.0,197.6,444.0,,,,,329.0,184.6,326.4,440.9,,514.0,,,473.6,592.0,,,,-284.0,-447.4,-201.0,,,,,-316.0,-460.4,-318.6,-204.1,,-131.0,,,-171.4,-53.0,,,,False,True,,,,,False,False,False,True,,True,,,True,True,,,
01005,88,47.0,,63.0,,,,,45.0,52.2,25.1,,,69.0,,,,,,,,-41.0,,-25.0,,,,,-43.0,-35.8,-62.9,,,-19.0,,,,,,,,,True,,,,,False,True,False,,,True,,,,,,,
01007,41,34.0,,44.0,,,,,27.0,32.3,16.3,,,42.0,,,,,,,,-7.0,,3.0,,,,,-14.0,-8.7,-24.7,,,1.0,,,,,,,,,True,,,,,False,False,False,,,True,,,,,,,
01009,149,66.0,48.8,75.0,,,,,63.0,43.6,64.8,101.9,,97.0,,,,,,,,-83.0,-100.2,-74.0,,,,,-86.0,-105.3,-84.2,-47.1,,-52.0,,,,,,,,False,True,,,,,False,False,False,True,,True,,,,,,,
01011,17,9.0,,9.0,,,,,33.0,16.0,2.3,,,,,,,,,,,-8.0,,-8.0,,,,,16.0,-1.0,-14.7,,,,,,,,,,,,False,,,,,False,True,False,,,,,,,,,,
01013,30,27.0,,32.0,,,,,90.0,26.1,5.0,,,,,,,,,,,-3.0,,2.0,,,,,60.0,-3.9,-25.0,,,,,,,,,,,,True,,,,,False,False,False,,,,,,,,,,
01015,252,158.0,42.9,309.0,,,,,172.0,110.6,122.3,180.5,,186.0,,,,,,,,-94.0,-209.1,57.0,,,,,-80.0,-141.4,-129.7,-71.5,,-66.0,,,,,,,,False,True,,,,,True,False,False,True,,True,,,,,,,
01017,68,50.0,,62.0,,,,,84.0,18.7,17.7,,,,,,,,,,,-18.0,,-6.0,,,,,16.0,-49.3,-50.3,,,,,,,,,,,,True,,,,,True,False,False,,,,,,,,,,
01019,43,38.0,,45.0,,,,,20.0,30.1,11.4,,,31.0,,,,,,,,-5.0,,2.0,,,,,-23.0,-12.9,-31.6,,,-12.0,,,,,,,,,True,,,,,False,False,False,,,False,,,,,,,
01021,132,84.0,,126.0,,,,,63.0,49.3,63.7,,,108.0,,,,,,,,-48.0,,-6.0,,,,,-69.0,-82.7,-68.3,,,-24.0,,,,,,,,,True,,,,,False,False,False,,,True,,,,,,,
01023,21,17.0,,10.0,,,,,28.0,12.1,7.9,,,34.0,,,,,,,,-4.0,,-11.0,,,,,7.0,-8.9,-13.1,,,13.0,,,,,,,,,False,,,,,False,False,False,,,False,,,,,,,
01025,68,39.0,,41.0,,,,,70.0,38.4,22.2,,,59.0,,,,,,,,-29.0,,-27.0,,,,,2.0,-29.6,-45.8,,,-9.0,,,,,,,,,True,,,,,True,False,False,,,True,,,,,,,
01027,31,21.0,,0.0,,,,,8.0,10.8,4.8,,,24.0,,,,,,,,-10.0,,-31.0,,,,,-23.0,-20.2,-26.2,,,-7.0,,,,,,,,,False,,,,,False,False,False,,,True,,,,,,,
01029,34,6.0,,0.0,,,,,6.0,5.7,2.0,,,9.0,,,,,,,,-28.0,,-34.0,,,,,-28.0,-28.3,-32.0,,,-25.0,,,,,,,,,False,,,,,False,False,False,,,True,,,,,,,
01031,108,51.0,36.6,58.0,,,,,122.0,75.8,27.8,46.7,,72.0,,,,,,,,-57.0,-71.3,-50.0,,,,,14.0,-32.2,-80.2,-61.3,,-36.0,,,,,,,,False,True,,,,,True,True,False,False,,True,,,,,,,
01033,223,104.0,59.2,125.0,,,,,120.0,77.2,73.2,102.1,,136.0,,,,,,,,-119.0,-163.8,-98.0,,,,,-103.0,-145.8,-149.8,-120.9,,-87.0,,,,,,,,False,True,,,,,True,False,False,False,,True,,,,,,,
01035,52,26.0,,0.0,,,,,33.0,46.0,4.2,,17.7,34.0,,,,,,,,-26.0,,-52.0,,,,,-19.0,-6.0,-47.8,,-34.3,-18.0,,,,,,,,,False,,,,,True,True,False,,False,True,,,,,,,
01037,6,7.0,,0.0,,,,,4.0,6.2,3.7,,,11.0,,,,,,,,1.0,,-6.0,,,,,-2.0,0.2,-2.3,,,5.0,,,,,,,,,False,,,,,False,True,False,,,False,,,,,,,
01039,130,60.0,,76.0,,,,,113.0,141.9,26.5,,69.7,70.0,,,,,,,,-70.0,,-54.0,,,,,-17.0,11.9,-103.5,,-60.3,-60.0,,,,,,,,,True,,,,,True,True,False,,True,True,,,,,,,
01041,23,2.0,,1.0,,,,,26.0,7.2,1.1,,6.4,,,,,,,,,-21.0,,-22.0,,,,,3.0,-15.8,-21.9,,-16.6,,,,,,,,,,False,,,,,True,True,False,,True,,,,,,,,
01043,189,132.0,109.1,197.0,,,,,149.0,139.2,117.2,189.4,100.4,200.0,,,,,,,,-57.0,-79.9,8.0,,,,,-40.0,-49.8,-71.8,0.4,-88.6,11.0,,,,,,,,False,True,,,,,True,True,False,True,False,True,,,,,,,
01045,118,109.0,,161.0,,,,,110.0,100.7,83.7,,70.0,133.0,,,,,,,,-9.0,,43.0,,,,,-8.0,-17.3,-34.3,,-48.0,15.0,,,,,,,,,False,,,,,True,False,False,,False,False,,,,,,,
01047,135,117.0,,108.0,,,,,156.0,87.4,57.6,,58.0,167.0,,,,,,,,-18.0,,-27.0,,,,,21.0,-47.6,-77.4,,-77.0,32.0,,,,,,,,,False,,,,,False,False,False,,False,False,,,,,,,
01049,319,234.0,110.3,381.0,,,,,203.0,100.8,217.8,236.1,174.1,312.0,,,,,,,,-85.0,-208.7,62.0,,,,,-116.0,-218.2,-101.2,-82.9,-144.9,-7.0,,,,,,,,False,True,,,,,False,False,False,True,False,True,,,,,,,
01051,201,126.0,201.9,140.0,,,,,197.0,154.0,85.5,152.7,112.3,182.0,,,154.8,,,,,-75.0,0.9,-61.0,,,,,-4.0,-47.0,-115.5,-48.3,-88.7,-19.0,,,-46.2,,,,,True,True,,,,,True,True,False,True,False,True,,,True,,,,
01053,153,143.0,,185.0,,,,,137.0,99.4,50.9,,62.5,126.0,,,,,,,,-10.0,,32.0,,,,,-16.0,-53.6,-102.1,,-90.5,-27.0,,,,,,,,,False,,,,,False,False,False,,False,False,,,,,,,
01055,306,224.0,163.8,287.0,,,,,299.0,146.5,211.6,315.1,206.7,340.0,,,302.3,,,,,-82.0,-142.2,-19.0,,,,,-7.0,-159.5,-94.4,9.1,-99.3,34.0,,,-3.7,,,,,False,True,,,,,True,False,False,True,False,True,,,True,,,,
01057,38,14.0,,0.0,,,,,12.0,17.9,5.4,,,21.0,,,,,,,,-24.0,,-38.0,,,,,-26.0,-20.1,-32.6,,,-17.0,,,,,,,,,False,,,,,False,True,False,,,True,,,,,,,
01059,84,43.0,,43.0,,,,,184.0,83.3,18.9,,29.2,,,,,,,,,-41.0,,-41.0,,,,,100.0,-0.7,-65.1,,-54.8,,,,,,,,,,False,,,,,False,True,False,,False,,,,,,,,
01061,46,17.0,,26.0,,,,,47.0,21.8,5.4,,,20.0,,,,,,,,-29.0,,-20.0,,,,,1.0,-24.2,-40.6,,,-26.0,,,,,,,,,True,,,,,True,True,False,,,True,,,,,,,
