,predicted_cases,actual_cases,error,perc_error
USC-SI_kJalpha,849252.1,869317,-20064.9,-2.3%
Covid19Sim-Simulator,830980.4,869317,-38336.6,-4.4%
IowaStateLW-STEM,819206.0,869317,-50111.0,-5.8%
OliverWyman-Navigator,953800.0,869317,84483.0,9.7%
Columbia_UNC-SurvCon,1011116.0,869317,141799.0,16.3%
UCLA-SuEIR,705575.2,869317,-163741.8,-18.8%
COVIDhub-baseline,658354.0,869317,-210963.0,-24.3%
USACE-ERDC_SEIR,634099.6,869317,-235217.4,-27.1%
CovidAnalytics-DELPHI,620059.0,869317,-249258.0,-28.7%
JHU_IDD-CovidSP,618779.8,869317,-250537.2,-28.8%
UMich-RidgeTfReg,598727.1,869317,-270589.9,-31.1%
LANL-GrowthRate,552007.5,869317,-317309.5,-36.5%
RobertWalraven-ESG,67238.2,869317,-802078.8,-92.3%
CovidActNow-SEIR_CAN,,869317,,
