,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,465568.9,464121,1447.9,0.3%
Geneva-DetGrowth,460803.6,464121,-3317.4,-0.7%
LNQ-ens1,458997.2,464121,-5123.8,-1.1%
Columbia_UNC-SurvCon,450933.0,464121,-13188.0,-2.8%
IowaStateLW-STEM,477985.0,464121,13864.0,3.0%
Covid19Sim-Simulator,479683.8,464121,15562.8,3.4%
UCLA-SuEIR,433069.6,464121,-31051.4,-6.7%
USC-SI_kJalpha,426245.4,464121,-37875.6,-8.2%
RobertWalraven-ESG,415140.9,464121,-48980.1,-10.6%
OliverWyman-Navigator,516180.0,464121,52059.0,11.2%
COVIDhub-baseline,404684.0,464121,-59437.0,-12.8%
UMich-RidgeTfReg,379524.3,464121,-84596.7,-18.2%
USACE-ERDC_SEIR,371290.1,464121,-92830.9,-20.0%
CovidAnalytics-DELPHI,337818.0,464121,-126303.0,-27.2%
LANL-GrowthRate,293453.0,464121,-170668.0,-36.8%
JHU_IDD-CovidSP,281647.3,464121,-182473.7,-39.3%
