,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,120704,57088.0,86085.9,,49782.6,,34989.0,54238.4,43733.3,30797.8,42518.0,-63616.0,-34618.1,,-70921.4,,-85715.0,-66465.6,-76970.7,-89906.2,-78186.0,True,,False,,False,False,False,False,False
Alaska,28673,10632.0,95964.2,,11943.5,,,11322.6,24483.0,3073.8,3368.0,-18041.0,67291.2,,-16729.5,,,-17350.4,-4190.0,-25599.2,-25305.0,False,,True,,,True,True,False,False
Arizona,172130,43848.0,153149.5,,39245.1,,19344.0,56694.2,27100.5,22503.6,41409.0,-128282.0,-18980.5,,-132884.9,,-152786.0,-115435.8,-145029.5,-149626.4,-130721.0,True,,False,,False,True,False,False,False
Arkansas,85830,49616.0,49284.5,,43161.4,,57164.0,43036.7,58575.4,17878.6,32977.0,-36214.0,-36545.5,,-42668.6,,-28666.0,-42793.3,-27254.6,-67951.4,-52853.0,False,,False,,True,False,True,False,False
California,675562,169632.0,271362.2,,146077.8,,95851.0,189950.6,163170.8,85955.2,142705.0,-505930.0,-404199.8,,-529484.2,,-579711.0,-485611.4,-512391.2,-589606.8,-532857.0,True,,False,,False,True,False,False,False
Colorado,201265,53824.0,81414.0,,53405.0,,33294.0,54732.6,35481.0,24151.9,58002.0,-147441.0,-119851.0,,-147860.0,,-167971.0,-146532.4,-165784.0,-177113.1,-143263.0,True,,False,,False,True,False,False,True
Connecticut,83931,22336.0,13343.9,,14789.9,,11250.0,20086.4,11990.6,12320.1,20232.0,-61595.0,-70587.1,,-69141.1,,-72681.0,-63844.6,-71940.4,-71610.9,-63699.0,False,,False,,False,False,False,False,False
Delaware,21934,7552.0,4932.1,,5233.6,,4762.0,8899.6,5118.4,4006.7,6652.0,-14382.0,-17001.9,,-16700.4,,-17172.0,-13034.4,-16815.6,-17927.3,-15282.0,False,,False,,False,True,False,False,False
District of Columbia,8309,3328.0,3464.2,,2588.9,,2297.0,3253.2,2406.7,1667.9,4896.0,-4981.0,-4844.8,,-5720.1,,-6012.0,-5055.8,-5902.3,-6641.1,-3413.0,True,,False,,False,False,False,False,True
Florida,364492,188480.0,222334.8,,129688.5,,71003.0,140829.5,104977.3,89391.0,102947.0,-176012.0,-142157.2,,-234803.5,,-293489.0,-223662.5,-259514.7,-275101.0,-261545.0,True,,False,,False,False,False,False,False
Georgia,198656,72920.0,104460.3,,54447.5,,38653.0,57327.5,52592.5,40640.1,53562.0,-125736.0,-94195.7,,-144208.5,,-160003.0,-141328.5,-146063.5,-158015.9,-145094.0,True,,False,,False,False,False,False,False
Hawaii,5368,4624.0,5568.5,,4900.4,,,7068.0,6237.7,1907.1,1825.0,-744.0,200.5,,-467.6,,,1700.0,869.7,-3460.9,-3543.0,True,,True,,,False,False,False,False
Idaho,68050,39048.0,33267.6,,31880.0,,21281.0,27816.1,53931.6,13674.5,30869.0,-29002.0,-34782.4,,-36170.0,,-46769.0,-40233.9,-14118.4,-54375.5,-37181.0,False,,False,,False,False,True,False,False
Illinois,498302,191480.0,346945.6,,172383.1,,111185.0,148034.2,153324.7,98563.1,251238.0,-306822.0,-151356.4,,-325918.9,,-387117.0,-350267.8,-344977.3,-399738.9,-247064.0,True,,False,,False,False,False,False,True
Indiana,273559,100528.0,178700.9,,90860.7,,66620.0,89731.0,108791.7,48365.0,244444.0,-173031.0,-94858.1,,-182698.3,,-206939.0,-183828.0,-164767.3,-225194.0,-29115.0,True,,False,,False,False,True,False,True
Iowa,148311,61248.0,56595.2,,56287.4,,46029.0,51742.5,83595.7,22134.7,84011.0,-87063.0,-91715.8,,-92023.6,,-102282.0,-96568.5,-64715.3,-126176.3,-64300.0,False,,False,,False,False,True,False,True
