,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,972,540.0,,719.0,,,,,262.0,,496.9,,736.0,,341.8,729.0,-432.0,,-253.0,,,,,-710.0,,-475.1,,-236.0,,-630.2,-243.0,,True,,,,,False,,False,,True,,False,True
01003,3439,1240.0,,1146.0,,,,,811.0,,1236.9,,2008.0,,668.7,0.0,-2199.0,,-2293.0,,,,,-2628.0,,-2202.1,,-1431.0,,-2770.3,-3439.0,,False,,,,,False,,False,,True,,False,False
01005,174,160.0,,316.0,,,,,111.0,,121.6,,194.0,,212.0,78.0,-14.0,,142.0,,,,,-63.0,,-52.4,,20.0,,38.0,-96.0,,False,,,,,False,,False,,False,,False,False
01007,483,255.0,,283.0,,,,,118.0,,243.5,,243.0,,,294.0,-228.0,,-200.0,,,,,-365.0,,-239.5,,-240.0,,,-189.0,,True,,,,,False,,False,,False,,,True
01009,1442,1060.0,,1834.0,,,,,429.0,,1329.9,,1424.0,,497.3,0.0,-382.0,,392.0,,,,,-1013.0,,-112.1,,-18.0,,-944.7,-1442.0,,False,,,,,False,,True,,True,,False,False
01011,62,50.0,,0.0,,,,,50.0,,44.6,,27.0,,,0.0,-12.0,,-62.0,,,,,-12.0,,-17.4,,-35.0,,,-62.0,,False,,,,,False,,False,,False,,,False
01013,255,120.0,,78.0,,,,,91.0,,79.5,,99.0,,113.4,64.0,-135.0,,-177.0,,,,,-164.0,,-175.5,,-156.0,,-141.6,-191.0,,False,,,,,False,,False,,False,,False,False
01015,2581,1460.0,,1491.0,,,,,843.0,,1360.8,,1737.0,,987.7,0.0,-1121.0,,-1090.0,,,,,-1738.0,,-1220.2,,-844.0,,-1593.3,-2581.0,,True,,,,,False,,False,,True,,False,False
01017,512,470.0,,795.0,,,,,167.0,,423.5,,632.0,,372.1,986.0,-42.0,,283.0,,,,,-345.0,,-88.5,,120.0,,-139.9,474.0,,False,,,,,False,,False,,False,,False,False
01019,346,265.0,,340.0,,,,,183.0,,391.4,,238.0,,,340.0,-81.0,,-6.0,,,,,-163.0,,45.4,,-108.0,,,-6.0,,True,,,,,False,,True,,False,,,True
01021,518,315.0,,297.0,,,,,264.0,,272.3,,299.0,,265.4,178.0,-203.0,,-221.0,,,,,-254.0,,-245.7,,-219.0,,-252.6,-340.0,,False,,,,,False,,False,,False,,False,False
01023,46,60.0,,2.0,,,,,69.0,,24.3,,24.0,,,91.0,14.0,,-44.0,,,,,23.0,,-21.7,,-22.0,,,45.0,,False,,,,,False,,False,,False,,,False
01025,591,205.0,,29.0,,,,,141.0,,149.0,,269.5,,180.7,9.0,-386.0,,-562.0,,,,,-450.0,,-442.0,,-321.5,,-410.3,-582.0,,False,,,,,False,,False,,True,,False,False
