,mean_rank
OliverWyman-Navigator,9.2
OneQuietNight-ML,10.1
MSRA-DeepST,10.2
JHU_CSSE-DECOM,12.0
COVIDhub-ensemble,12.0
IowaStateLW-STEM,13.0
Google_Harvard-CPF,13.2
LANL-GrowthRate,13.3
UVA-Ensemble,13.5
JHUAPL-Bucky,13.7
JCB-PRM,13.8
DDS-NBDS,14.1
Karlen-pypm,14.2
UCLA-SuEIR,14.3
BPagano-RtDriven,14.6
LNQ-ens1,14.7
COVIDhub-baseline,15.2
CEID-Walk,15.4
USC-SI_kJalpha,15.5
CU-select,15.5
Covid19Sim-Simulator,15.9
UChicagoCHATTOPADHYAY-UnIT,16.3
RobertWalraven-ESG,16.5
CovidAnalytics-DELPHI,17.6
IQVIA_ACOE-STAN,17.8
UCSB-ACTS,19.9
JHU_IDD-CovidSP,20.2
TTU-squider,21.3
USACE-ERDC_SEIR,21.9
