,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,99228,54054.0,38850.6,62362.0,,70652.9,23144.0,,50293.0,61213.0,81693.6,12978.2,76822.5,17553.1,45006.0,-45174.0,-60377.4,-36866.0,,-28575.1,-76084.0,,-48935.0,-38015.0,-17534.4,-86249.8,-22405.5,-81674.9,-54222.0,False,True,,True,False,,False,True,True,False,True,False,False
Alaska,24142,16860.0,1070.8,18133.0,,16023.3,7828.0,,,17649.5,47709.1,3536.9,27549.5,14577.6,1995.0,-7282.0,-23071.2,-6009.0,,-8118.7,-16314.0,,,-6492.5,23567.1,-20605.1,3407.5,-9564.4,-22147.0,False,True,,False,False,,,True,False,False,True,False,False
Arizona,156643,55044.0,47771.0,157348.0,,50541.7,2377.0,,38186.0,47146.8,36594.0,34352.1,73351.0,25398.1,73271.0,-101599.0,-108872.0,705.0,,-106101.3,-154266.0,,-118457.0,-109496.2,-120049.0,-122290.9,-83292.0,-131244.9,-83372.0,False,True,,False,False,,False,False,False,False,True,False,True
Arkansas,72062,41232.0,30197.3,39344.0,,42914.5,27285.0,,43172.0,48121.4,51765.5,13184.9,48842.5,13441.8,33341.0,-30830.0,-41864.7,-32718.0,,-29147.5,-44777.0,,-28890.0,-23940.6,-20296.5,-58877.1,-23219.5,-58620.2,-38721.0,False,False,,True,False,,True,True,True,False,True,False,False
California,639464,170754.0,264079.8,141464.0,,203530.4,40478.0,,137136.0,197753.9,160577.2,93009.1,217704.5,80731.4,227622.0,-468710.0,-375384.2,-498000.0,,-435933.6,-598986.0,,-502328.0,-441710.1,-478886.8,-546454.9,-421759.5,-558732.6,-411842.0,True,False,,True,False,,False,True,False,False,True,False,True
Colorado,178284,83700.0,23531.8,132920.0,,84123.8,603581.0,,74469.0,79080.4,70325.3,59761.6,147690.5,71911.6,79144.0,-94584.0,-154752.2,-45364.0,,-94160.2,425297.0,,-103815.0,-99203.6,-107958.7,-118522.4,-30593.5,-106372.4,-99140.0,False,True,,True,False,,False,False,False,False,True,False,False
Connecticut,75554,30930.0,43941.5,52441.0,,35365.4,24101.0,,21921.0,25936.0,19439.5,52346.6,145151.0,26214.1,24301.0,-44624.0,-31612.5,-23113.0,,-40188.6,-51453.0,,-53633.0,-49618.0,-56114.5,-23207.4,69597.0,-49339.9,-51253.0,True,True,,True,False,,False,False,False,True,False,False,False
Delaware,19925,6624.0,7479.5,7791.0,,6885.3,3314.0,,5518.0,6879.3,4597.2,3823.6,7158.5,4769.1,6236.0,-13301.0,-12445.5,-12134.0,,-13039.7,-16611.0,,-14407.0,-13045.7,-15327.8,-16101.4,-12766.5,-15155.9,-13689.0,True,True,,True,False,,False,True,False,False,True,False,False
District of Columbia,7377,3360.0,200.7,6789.0,,3527.4,216.0,,2697.0,2427.3,1929.5,2021.9,3609.0,2215.9,5165.0,-4017.0,-7176.3,-588.0,,-3849.6,-7161.0,,-4680.0,-4949.7,-5447.5,-5355.1,-3768.0,-5161.1,-2212.0,False,True,,True,False,,False,False,False,False,True,False,True
Florida,314426,157776.0,96818.6,161451.0,,142042.4,26238.0,,121807.0,165390.9,135245.8,117801.5,220050.0,73086.1,127035.0,-156650.0,-217607.4,-152975.0,,-172383.6,-288188.0,,-192619.0,-149035.1,-179180.2,-196624.5,-94376.0,-241339.9,-187391.0,False,True,,False,False,,False,True,False,False,True,False,False
