,predicted_cases,actual_cases,error,perc_error
Columbia_UNC-SurvCon,4477109.2,8128367,-3651257.8,-44.9%
BPagano-RtDriven,4325698.5,8128367,-3802668.5,-46.8%
JHUAPL-Bucky,3561484.5,8128367,-4566882.5,-56.2%
IBF-TimeSeries,3164154.0,8128367,-4964213.0,-61.1%
COVIDhub-baseline,3107616.0,8128367,-5020751.0,-61.8%
JCB-PRM,2933407.5,8128367,-5194959.5,-63.9%
USC-SI_kJalpha,2428705.0,8128367,-5699662.0,-70.1%
IowaStateLW-STEM,2264082.0,8128367,-5864285.0,-72.1%
Covid19Sim-Simulator,1999261.8,8128367,-6129105.2,-75.4%
UCLA-SuEIR,1853626.3,8128367,-6274740.7,-77.2%
