,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,279,244.0,,249.2,,195.0,192.0,,,,,171.9,,210.6,,,,195.0,,255.2,,133.8,162.5,,182.0,243.5,,,265.0,267.0,18.7,,,,,216.3,270.1,,,,308.0,-35.0,,-29.8,,-84.0,-87.0,,,,,-107.1,,-68.4,,,,-84.0,,-23.8,,-145.2,-116.5,,-97.0,-35.5,,,-14.0,-12.0,-260.3,,,,,-62.7,-8.9,,,,29.0,,True,,False,False,,,,,False,,False,,,,False,,True,,False,False,,False,False,,,True,True,False,,,,,False,True,,,,True
01003,1039,893.0,,908.4,,905.0,1086.0,,,,,589.4,,959.4,,,,500.0,,1257.6,,425.7,665.5,,1068.0,901.0,,,1039.0,1001.0,93.9,,,,,847.3,797.3,1067.0,,,1105.0,-146.0,,-130.6,,-134.0,47.0,,,,,-449.6,,-79.6,,,,-539.0,,218.6,,-613.3,-373.5,,29.0,-138.0,,,0.0,-38.0,-945.1,,,,,-191.7,-241.7,28.0,,,66.0,,True,,True,True,,,,,False,,True,,,,False,,False,,False,False,,True,True,,,True,True,False,,,,,False,False,True,,,True
01005,50,46.0,,45.1,,45.0,26.0,,,,,43.4,,25.9,,,,68.0,,59.9,,28.0,,,24.0,45.2,,,41.0,60.0,5.4,,,,,,56.7,,,,60.6,-4.0,,-4.9,,-5.0,-24.0,,,,,-6.6,,-24.1,,,,18.0,,9.9,,-22.0,,,-26.0,-4.8,,,-9.0,10.0,-44.6,,,,,,6.7,,,,10.6,,False,,False,False,,,,,False,,False,,,,False,,False,,False,,,False,False,,,False,False,False,,,,,,False,,,,False
01007,134,104.0,,95.9,,91.0,75.0,,,,,68.2,,70.7,,,,83.0,,135.7,,56.6,,,58.0,90.6,,,104.0,128.0,13.8,,,,,,106.5,,,,125.6,-30.0,,-38.1,,-43.0,-59.0,,,,,-65.8,,-63.3,,,,-51.0,,1.7,,-77.4,,,-76.0,-43.4,,,-30.0,-6.0,-120.2,,,,,,-27.5,,,,-8.4,,False,,False,False,,,,,False,,False,,,,False,,True,,False,,,False,False,,,False,True,False,,,,,,True,,,,True
01009,463,359.0,,363.6,,304.0,316.0,,,,,207.3,,330.4,,,,258.0,,376.2,,164.1,237.0,,232.0,304.0,,,383.0,361.0,31.7,,,,,320.2,323.2,,,,578.0,-104.0,,-99.4,,-159.0,-147.0,,,,,-255.7,,-132.6,,,,-205.0,,-86.8,,-298.9,-226.0,,-231.0,-159.0,,,-80.0,-102.0,-431.3,,,,,-142.8,-139.8,,,,115.0,,True,,False,False,,,,,False,,False,,,,False,,True,,False,False,,False,False,,,True,True,False,,,,,False,False,,,,False
01011,12,17.0,,17.0,,17.0,0.0,,,,,25.2,,12.9,,,,28.0,,20.0,,8.6,,,7.0,14.5,,,18.0,28.0,3.6,,,,,,18.3,,,,22.5,5.0,,5.0,,5.0,-12.0,,,,,13.2,,0.9,,,,16.0,,8.0,,-3.4,,,-5.0,2.5,,,6.0,16.0,-8.4,,,,,,6.3,,,,10.5,,False,,False,False,,,,,False,,True,,,,False,,False,,True,,,False,True,,,False,False,False,,,,,,False,,,,False
01013,81,60.0,,64.0,,58.0,7.0,,,,,62.4,,72.0,,,,58.0,,53.0,,28.3,,,59.0,69.4,,,69.0,75.0,3.2,,,,,,77.8,,,,46.5,-21.0,,-17.0,,-23.0,-74.0,,,,,-18.6,,-9.0,,,,-23.0,,-28.0,,-52.7,,,-22.0,-11.6,,,-12.0,-6.0,-77.8,,,,,,-3.2,,,,-34.5,,True,,False,False,,,,,True,,True,,,,False,,False,,False,,,False,True,,,True,True,False,,,,,,True,,,,False
01015,733,726.0,,735.8,,665.0,903.0,,,,,463.5,,492.3,,,,479.0,,883.1,,293.6,418.0,,638.0,664.9,,,771.0,750.0,89.1,,,,,667.3,782.5,,,,877.6,-7.0,,2.8,,-68.0,170.0,,,,,-269.5,,-240.7,,,,-254.0,,150.1,,-439.4,-315.0,,-95.0,-68.1,,,38.0,17.0,-643.9,,,,,-65.7,49.5,,,,144.6,,True,,False,False,,,,,False,,False,,,,False,,False,,False,False,,False,False,,,False,False,False,,,,,False,False,,,,False
01017,96,133.0,,135.4,,107.0,130.0,,,,,87.6,,98.3,,,,105.0,,153.2,,80.2,92.5,,83.0,108.7,,,134.0,145.0,13.7,,,,,,143.5,,,,104.6,37.0,,39.4,,11.0,34.0,,,,,-8.4,,2.3,,,,9.0,,57.2,,-15.8,-3.5,,-13.0,12.7,,,38.0,49.0,-82.3,,,,,,47.5,,,,8.6,,False,,True,True,,,,,True,,True,,,,True,,False,,True,True,,True,True,,,False,False,False,,,,,,False,,,,True
01019,97,68.0,,67.5,,55.0,54.0,,,,,54.2,,68.5,,,,101.0,,55.4,,44.9,,,45.0,66.2,,,63.0,94.0,8.6,,,,,,84.9,,,,0.0,-29.0,,-29.5,,-42.0,-43.0,,,,,-42.8,,-28.5,,,,4.0,,-41.6,,-52.1,,,-52.0,-30.8,,,-34.0,-3.0,-88.4,,,,,,-12.1,,,,-97.0,,False,,False,False,,,,,False,,True,,,,True,,False,,False,,,False,False,,,False,True,False,,,,,,True,,,,False
