,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,5261775.5,5221952,39823.5,0.8%
COVIDhub-ensemble,5278232.0,5221952,56280.0,1.1%
UCLA-SuEIR,5055956.1,5221952,-165995.9,-3.2%
CU-select,4944825.0,5221952,-277127.0,-5.3%
JCB-PRM,4879000.0,5221952,-342952.0,-6.6%
MSRA-DeepST,5566014.5,5221952,344062.5,6.6%
UVA-Ensemble,5702569.6,5221952,480617.6,9.2%
BPagano-RtDriven,5704596.7,5221952,482644.7,9.2%
LNQ-ens1,5847804.1,5221952,625852.1,12.0%
IBF-TimeSeries,4522287.0,5221952,-699665.0,-13.4%
JHU_CSSE-DECOM,6028208.0,5221952,806256.0,15.4%
IowaStateLW-STEM,4157177.0,5221952,-1064775.0,-20.4%
CEID-Walk,4090002.2,5221952,-1131949.8,-21.7%
USACE-ERDC_SEIR,4079472.1,5221952,-1142479.9,-21.9%
COVIDhub-baseline,4071240.0,5221952,-1150712.0,-22.0%
JHU_IDD-CovidSP,3857582.2,5221952,-1364369.8,-26.1%
LANL-GrowthRate,6647020.5,5221952,1425068.5,27.3%
UCF-AEM,3682200.0,5221952,-1539752.0,-29.5%
CovidAnalytics-DELPHI,3643363.0,5221952,-1578589.0,-30.2%
USC-SI_kJalpha,3577192.0,5221952,-1644760.0,-31.5%
TTU-squider,3208920.0,5221952,-2013032.0,-38.5%
Karlen-pypm,7261203.5,5221952,2039251.5,39.1%
RobertWalraven-ESG,7548719.1,5221952,2326767.1,44.6%
UMich-RidgeTfReg,7986871.7,5221952,2764919.7,52.9%
JHUAPL-Bucky,8014308.3,5221952,2792356.3,53.5%
Columbia_UNC-SurvCon,10241624.0,5221952,5019672.0,96.1%
DDS-NBDS,11539446.9,5221952,6317494.9,121.0%
Google_Harvard-CPF,,5221952,,
JHU_UNC_GAS-StatMechPool,,5221952,,
UCSB-ACTS,,5221952,,
