,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,25252,22596.0,24582.3,22027.8,22183.0,22383.0,,18571.5,20531.0,20573.0,26926.3,24926.5,,25195.9,22213.0,24598.0,20108.9,25853.8,25310.0,12059.9,15770.0,27147.2,21912.0,22882.3,22648.4,22922.3,23828.0,24563.0,,33115.8,18803.3,,21743.1,21986.1,21948.1,,22188.0,22177.6,3465.5,-2656.0,-669.7,-3224.2,-3069.0,-2869.0,,-6680.5,-4721.0,-4679.0,1674.3,-325.5,,-56.1,-3039.0,-654.0,-5143.1,601.8,58.0,-13192.1,-9482.0,1895.2,-3340.0,-2369.7,-2603.6,-2329.7,-1424.0,-689.0,,7863.8,-6448.7,,-3508.9,-3265.9,-3303.9,,-3064.0,-3074.4,-21786.5,True,False,False,False,,False,False,False,True,True,,True,False,True,False,True,True,False,False,True,False,True,True,True,True,True,,False,False,,False,False,False,,False,False,False
Alaska,4226,4827.0,4586.7,4860.7,5046.0,3267.0,,5208.0,4111.0,4085.1,5254.3,6203.7,,5200.8,,,5265.0,7297.2,5036.0,2915.2,5099.5,4758.6,5203.0,5126.5,5460.9,5360.6,4578.0,4774.0,,6167.0,4649.5,,5046.0,6704.9,4522.6,,5146.0,6104.4,686.5,601.0,360.7,634.7,820.0,-959.0,,982.0,-115.0,-140.9,1028.3,1977.7,,974.8,,,1039.0,3071.2,810.0,-1310.8,873.5,532.6,977.0,900.5,1234.9,1134.6,352.0,548.0,,1941.0,423.5,,820.0,2478.9,296.6,,920.0,1878.4,-3539.5,True,False,False,False,,False,True,True,False,False,,False,,,False,False,False,False,False,True,False,False,False,False,True,True,,False,True,,False,False,True,,False,False,False
Arizona,43689,36126.0,45410.4,35841.9,39383.0,35512.0,,35159.5,54367.0,38065.4,35018.5,55474.8,,40981.3,38124.0,40100.0,35559.0,49919.0,40733.0,28816.8,34983.0,45901.1,40047.5,40669.3,42853.0,43386.6,36698.0,38668.0,,43577.2,19739.9,,37188.8,43914.9,33603.8,,35187.0,26339.1,6084.8,-7563.0,1721.4,-7847.1,-4306.0,-8177.0,,-8529.5,10678.0,-5623.6,-8670.5,11785.8,,-2707.7,-5565.0,-3589.0,-8130.0,6230.0,-2956.0,-14872.2,-8706.0,2212.1,-3641.5,-3019.7,-836.0,-302.4,-6991.0,-5021.0,,-111.8,-23949.1,,-6500.2,225.9,-10085.2,,-8502.0,-17349.9,-37604.2,True,False,True,False,,False,False,True,False,False,,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,,True,False,,True,True,False,,False,False,False
Arkansas,14870,14356.0,12981.7,14160.2,14434.0,12431.0,,12724.4,14741.0,11269.2,14847.3,16758.5,,13628.5,15103.0,15667.0,15096.2,14796.2,16473.0,7340.2,14308.0,16264.1,14157.5,14894.8,14814.5,14748.7,15419.0,14566.0,,20183.7,13849.6,,15675.6,18095.4,14953.4,,13592.0,14281.1,1843.7,-514.0,-1888.3,-709.8,-436.0,-2439.0,,-2145.6,-129.0,-3600.8,-22.7,1888.5,,-1241.5,233.0,797.0,226.2,-73.8,1603.0,-7529.8,-562.0,1394.1,-712.5,24.8,-55.5,-121.3,549.0,-304.0,,5313.7,-1020.4,,805.6,3225.4,83.4,,-1278.0,-588.9,-13026.3,False,False,True,False,,False,True,False,True,False,,False,True,False,True,True,False,False,False,False,False,True,True,True,False,True,,False,False,,False,False,True,,False,False,False
California,219456,137317.0,170965.9,138738.3,155793.0,157243.0,,134696.5,160475.0,154489.3,154413.9,186686.8,,188316.7,142689.0,146290.0,127300.6,180508.4,98264.0,100801.8,127919.5,168434.0,189422.0,203153.1,146975.8,147144.9,145108.0,151112.0,,170344.5,2552.0,,145969.3,155792.9,145010.3,,166293.0,215577.3,,-82139.0,-48490.1,-80717.7,-63663.0,-62213.0,,-84759.5,-58981.0,-64966.7,-65042.1,-32769.2,,-31139.3,-76767.0,-73166.0,-92155.4,-38947.6,-121192.0,-118654.2,-91536.5,-51022.0,-30034.0,-16302.9,-72480.2,-72311.1,-74348.0,-68344.0,,-49111.5,-216904.0,,-73486.7,-63663.1,-74445.7,,-53163.0,-3878.7,,True,True,True,True,,False,True,True,True,True,,True,True,True,False,True,False,False,False,True,True,True,True,True,True,True,,True,False,,True,True,True,,True,True,
Colorado,28287,32064.0,40657.5,31761.6,31354.0,29788.0,,33942.4,37742.0,29831.7,31070.8,33899.7,,30783.5,32450.0,31333.0,37599.2,31374.9,28967.0,19217.1,33869.0,27291.4,29331.0,30338.4,31150.5,31041.6,31590.0,30203.0,,32926.8,24849.6,,33085.9,51699.5,32501.5,,29184.0,39580.6,5043.3,3777.0,12370.5,3474.6,3067.0,1501.0,,5655.4,9455.0,1544.7,2783.8,5612.7,,2496.5,4163.0,3046.0,9312.2,3087.9,680.0,-9069.9,5582.0,-995.6,1044.0,2051.4,2863.5,2754.6,3303.0,1916.0,,4639.8,-3437.4,,4798.9,23412.5,4214.5,,897.0,11293.6,-23243.7,False,True,True,True,,False,False,True,True,False,,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,,False,True,,False,False,False,,True,False,False
Connecticut,19046,15134.0,17723.0,15251.5,15267.0,16247.0,,13564.7,14147.0,106004.0,15343.1,7323.0,,9240.1,12876.0,15282.0,16191.9,18467.0,17288.0,14105.8,13080.0,22983.8,12486.5,12780.1,15616.7,15486.5,12341.0,16105.0,,14295.7,20574.1,,17011.5,19939.8,14916.2,,11574.0,18841.4,1992.2,-3912.0,-1323.0,-3794.5,-3779.0,-2799.0,,-5481.3,-4899.0,86958.0,-3702.9,-11723.0,,-9805.9,-6170.0,-3764.0,-2854.1,-579.0,-1758.0,-4940.2,-5966.0,3937.8,-6559.5,-6265.9,-3429.3,-3559.5,-6705.0,-2941.0,,-4750.3,1528.1,,-2034.5,893.8,-4129.8,,-7472.0,-204.6,-17053.8,True,True,True,True,,False,False,False,True,False,,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,,False,True,,True,True,False,,False,True,False
Delaware,5780,4426.0,5845.6,4380.2,4914.0,5020.0,,4441.2,5343.0,4021.9,4898.5,5035.4,,5620.7,4328.0,4500.0,4642.5,5853.8,4930.0,2845.2,3902.0,5732.6,5210.5,5184.5,5440.6,5441.5,4915.0,4743.0,,5845.9,5592.8,,4541.2,4860.8,4313.2,,5150.0,6599.4,882.6,-1354.0,65.6,-1399.8,-866.0,-760.0,,-1338.8,-437.0,-1758.1,-881.5,-744.6,,-159.3,-1452.0,-1280.0,-1137.5,73.8,-850.0,-2934.8,-1878.0,-47.4,-569.5,-595.5,-339.4,-338.5,-865.0,-1037.0,,65.9,-187.2,,-1238.8,-919.2,-1466.8,,-630.0,819.4,-4897.4,True,False,True,True,,True,True,False,True,True,,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,True,,True,True,False,,True,True,False
District of Columbia,1771,1564.0,1822.7,1558.8,1782.0,1792.0,,1488.8,1775.0,1709.8,2045.5,2754.1,,1854.7,1642.0,1937.0,1735.4,1723.2,1896.0,1200.2,1436.0,1976.7,1848.5,1976.3,,,1987.0,1403.0,,2494.5,1756.8,,1501.4,2030.1,1682.7,,1788.0,1819.0,248.4,-207.0,51.7,-212.2,11.0,21.0,,-282.2,4.0,-61.2,274.5,983.1,,83.7,-129.0,166.0,-35.6,-47.8,125.0,-570.8,-335.0,205.7,77.5,205.3,,,216.0,-368.0,,723.5,-14.2,,-269.6,259.1,-88.3,,17.0,48.0,-1522.6,True,False,True,True,,False,True,True,False,False,,True,True,True,True,True,True,False,False,True,True,True,,,False,False,,False,True,,False,False,True,,True,True,False
Florida,67335,64341.0,74529.4,65534.7,68401.0,64502.0,,63454.3,90911.0,69490.7,69562.9,67816.6,,72993.0,66510.0,64414.0,72195.6,70990.5,57861.0,54376.6,61352.5,82921.1,68401.0,71982.8,78233.9,77350.2,73054.0,70199.0,,75813.4,62499.6,,69311.8,83949.5,70972.7,,66626.0,53296.4,,-2994.0,7194.4,-1800.3,1066.0,-2833.0,,-3880.7,23576.0,2155.7,2227.9,481.6,,5658.0,-825.0,-2921.0,4860.6,3655.5,-9474.0,-12958.4,-5982.5,15586.1,1066.0,4647.8,10898.9,10015.2,5719.0,2864.0,,8478.4,-4835.4,,1976.8,16614.5,3637.7,,-709.0,-14038.6,,False,True,True,True,,False,False,True,True,True,,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,,False,False,,True,False,False,,True,False,
Georgia,38669,31807.0,37339.4,31364.4,31807.0,31407.0,,22167.4,35275.0,33059.8,43086.1,39559.8,,30375.7,34209.0,30052.0,27573.1,34602.1,35706.0,15873.1,43055.0,30248.8,31462.5,33010.4,32873.4,32901.9,35272.0,35906.0,,49743.5,19454.2,,33880.0,27257.4,38344.6,,28499.0,33821.7,,-6862.0,-1329.6,-7304.6,-6862.0,-7262.0,,-16501.6,-3394.0,-5609.2,4417.1,890.8,,-8293.3,-4460.0,-8617.0,-11095.9,-4066.9,-2963.0,-22795.9,4386.0,-8420.2,-7206.5,-5658.6,-5795.6,-5767.1,-3397.0,-2763.0,,11074.5,-19214.8,,-4789.0,-11411.6,-324.4,,-10170.0,-4847.3,,True,False,False,False,,False,True,True,True,True,,False,True,False,False,True,True,False,True,False,False,True,True,True,True,True,,False,False,,True,False,True,,False,True,
Hawaii,773,656.0,1196.0,658.1,653.0,620.0,,650.7,594.0,597.0,572.0,991.4,,652.5,,,681.2,649.0,746.0,706.7,646.5,696.1,624.0,827.2,763.2,762.3,694.0,568.0,,708.7,608.4,,608.1,1024.0,892.4,,668.0,647.8,78.6,-117.0,423.0,-114.9,-120.0,-153.0,,-122.3,-179.0,-176.0,-201.0,218.4,,-120.5,,,-91.8,-124.0,-27.0,-66.3,-126.5,-76.9,-149.0,54.2,-9.8,-10.7,-79.0,-205.0,,-64.3,-164.6,,-164.9,251.0,119.4,,-105.0,-125.2,-694.4,False,True,False,False,,False,False,False,False,False,,False,,,True,False,True,True,False,True,False,True,True,True,True,False,,True,False,,False,False,False,,True,False,False
Idaho,10927,10045.0,12863.6,10145.3,9785.0,9221.0,,9401.7,9494.0,8809.8,9236.4,8443.7,,9118.5,10425.0,10934.0,11176.9,9835.8,10158.0,5802.7,9193.0,10342.4,9216.0,9748.7,9742.2,9825.0,10469.0,10187.0,,5635.5,8442.2,,10440.2,13808.1,9878.4,,9084.0,11173.8,1381.2,-882.0,1936.6,-781.7,-1142.0,-1706.0,,-1525.3,-1433.0,-2117.2,-1690.6,-2483.3,,-1808.5,-502.0,7.0,249.9,-1091.2,-769.0,-5124.3,-1734.0,-584.6,-1711.0,-1178.3,-1184.8,-1102.0,-458.0,-740.0,,-5291.5,-2484.8,,-486.8,2881.1,-1048.6,,-1843.0,246.8,-9545.8,False,True,False,False,,False,False,False,False,False,,False,True,True,True,False,True,False,False,True,False,False,False,False,True,True,,False,False,,True,False,False,,False,True,False
Illinois,61713,67039.0,72877.6,64203.5,65788.0,65604.0,,65469.4,80571.0,70510.3,55879.9,62251.7,,58922.3,67466.0,65973.0,71121.7,56472.6,63352.0,43917.4,70820.0,58502.1,59503.5,62111.9,60873.1,59388.6,60678.0,63511.0,,72153.9,45924.9,,71905.4,105070.7,69549.3,66066.0,60431.0,69006.7,,5326.0,11164.6,2490.5,4075.0,3891.0,,3756.4,18858.0,8797.3,-5833.1,538.7,,-2790.7,5753.0,4260.0,9408.7,-5240.4,1639.0,-17795.6,9107.0,-3210.9,-2209.5,398.9,-839.9,-2324.4,-1035.0,1798.0,,10440.9,-15788.1,,10192.4,43357.7,7836.3,4353.0,-1282.0,7293.7,,False,True,True,True,,True,False,False,False,True,,True,False,True,False,True,True,False,False,True,True,True,True,True,True,True,,False,False,,False,False,False,True,True,False,
