,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,823,672.0,,698.9,,689.0,917.0,,,,301.8,,322.0,,836.1,,442.1,644.5,,922.0,803.2,,,,,,458.0,,,,,731.3,-151.0,,-124.1,,-134.0,94.0,,,,-521.2,,-501.0,,13.1,,-380.9,-178.5,,99.0,-19.8,,,,,,-365.0,,,,,-91.7,,True,,True,True,,,,False,,False,,True,,False,False,,True,True,,,,,,False,,,,,True
01003,3069,1632.0,,1641.9,,1598.0,2084.0,,,,2316.5,,988.0,,1275.7,,1229.8,1591.5,,1955.5,2083.2,,,,,,1045.8,1389.0,,,,2131.0,-1437.0,,-1427.1,,-1471.0,-985.0,,,,-752.5,,-2081.0,,-1793.3,,-1839.2,-1477.5,,-1113.5,-985.8,,,,,,-2023.2,-1680.0,,,,-938.0,,True,,False,True,,,,True,,False,,False,,False,False,,True,True,,,,,,False,False,,,,True
01005,146,124.0,,110.8,,122.0,157.0,,,,90.5,,139.0,,53.7,,123.2,,,128.0,167.9,,,,,,106.4,,,,,129.7,-22.0,,-35.2,,-24.0,11.0,,,,-55.5,,-7.0,,-92.3,,-22.8,,,-18.0,21.9,,,,,,-39.6,,,,,-16.3,,False,,False,True,,,,False,,True,,False,,False,,,True,True,,,,,,False,,,,,True
01007,439,216.0,,219.2,,219.0,217.0,,,,100.5,,157.0,,220.2,,178.0,,,299.0,268.1,,,,,,,,,,,279.9,-223.0,,-219.8,,-220.0,-222.0,,,,-338.5,,-282.0,,-218.8,,-261.0,,,-140.0,-170.9,,,,,,,,,,,-159.1,,True,,True,True,,,,False,,False,,True,,False,,,True,True,,,,,,,,,,,True
01009,1226,928.0,,922.7,,925.0,1268.0,,,,421.6,,488.0,,527.3,,597.9,1116.5,,1358.0,1133.6,,,,,,444.0,,,,,992.6,-298.0,,-303.3,,-301.0,42.0,,,,-804.4,,-738.0,,-698.7,,-628.1,-109.5,,132.0,-92.4,,,,,,-782.0,,,,,-233.4,,False,,False,True,,,,False,,False,,False,,False,True,,True,True,,,,,,False,,,,,True
01011,51,48.0,,44.9,,43.0,0.0,,,,31.9,,69.0,,11.2,,48.1,,,33.0,64.3,,,,,,,,,,,54.6,-3.0,,-6.1,,-8.0,-51.0,,,,-19.1,,18.0,,-39.8,,-2.9,,,-18.0,13.3,,,,,,,,,,,3.6,,False,,False,False,,,,False,,False,,False,,True,,,False,False,,,,,,,,,,,False
01013,231,116.0,,110.9,,103.0,56.0,,,,68.4,,103.0,,70.1,,100.1,,,186.0,187.2,,,,,,64.6,,,,,120.9,-115.0,,-120.1,,-128.0,-175.0,,,,-162.6,,-128.0,,-160.9,,-130.9,,,-45.0,-43.8,,,,,,-166.4,,,,,-110.1,,False,,False,False,,,,False,,False,,False,,False,,,True,True,,,,,,False,,,,,True
01015,2290,1268.0,,1409.2,,1284.0,1334.0,,,,1557.3,,991.0,,483.0,,989.4,1454.0,,1864.0,1987.7,,,,,,863.5,,,,,1209.7,-1022.0,,-880.8,,-1006.0,-956.0,,,,-732.7,,-1299.0,,-1807.0,,-1300.6,-836.0,,-426.0,-302.3,,,,,,-1426.5,,,,,-1080.3,,True,,True,True,,,,True,,False,,False,,False,True,,True,True,,,,,,False,,,,,False
01017,441,292.0,,249.8,,260.0,348.0,,,,166.0,,206.0,,54.3,,244.1,295.0,,433.0,397.4,,,,,,233.6,,,,,262.2,-149.0,,-191.2,,-181.0,-93.0,,,,-275.0,,-235.0,,-386.7,,-196.9,-146.0,,-8.0,-43.6,,,,,,-207.4,,,,,-178.8,,False,,False,True,,,,False,,False,,False,,False,True,,True,True,,,,,,False,,,,,False
01019,289,248.0,,254.3,,255.0,290.0,,,,111.1,,211.0,,47.1,,156.0,,,330.0,340.1,,,,,,,,,,,321.9,-41.0,,-34.7,,-34.0,1.0,,,,-177.9,,-78.0,,-241.9,,-133.0,,,41.0,51.1,,,,,,,,,,,32.9,,True,,True,True,,,,False,,False,,False,,False,,,False,False,,,,,,,,,,,True
