,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,62133,44595.0,66018.3,42933.9,48772.0,57167.0,,43249.5,48318.0,63507.4,44503.7,,43740.0,59166.2,59845.2,66395.0,30583.3,47142.0,48298.0,47975.5,58971.6,65082.0,62128.0,,73533.5,25327.8,,39688.5,59831.8,37728.2,40676.9,53648.0,44608.2,-17538.0,3885.3,-19199.1,-13361.0,-4966.0,,-18883.5,-13815.0,1374.4,-17629.3,,-18393.0,-2966.8,-2287.8,4262.0,-31549.7,-14991.0,-13835.0,-14157.5,-3161.4,2949.0,-5.0,,11400.5,-36805.2,,-22444.5,-2301.2,-24404.8,-21456.1,-8485.0,-17524.8,True,False,True,True,,False,True,True,False,,False,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,False,False,True,True
Alaska,13273,12213.0,7790.7,12510.2,12427.0,10057.0,,12197.9,14357.0,18015.7,15609.1,,,17199.0,18252.2,20190.0,5962.3,21331.8,10706.0,11997.6,14702.5,10959.0,16651.0,,12335.7,15292.5,,10480.0,20566.7,11902.7,7864.2,14723.0,12362.3,-1060.0,-5482.3,-762.8,-846.0,-3216.0,,-1075.1,1084.0,4742.7,2336.1,,,3926.0,4979.2,6917.0,-7310.7,8058.8,-2567.0,-1275.4,1429.5,-2314.0,3378.0,,-937.3,2019.5,,-2793.0,7293.7,-1370.3,-5408.8,1450.0,-910.7,False,True,True,False,,False,False,False,False,,,False,False,False,False,False,False,False,False,False,False,,True,False,,False,False,False,False,False,True
Arizona,107255,66843.0,58558.3,67158.5,83402.0,74257.0,,59336.8,145852.0,129741.3,82804.3,,84913.0,74096.4,76842.3,101146.0,74453.3,101844.1,107208.5,100065.9,102587.9,100212.0,90747.0,,128984.8,52354.8,,69847.9,92689.8,87224.9,78607.6,95372.0,79758.9,-40412.0,-48696.7,-40096.5,-23853.0,-32998.0,,-47918.2,38597.0,22486.3,-24450.7,,-22342.0,-33158.6,-30412.7,-6109.0,-32801.7,-5410.9,-46.5,-7189.1,-4667.1,-7043.0,-16508.0,,21729.8,-54900.2,,-37407.1,-14565.2,-20030.1,-28647.4,-11883.0,-27496.1,False,True,True,True,,False,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,True,False,,True,True,True,True,True,True
Arkansas,40431,34965.0,61557.1,33944.8,39975.0,30262.0,,34169.7,25087.0,41584.1,44808.0,,47265.0,48867.8,38498.7,50023.0,21271.1,57334.2,41132.5,39207.8,47208.3,51336.0,55279.0,,49163.7,17719.9,,39928.9,53905.8,44109.2,26727.9,36715.0,34892.5,-5466.0,21126.1,-6486.2,-456.0,-10169.0,,-6261.3,-15344.0,1153.1,4377.0,,6834.0,8436.8,-1932.3,9592.0,-19159.9,16903.2,701.5,-1223.2,6777.3,10905.0,14848.0,,8732.7,-22711.1,,-502.1,13474.8,3678.2,-13703.1,-3716.0,-5538.5,False,False,True,False,,False,False,True,True,,False,False,True,False,False,False,True,True,False,False,False,,False,False,,True,False,True,False,True,False
California,460597,247104.0,543308.3,251878.1,328105.0,342691.0,,242972.3,357617.0,348716.7,304341.6,,231258.0,258344.8,479139.9,352881.0,224989.6,474767.9,421385.5,329813.0,289377.5,353319.0,342324.0,,378695.1,10542.7,,273313.0,304779.0,333322.9,311868.8,334476.0,303850.2,-213493.0,82711.3,-208718.9,-132492.0,-117906.0,,-217624.7,-102980.0,-111880.3,-156255.4,,-229339.0,-202252.2,18542.9,-107716.0,-235607.4,14170.9,-39211.5,-130784.0,-171219.5,-107278.0,-118273.0,,-81901.9,-450054.3,,-187284.0,-155818.0,-127274.1,-148728.2,-126121.0,-156746.8,True,True,True,True,,False,True,True,True,,False,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,True,True,True,True
Colorado,90955,106335.0,156460.1,105160.6,130090.0,100513.0,,92509.1,170201.0,186034.9,151847.8,,113928.0,140624.5,150520.4,141269.0,78146.1,223821.8,112868.5,110068.0,141621.6,132722.0,139014.0,,138223.4,156598.2,,124365.8,180696.6,140832.3,71612.8,112335.0,130116.5,15380.0,65505.1,14205.6,39135.0,9558.0,,1554.1,79246.0,95079.9,60892.8,,22973.0,49669.5,59565.4,50314.0,-12808.9,132866.8,21913.5,19113.0,50666.6,41767.0,48059.0,,47268.4,65643.2,,33410.8,89741.6,49877.3,-19342.2,21380.0,39161.5,False,True,False,True,,True,False,False,False,,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Connecticut,45292,38472.0,42807.4,38318.5,44746.0,38665.0,,37923.0,69623.0,170978.1,45806.1,,42507.0,48340.3,65274.7,58186.0,51751.2,68184.0,66524.0,42369.0,55455.1,41744.0,52448.0,,27273.0,45090.9,,63705.8,57749.7,72530.7,18280.5,41787.0,60898.1,-6820.0,-2484.6,-6973.5,-546.0,-6627.0,,-7369.0,24331.0,125686.1,514.1,,-2785.0,3048.3,19982.7,12894.0,6459.2,22892.0,21232.0,-2923.0,10163.1,-3548.0,7156.0,,-18019.0,-201.1,,18413.8,12457.7,27238.7,-27011.5,-3505.0,15606.1,True,False,True,True,,False,False,False,True,,True,True,False,False,True,False,False,True,False,True,False,,False,True,,False,False,False,False,True,False
Delaware,13555,8778.0,14930.1,8553.9,10686.0,10703.0,,7835.0,11603.0,10420.4,10588.1,,9593.0,9642.1,10748.1,15041.0,7460.2,18167.8,13738.0,11480.3,13939.4,12673.0,12539.0,,14127.7,3731.8,,9381.4,9168.6,12245.1,12092.7,12119.0,7037.4,-4777.0,1375.1,-5001.1,-2869.0,-2852.0,,-5720.0,-1952.0,-3134.6,-2966.9,,-3962.0,-3912.9,-2806.9,1486.0,-6094.8,4612.8,183.0,-2074.7,384.4,-882.0,-1016.0,,572.7,-9823.2,,-4173.6,-4386.4,-1309.9,-1462.3,-1436.0,-6517.6,True,False,True,True,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,True,True,True,False
District of Columbia,4682,3441.0,4979.6,3409.1,4418.0,3280.0,,3367.6,4812.0,4921.9,3302.1,,4133.0,4067.4,6022.5,5306.0,3978.0,5297.5,4628.0,4306.9,,5241.0,2806.0,,4224.5,4224.8,,2964.3,4658.1,,4020.7,5017.0,4966.0,-1241.0,297.6,-1272.9,-264.0,-1402.0,,-1314.4,130.0,239.9,-1379.9,,-549.0,-614.6,1340.5,624.0,-704.0,615.5,-54.0,-375.1,,559.0,-1876.0,,-457.5,-457.2,,-1717.7,-23.9,,-661.3,335.0,284.0,True,False,True,False,,False,True,True,False,,True,True,False,True,True,True,True,True,,True,False,,True,True,,False,True,,True,True,True
Florida,185146,170193.0,224707.9,170350.5,193392.0,236667.0,,147039.4,263323.0,315296.2,190019.1,,161682.0,180945.4,176442.3,257980.0,188309.3,238049.5,192504.0,192864.8,199280.0,238958.0,249914.0,,271567.7,135973.3,,174235.8,210347.2,172048.5,165255.9,201793.0,134362.4,-14953.0,39561.9,-14795.5,8246.0,51521.0,,-38106.6,78177.0,130150.2,4873.1,,-23464.0,-4200.6,-8703.7,72834.0,3163.3,52903.5,7358.0,7718.8,14134.0,53812.0,64768.0,,86421.7,-49172.7,,-10910.2,25201.2,-13097.5,-19890.1,16647.0,-50783.6,False,True,True,False,,False,False,False,True,,False,True,True,False,True,False,True,True,True,False,False,,False,False,,True,False,True,False,False,False
