,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,109010,81298.0,44752.5,,80260.5,24396.0,,50465.0,56803.7,58518.7,42131.5,33345.6,88086.5,50949.0,-27712.0,-64257.5,,-28749.5,-84614.0,,-58545.0,-52206.3,-50491.3,-66878.5,-75664.4,-20923.5,-58061.0,False,,False,False,,False,False,False,False,False,True,False
Alaska,26952,12075.0,1619.5,,12292.4,8108.0,,,20378.9,23437.2,15075.9,4580.7,21915.5,3105.0,-14877.0,-25332.5,,-14659.6,-18844.0,,,-6573.1,-3514.8,-11876.1,-22371.3,-5036.5,-23847.0,False,,True,False,,,True,True,True,False,True,False
Arizona,165817,44191.0,60885.8,,46634.4,1883.0,,31396.0,66874.1,32896.5,28159.5,22510.3,63573.1,37098.0,-121626.0,-104931.2,,-119182.6,-163934.0,,-134421.0,-98942.9,-132920.5,-137657.5,-143306.7,-102243.9,-128719.0,True,,True,False,,False,True,False,False,False,True,False
Arkansas,78934,48272.0,34509.1,,47857.2,30209.0,,52750.0,44883.1,63023.1,26873.1,18007.8,32566.8,32399.0,-30662.0,-44424.9,,-31076.8,-48725.0,,-26184.0,-34050.9,-15910.9,-52060.9,-60926.2,-46367.2,-46535.0,False,,False,False,,True,False,True,False,False,False,False
California,645492,210490.0,316281.8,,222564.3,34061.0,,120179.0,183539.1,131109.8,94954.5,119240.1,317593.1,244122.0,-435002.0,-329210.2,,-422927.7,-611431.0,,-525313.0,-461952.9,-514382.2,-550537.5,-526251.9,-327898.9,-401370.0,True,,True,False,,False,False,False,False,False,True,True
Colorado,192234,63217.0,23378.8,,70363.2,231984.0,,50502.0,90579.8,59231.1,50450.2,27408.1,97597.0,83158.0,-129017.0,-168855.2,,-121870.8,39750.0,,-141732.0,-101654.2,-133002.9,-141783.8,-164825.9,-94637.0,-109076.0,False,,True,True,,False,True,False,False,False,True,True
Connecticut,80709,22554.0,57963.4,,25463.2,28715.0,,14983.0,27872.4,14007.7,6809.3,13604.0,12258.4,18946.0,-58155.0,-22745.6,,-55245.8,-51994.0,,-65726.0,-52836.6,-66701.3,-73899.7,-67105.0,-68450.6,-61763.0,True,,True,True,,False,True,False,False,False,False,False
Delaware,21029,6335.0,8073.2,,6327.1,6385.0,,5247.0,7704.2,4140.2,3179.2,4828.3,4373.3,5984.0,-14694.0,-12955.8,,-14701.9,-14644.0,,-15782.0,-13324.8,-16888.8,-17849.8,-16200.7,-16655.7,-15045.0,True,,False,True,,False,True,False,False,False,False,False
District of Columbia,7937,2604.0,322.4,,2527.2,234.0,,2327.0,3163.9,1629.3,1595.0,1208.6,2744.9,2413.0,-5333.0,-7614.6,,-5409.8,-7703.0,,-5610.0,-4773.1,-6307.7,-6342.0,-6728.4,-5192.1,-5524.0,False,,False,False,,False,True,False,False,False,True,False
Florida,340722,166390.0,117238.8,,139757.9,28186.0,,156724.0,178233.0,113370.4,79405.8,66028.8,152538.9,145547.0,-174332.0,-223483.2,,-200964.1,-312536.0,,-183998.0,-162489.0,-227351.6,-261316.2,-274693.2,-188183.1,-195175.0,False,,False,False,,False,True,False,False,False,False,False
Georgia,188435,71547.0,70548.7,,74905.1,20972.0,,59126.0,67849.9,70510.3,41497.4,37358.3,63948.7,58732.0,-116888.0,-117886.3,,-113529.9,-167463.0,,-129309.0,-120585.1,-117924.7,-146937.6,-151076.7,-124486.3,-129703.0,False,,True,False,,False,False,False,False,False,False,False
Hawaii,4753,4228.0,10631.9,,4364.2,1173.0,,,4911.9,4479.8,2701.3,3665.8,7073.4,2185.0,-525.0,5878.9,,-388.8,-3580.0,,,158.9,-273.2,-2051.7,-1087.2,2320.4,-2568.0,False,,True,False,,,True,True,False,False,False,False
Idaho,61938,42784.0,139057.8,,44594.7,13072.0,,33242.0,57889.0,58559.4,23677.1,15470.8,27688.1,26460.0,-19154.0,77119.8,,-17343.3,-48866.0,,-28696.0,-4049.0,-3378.6,-38260.9,-46467.2,-34249.9,-35478.0,False,,True,False,,False,True,True,False,False,False,False
Illinois,466787,220605.0,357697.4,,249442.3,175824.0,,166978.0,310699.2,200017.4,125914.0,104222.9,177675.3,194094.0,-246182.0,-109089.6,,-217344.7,-290963.0,,-299809.0,-156087.8,-266769.6,-340873.0,-362564.1,-289111.7,-272693.0,True,,True,False,,False,True,False,False,False,False,False
Indiana,259082,101339.0,143197.5,,103260.3,98073.0,,97474.0,182455.6,112149.1,68004.8,46808.6,109116.4,150504.0,-157743.0,-115884.5,,-155821.7,-161009.0,,-161608.0,-76626.4,-146932.9,-191077.2,-212273.4,-149965.6,-108578.0,True,,True,False,,False,True,True,False,False,True,True
Iowa,140173,56966.0,90526.9,,61860.5,26102.0,,50954.0,74054.7,84159.0,40492.3,19641.2,45588.4,63633.0,-83207.0,-49646.1,,-78312.5,-114071.0,,-89219.0,-66118.3,-56014.0,-99680.7,-120531.8,-94584.6,-76540.0,True,,True,False,,False,True,True,False,False,False,True
Kansas,110055,38605.0,54373.5,,38943.1,41376.0,,34410.0,38193.1,76967.0,15026.4,17436.8,20120.8,20821.0,-71450.0,-55681.5,,-71111.9,-68679.0,,-75645.0,-71861.9,-33088.0,-95028.6,-92618.2,-89934.2,-89234.0,True,,True,True,,False,False,True,False,False,False,False
Kentucky,125179,60781.0,100043.8,,58872.2,45033.0,,58265.0,94508.3,83852.0,43634.5,28602.4,75139.9,82697.0,-64398.0,-25135.2,,-66306.8,-80146.0,,-66914.0,-30670.7,-41327.0,-81544.5,-96576.6,-50039.1,-42482.0,True,,False,False,,False,True,True,False,False,True,True
Louisiana,81588,29624.0,23192.6,,30088.8,6274.0,,31450.0,26956.2,29221.6,16301.1,14500.0,22132.5,15868.0,-51964.0,-58395.4,,-51499.2,-75314.0,,-50138.0,-54631.8,-52366.4,-65286.9,-67088.0,-59455.5,-65720.0,False,,True,False,,True,False,False,False,False,False,False
Maine,9484,1568.0,517.4,,1405.0,692.0,,1986.0,1956.5,9815.2,1164.4,1183.3,5461.7,2301.0,-7916.0,-8966.6,,-8079.0,-8792.0,,-7498.0,-7527.5,331.2,-8319.6,-8300.7,-4022.3,-7183.0,False,,False,False,,True,True,True,False,False,True,True
Maryland,92522,30520.0,33638.7,,32589.3,7793.0,,25316.0,42418.0,21266.1,18879.0,18109.2,35280.1,32133.0,-62002.0,-58883.3,,-59932.7,-84729.0,,-67206.0,-50104.0,-71255.9,-73643.0,-74412.8,-57241.9,-60389.0,True,,True,False,,False,True,False,False,False,True,True
Massachusetts,136237,45906.0,42322.6,,46152.2,24126.0,,30146.0,45259.2,25514.0,28319.9,25614.2,62659.1,50309.0,-90331.0,-93914.4,,-90084.8,-112111.0,,-106091.0,-90977.8,-110723.0,-107917.1,-110622.8,-73577.9,-85928.0,False,,True,False,,False,False,False,False,False,True,True
Michigan,289547,101549.0,204900.5,,119909.1,87121.0,,103157.0,199012.4,109747.1,33653.4,48663.0,78901.9,201412.0,-187998.0,-84646.5,,-169637.9,-202426.0,,-186390.0,-90534.6,-179799.9,-255893.6,-240884.0,-210645.1,-88135.0,True,,True,False,,True,True,True,False,False,False,True
Minnesota,243276,77224.0,116623.3,,115806.9,79190.0,,96595.0,113042.7,81727.7,50793.0,25944.7,68227.8,68618.0,-166052.0,-126652.7,,-127469.1,-164086.0,,-146681.0,-130233.3,-161548.3,-192483.0,-217331.3,-175048.2,-174658.0,True,,True,True,,True,True,True,False,False,False,False
Mississippi,62859,35574.0,36404.1,,29129.8,11527.0,,32572.0,65042.8,39932.4,13020.7,11814.7,17925.1,23761.0,-27285.0,-26454.9,,-33729.2,-51332.0,,-30287.0,2183.8,-22926.6,-49838.3,-51044.3,-44933.9,-39098.0,True,,False,False,,False,True,True,False,False,False,False
Missouri,180559,89047.0,91564.1,,96685.7,66800.0,,68814.0,140625.2,153604.5,48181.4,48936.5,64773.4,46582.0,-91512.0,-88994.9,,-83873.3,-113759.0,,-111745.0,-39933.8,-26954.5,-132377.6,-131622.5,-115785.6,-133977.0,True,,True,False,,False,True,True,False,False,False,False
Montana,45502,34419.0,39242.4,,33597.7,22135.0,,35119.0,49607.8,134299.4,25049.2,11387.5,20033.9,19036.0,-11083.0,-6259.6,,-11904.3,-23367.0,,-10383.0,4105.8,88797.4,-20452.8,-34114.5,-25468.1,-26466.0,True,,False,False,,True,True,False,False,False,False,False
Nebraska,84473,41181.0,118853.5,,47090.5,43084.0,,38187.0,59004.4,70301.1,21528.0,19391.9,17892.6,16752.0,-43292.0,34380.5,,-37382.5,-41389.0,,-46286.0,-25468.6,-14171.9,-62945.0,-65081.1,-66580.4,-67721.0,True,,True,True,,False,True,True,False,False,False,False
Nevada,89137,36120.0,19440.0,,37830.7,7608.0,,23679.0,51815.4,30846.3,24249.4,15362.4,42974.9,27581.0,-53017.0,-69697.0,,-51306.3,-81529.0,,-65458.0,-37321.6,-58290.7,-64887.6,-73774.6,-46162.1,-61556.0,False,,True,False,,False,True,False,False,False,True,False
New Hampshire,20006,4291.0,777.5,,3939.1,4817.0,,3667.0,8687.3,7905.1,2798.8,2183.3,8794.4,5870.0,-15715.0,-19228.5,,-16066.9,-15189.0,,-16339.0,-11318.7,-12100.9,-17207.2,-17822.7,-11211.6,-14136.0,False,,False,True,,False,True,True,False,False,True,True
New Jersey,169157,60207.0,88021.7,,113199.5,85270.0,,42033.0,60558.3,28786.9,32566.3,40343.6,72374.0,67580.0,-108950.0,-81135.3,,-55957.5,-83887.0,,-127124.0,-108598.7,-140370.1,-136590.7,-128813.4,-96783.0,-101577.0,True,,True,True,,False,True,False,False,False,True,True
New Mexico,77318,32879.0,57729.6,,34901.8,9781.0,,31545.0,63468.0,37799.8,25570.9,12488.0,38156.3,40929.0,-44439.0,-19588.4,,-42416.2,-67537.0,,-45773.0,-13850.0,-39518.2,-51747.1,-64830.0,-39161.7,-36389.0,True,,True,False,,False,True,True,False,False,True,True
New York,276496,76587.0,42658.9,,86093.0,38722.0,,55882.0,99756.4,59746.8,44743.6,35281.7,119511.1,86983.0,-199909.0,-233837.1,,-190403.0,-237774.0,,-220614.0,-176739.6,-216749.2,-231752.4,-241214.3,-156984.9,-189513.0,False,,True,False,,False,True,False,False,False,True,True
North Carolina,171484,101969.0,187393.9,,94852.4,54213.0,,101328.0,145155.5,111550.3,56081.7,53224.4,91947.9,86133.0,-69515.0,15909.9,,-76631.6,-117271.0,,-70156.0,-26328.5,-59933.7,-115402.3,-118259.6,-79536.1,-85351.0,True,,False,False,,False,True,True,False,False,False,False
North Dakota,50716,39291.0,21987.8,,35394.5,20965.0,,40856.0,33073.5,85654.4,26614.0,34778.1,16126.3,41848.0,-11425.0,-28728.2,,-15321.5,-29751.0,,-9860.0,-17642.5,34938.4,-24102.0,-15937.9,-34589.7,-8868.0,False,,False,False,,True,False,False,False,False,False,True
Ohio,357655,109067.0,643397.4,,117215.8,56403.0,,107093.0,191470.4,95548.6,68787.6,45800.2,154584.6,138688.0,-248588.0,285742.4,,-240439.2,-301252.0,,-250562.0,-166184.6,-262106.4,-288867.4,-311854.8,-203070.4,-218967.0,False,,True,False,,False,True,False,False,False,True,True
Oklahoma,117651,64519.0,103587.1,,62046.8,49407.0,,65458.0,76551.1,80459.0,36330.6,25519.7,50621.1,47342.0,-53132.0,-14063.9,,-55604.2,-68244.0,,-52193.0,-41099.9,-37192.0,-81320.4,-92131.3,-67029.9,-70309.0,True,,False,False,,True,True,True,False,False,False,False
Oregon,51100,16968.0,29982.5,,15424.3,10823.0,,15433.0,22168.5,23956.3,11054.6,6067.0,28637.3,17425.0,-34132.0,-21117.5,,-35675.7,-40277.0,,-35667.0,-28931.5,-27143.7,-40045.4,-45033.0,-22462.7,-33675.0,True,,False,False,,False,True,True,False,False,True,True
Pennsylvania,287960,81914.0,105260.8,,92820.5,62836.0,,76783.0,109736.8,86982.6,42312.4,35515.9,97685.3,76822.0,-206046.0,-182699.2,,-195139.5,-225124.0,,-211177.0,-178223.2,-200977.4,-245647.6,-252444.1,-190274.7,-211138.0,True,,True,False,,False,True,True,False,False,True,False
Rhode Island,40700,16989.0,19394.5,,21287.0,13450.0,,11207.0,17800.6,12903.4,6136.9,7920.3,7023.5,9473.0,-23711.0,-21305.5,,-19413.0,-27250.0,,-29493.0,-22899.4,-27796.6,-34563.1,-32779.7,-33676.5,-31227.0,True,,True,False,,False,True,False,False,False,False,False
South Carolina,79457,42889.0,104977.7,,51143.1,18311.0,,45719.0,49394.0,41664.5,28606.7,14035.8,40359.2,33778.0,-36568.0,25520.7,,-28313.9,-61146.0,,-33738.0,-30063.0,-37792.5,-50850.3,-65421.2,-39097.8,-45679.0,True,,True,False,,True,True,False,False,False,False,False
South Dakota,52266,38710.0,48520.4,,37488.2,33996.0,,38871.0,40545.3,79252.1,34905.1,25038.9,24973.3,15569.0,-13556.0,-3745.6,,-14777.8,-18270.0,,-13395.0,-11720.7,26986.1,-17360.9,-27227.1,-27292.7,-36697.0,True,,False,False,,True,True,False,False,False,False,False
Tennessee,198866,125636.0,190634.5,,118812.7,47398.0,,102869.0,165470.7,143207.2,95720.7,55906.4,147421.3,71106.0,-73230.0,-8231.5,,-80053.3,-151468.0,,-95997.0,-33395.3,-55658.8,-103145.3,-142959.6,-51444.7,-127760.0,True,,False,False,,False,True,True,False,False,True,False
Texas,575865,279440.0,277398.7,,262522.6,88694.0,,309284.0,231518.0,278951.8,122618.5,134289.5,316301.3,201274.0,-296425.0,-298466.3,,-313342.4,-487171.0,,-266581.0,-344347.0,-296913.2,-453246.5,-441575.5,-259563.7,-374591.0,False,,False,False,,True,False,False,False,False,True,False
Utah,128704,68740.0,51767.1,,65760.6,24516.0,,68048.0,68942.8,37958.2,51450.6,32958.4,53593.8,50143.0,-59964.0,-76936.9,,-62943.4,-104188.0,,-60656.0,-59761.2,-90745.8,-77253.4,-95745.6,-75110.2,-78561.0,False,,False,False,,False,True,False,False,False,False,False
Vermont,3583,819.0,179.1,,307.7,414.0,,660.0,878.8,3874.1,681.8,377.6,13042.2,2013.0,-2764.0,-3403.9,,-3275.3,-3169.0,,-2923.0,-2704.2,291.1,-2901.2,-3205.4,9459.2,-1570.0,False,,False,False,,False,True,True,False,False,False,True
Virginia,106243,48972.0,140952.5,,52265.7,9752.0,,42608.0,65235.7,61847.0,28262.1,29696.7,41830.7,39872.0,-57271.0,34709.5,,-53977.3,-96491.0,,-63635.0,-41007.3,-44396.0,-77980.9,-76546.3,-64412.3,-66371.0,True,,True,False,,False,True,True,False,False,False,False
Washington,103648,32151.0,63952.5,,37827.5,16029.0,,22506.0,42340.4,30125.5,19970.9,12804.3,44923.1,36574.0,-71497.0,-39695.5,,-65820.5,-87619.0,,-81142.0,-61307.6,-73522.5,-83677.1,-90843.7,-58724.9,-67074.0,True,,True,False,,False,True,False,False,False,True,True
West Virginia,40435,13377.0,42212.6,,15868.0,9934.0,,11536.0,19278.9,62145.8,7471.6,5137.4,10451.7,7572.0,-27058.0,1777.6,,-24567.0,-30501.0,,-28899.0,-21156.1,21710.8,-32963.4,-35297.6,-29983.3,-32863.0,True,,True,False,,False,True,True,False,False,False,False
Wisconsin,260852,198478.0,404579.1,,171645.3,78088.0,,195222.0,165264.8,281037.3,115957.5,193779.2,88120.0,65255.0,-62374.0,143727.1,,-89206.7,-182764.0,,-65630.0,-95587.2,20185.3,-144894.5,-67072.8,-172732.0,-195597.0,False,,False,False,,False,False,True,False,False,False,False
Wyoming,28102,13923.0,60347.0,,14651.9,6465.0,,13103.0,20475.5,42982.7,9801.5,11864.4,11553.6,8027.0,-14179.0,32245.0,,-13450.1,-21637.0,,-14999.0,-7626.5,14880.7,-18300.5,-16237.6,-16548.4,-20075.0,False,,True,False,,False,True,False,False,False,False,False
US,7572711,3281551.0,4405459.7,5089663.0,5225864.0,1912420.0,3614103.0,3012411.0,4027569.8,3654779.0,1698666.7,2681864.7,3233893.8,3140804.0,-4291160.0,-3167251.3,-2483048.0,-2346847.0,-5660291.0,-3958608.0,-4560300.0,-3545141.2,-3917932.0,-5874044.3,-4890846.3,-4338817.2,-4431907.0,True,True,True,False,True,False,True,True,False,False,False,False
