,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,5139530.5,7079258,-1939727.5,-27.4%
Covid19Sim-Simulator,4446218.5,7079258,-2633039.5,-37.2%
CU-select,4174254.0,7079258,-2905004.0,-41.0%
JHUAPL-Bucky,4113200.0,7079258,-2966058.0,-41.9%
BPagano-RtDriven,3782162.1,7079258,-3297095.9,-46.6%
JCB-PRM,3519345.8,7079258,-3559912.2,-50.3%
IBF-TimeSeries,3487291.0,7079258,-3591967.0,-50.7%
UCLA-SuEIR,3375058.0,7079258,-3704200.0,-52.3%
USC-SI_kJalpha,3315846.5,7079258,-3763411.5,-53.2%
COVIDhub-baseline,3291984.0,7079258,-3787274.0,-53.5%
IowaStateLW-STEM,3207424.0,7079258,-3871834.0,-54.7%
CovidAnalytics-DELPHI,2520270.0,7079258,-4558988.0,-64.4%
Columbia_UNC-SurvCon,11822033.0,7079258,4742775.0,67.0%
JHU_IDD-CovidSP,2144071.8,7079258,-4935186.2,-69.7%
