,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,89323,50985.0,96761.1,66173.0,,48118.1,21000.0,,44384.0,48500.1,51498.5,70173.4,44871.5,,24876.1,41690.0,-38338.0,7438.1,-23150.0,,-41204.9,-68323.0,,-44939.0,-40822.9,-37824.5,-19149.6,-44451.5,,-64446.9,-47633.0,True,True,,False,False,,False,False,True,True,False,,False,False
Alaska,21191,14755.0,2957.6,11652.0,,13867.5,7333.0,,,14847.9,29384.9,30888.3,28601.5,,12826.2,76.0,-6436.0,-18233.4,-9539.0,,-7323.5,-13858.0,,,-6343.1,8193.9,9697.3,7410.5,,-8364.8,-21115.0,False,False,,False,False,,,True,False,False,False,,False,False
Arizona,145205,57190.0,105259.6,103450.0,,56847.2,4488.0,,37530.0,48721.6,44854.9,131432.7,90891.5,,27218.4,70010.0,-88015.0,-39945.4,-41755.0,,-88357.8,-140717.0,,-107675.0,-96483.4,-100350.1,-13772.3,-54313.5,,-117986.6,-75195.0,True,True,,False,False,,False,False,False,True,True,,False,True
Arkansas,63424,43190.0,43870.2,62412.0,,39768.7,23079.0,,41130.0,39481.0,45247.0,41525.7,50371.0,,19875.4,33295.0,-20234.0,-19553.8,-1012.0,,-23655.3,-40345.0,,-22294.0,-23943.0,-18177.0,-21898.3,-13053.0,,-43548.6,-30129.0,True,True,,False,False,,False,False,True,False,True,,False,False
California,579814,186095.0,216079.8,324742.0,,182169.5,31123.0,,128936.0,151207.3,158916.3,257634.5,250070.5,,106405.8,218523.0,-393719.0,-363734.2,-255072.0,,-397644.5,-548691.0,,-450878.0,-428606.7,-420897.7,-322179.5,-329743.5,,-473408.2,-361291.0,True,True,,False,False,,False,False,False,True,True,,False,True
Colorado,157667,103085.0,256483.2,153982.0,,96889.9,662027.0,,82500.0,93435.5,93237.8,265434.1,209054.5,,87016.7,83382.0,-54582.0,98816.2,-3685.0,,-60777.1,504360.0,,-75167.0,-64231.5,-64429.2,107767.1,51387.5,,-70650.3,-74285.0,False,True,,False,False,,False,False,False,False,True,,False,False
Connecticut,68636,34590.0,43630.5,41656.0,,38357.1,36462.0,,25275.0,37404.4,27706.6,75661.4,37096.5,,32348.1,38733.0,-34046.0,-25005.5,-26980.0,,-30278.9,-32174.0,,-43361.0,-31231.6,-40929.4,7025.4,-31539.5,,-36287.9,-29903.0,True,True,,True,True,,False,True,False,True,True,,False,True
Delaware,18618,6535.0,2569.5,10476.0,,7409.2,3783.0,,5192.0,5707.2,5506.4,6836.0,8339.0,,4440.7,8178.0,-12083.0,-16048.5,-8142.0,,-11208.8,-14835.0,,-13426.0,-12910.8,-13111.6,-11782.0,-10279.0,,-14177.3,-10440.0,False,True,,True,False,,False,False,False,True,True,,False,True
District of Columbia,6752,3125.0,20087.3,2419.0,,3104.7,566.0,,1992.0,2677.9,2155.2,4203.7,4234.5,,2447.1,4198.0,-3627.0,13335.3,-4333.0,,-3647.3,-6186.0,,-4760.0,-4074.1,-4596.8,-2548.3,-2517.5,,-4304.9,-2554.0,False,False,,False,False,,False,False,False,True,True,,False,True
Florida,279896,172650.0,194934.8,316470.0,,183526.4,28651.0,,118530.0,159040.1,149141.5,269260.2,226208.5,,85157.8,127163.0,-107246.0,-84961.2,36574.0,,-96369.6,-251245.0,,-161366.0,-120855.9,-130754.5,-10635.8,-53687.5,,-194738.2,-152733.0,True,True,,True,False,,False,False,False,True,True,,False,False
Georgia,133003,55175.0,101019.6,57962.0,,58917.9,18729.0,,52206.0,64458.2,55172.9,84508.7,54957.5,,26274.4,57234.0,-77828.0,-31983.4,-75041.0,,-74085.1,-114274.0,,-80797.0,-68544.8,-77830.1,-48494.3,-78045.5,,-106728.6,-75769.0,True,True,,True,False,,False,True,False,True,False,,False,True
Hawaii,3460,3740.0,151.1,8535.0,,3100.0,1107.0,,,2819.6,3319.4,2429.6,3876.0,,1948.1,2417.0,280.0,-3308.9,5075.0,,-360.0,-2353.0,,,-640.4,-140.6,-1030.4,416.0,,-1511.9,-1043.0,False,False,,False,False,,,False,True,False,False,,False,False
Idaho,48320,38520.0,24494.9,47213.0,,32121.2,15167.0,,40844.0,37826.6,51096.1,69108.0,38538.5,,19030.7,15543.0,-9800.0,-23825.1,-1107.0,,-16198.8,-33153.0,,-7476.0,-10493.4,2776.1,20788.0,-9781.5,,-29289.3,-32777.0,False,True,,False,False,,True,False,True,False,True,,False,False
Illinois,363710,307155.0,516620.2,634678.0,,334260.4,225001.0,,236765.0,264814.7,272841.2,697105.2,595350.0,,165790.3,210931.0,-56555.0,152910.2,270968.0,,-29449.6,-138709.0,,-126945.0,-98895.3,-90868.8,333395.2,231640.0,,-197919.7,-152779.0,False,False,,True,False,,False,False,False,False,False,,False,False
Indiana,213814,131820.0,168362.5,208753.0,,118037.4,482817.0,,112454.0,119441.1,201534.8,264506.1,237471.0,,114606.5,190828.0,-81994.0,-45451.5,-5061.0,,-95776.6,269003.0,,-101360.0,-94372.9,-12279.2,50692.1,23657.0,,-99207.5,-22986.0,True,True,,False,False,,False,False,True,True,True,,False,True
Iowa,104755,108720.0,181748.8,158285.0,,110606.9,65045.0,,100177.0,77013.1,176919.2,292143.9,179625.5,,56300.0,235243.0,3965.0,76993.8,53530.0,,5851.9,-39710.0,,-4578.0,-27741.9,72164.2,187388.9,74870.5,,-48455.0,130488.0,False,False,,False,False,,False,False,False,False,False,,False,False
Kansas,88688,59660.0,87447.9,74603.0,,53831.4,39139.0,,45297.0,37896.6,94579.8,140841.6,88380.0,,33360.1,34938.0,-29028.0,-1240.1,-14085.0,,-34856.6,-49549.0,,-43391.0,-50791.4,5891.8,52153.6,-308.0,,-55327.9,-53750.0,True,True,,False,False,,False,False,True,False,True,,False,False
Kentucky,100998,62210.0,65121.3,79031.0,,56428.2,37281.0,,55818.0,65958.0,104238.6,89896.7,86502.5,,68641.8,68060.0,-38788.0,-35876.7,-21967.0,,-44569.8,-63717.0,,-45180.0,-35040.0,3240.6,-11101.3,-14495.5,,-32356.2,-32938.0,True,True,,False,False,,False,True,True,True,True,,True,True
Louisiana,72476,22125.0,19637.9,34550.0,,21272.1,5165.0,,22801.0,26575.7,20637.9,20359.0,20019.0,,18881.7,15194.0,-50351.0,-52838.1,-37926.0,,-51203.9,-67311.0,,-49675.0,-45900.3,-51838.1,-52117.0,-52457.0,,-53594.3,-57282.0,False,True,,False,False,,True,True,False,False,False,,False,False
Maine,8020,4690.0,68122.3,17141.0,,4104.7,4338.0,,5689.0,3415.4,9691.5,47539.9,7729.0,,3199.2,13313.0,-3330.0,60102.3,9121.0,,-3915.3,-3682.0,,-2331.0,-4604.6,1671.5,39519.9,-291.0,,-4820.8,5293.0,False,False,,False,False,,True,False,True,False,True,,False,False
Maryland,79094,38170.0,40510.6,67770.0,,38924.7,13927.0,,28177.0,29048.2,30810.1,50165.5,51533.5,,25483.2,39905.0,-40924.0,-38583.4,-11324.0,,-40169.3,-65167.0,,-50917.0,-50045.8,-48283.9,-28928.5,-27560.5,,-53610.8,-39189.0,True,True,,True,False,,False,False,False,True,True,,False,True
Massachusetts,116149,55000.0,46424.4,72610.0,,53681.5,23246.0,,60346.0,46629.9,38010.6,110763.1,94700.0,,40741.0,50505.0,-61149.0,-69724.6,-43539.0,,-62467.5,-92903.0,,-55803.0,-69519.1,-78138.4,-5385.9,-21449.0,,-75408.0,-65644.0,False,True,,False,False,,True,False,False,True,True,,False,False
Michigan,236086,158335.0,224707.8,258881.0,,184624.0,329826.0,,159537.0,141123.1,198227.5,422441.0,300303.0,,123538.7,234657.0,-77751.0,-11378.2,22795.0,,-51462.0,93740.0,,-76549.0,-94962.9,-37858.5,186355.0,64217.0,,-112547.3,-1429.0,True,True,,True,False,,True,False,True,False,True,,False,True
Minnesota,200444,132410.0,266709.5,248441.0,,130369.9,136079.0,,156842.0,98551.3,224933.3,245050.9,257478.5,,64257.9,79321.0,-68034.0,66265.5,47997.0,,-70074.1,-64365.0,,-43602.0,-101892.7,24489.3,44606.9,57034.5,,-136186.1,-121123.0,True,True,,False,True,,True,False,True,True,True,,False,False
Mississippi,52062,28625.0,28393.5,36589.0,,20603.5,10516.0,,28169.0,31756.6,29032.8,37867.9,26231.5,,24958.7,22367.0,-23437.0,-23668.5,-15473.0,,-31458.5,-41546.0,,-23893.0,-20305.4,-23029.2,-14194.1,-25830.5,,-27103.3,-29695.0,False,True,,False,False,,False,True,True,True,False,,False,False
