,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,1491978.4,1506626,-14647.6,-1.0%
Karlen-pypm,1490473.4,1506626,-16152.6,-1.1%
BPagano-RtDriven,1553690.9,1506626,47064.9,3.1%
UMich-RidgeTfReg,1457907.3,1506626,-48718.7,-3.2%
JCB-PRM,1445439.9,1506626,-61186.1,-4.1%
MSRA-DeepST,1438521.1,1506626,-68104.9,-4.5%
IEM_MED-CovidProject,1432372.8,1506626,-74253.2,-4.9%
LANL-GrowthRate,1431771.5,1506626,-74854.5,-5.0%
Microsoft-DeepSTIA,1427929.7,1506626,-78696.3,-5.2%
Geneva-DetGrowth,1423060.0,1506626,-83566.0,-5.5%
Columbia_UNC-SurvCon,1596358.0,1506626,89732.0,6.0%
COVIDhub-ensemble,1412966.0,1506626,-93660.0,-6.2%
LNQ-ens1,1412965.7,1506626,-93660.3,-6.2%
UCF-AEM,1404507.0,1506626,-102119.0,-6.8%
UChicagoCHATTOPADHYAY-UnIT,1402658.6,1506626,-103967.4,-6.9%
UCLA-SuEIR,1402343.6,1506626,-104282.4,-6.9%
IBF-TimeSeries,1625628.0,1506626,119002.0,7.9%
RobertWalraven-ESG,1627714.8,1506626,121088.8,8.0%
IQVIA_ACOE-STAN,1371696.0,1506626,-134930.0,-9.0%
OliverWyman-Navigator,1371486.0,1506626,-135140.0,-9.0%
IowaStateLW-STEM,1369846.0,1506626,-136780.0,-9.1%
OneQuietNight-ML,1660986.0,1506626,154360.0,10.2%
UVA-Ensemble,1666035.3,1506626,159409.3,10.6%
USC-SI_kJalpha,1339401.0,1506626,-167225.0,-11.1%
CEID-Walk,1337230.8,1506626,-169395.2,-11.2%
COVIDhub-baseline,1336636.0,1506626,-169990.0,-11.3%
CU-select,1324683.0,1506626,-181943.0,-12.1%
Covid19Sim-Simulator,1311035.1,1506626,-195590.9,-13.0%
JHU_CSSE-DECOM,1308513.0,1506626,-198113.0,-13.1%
CovidAnalytics-DELPHI,1724177.0,1506626,217551.0,14.4%
QJHong-Encounter,1269563.0,1506626,-237063.0,-15.7%
DDS-NBDS,1781410.5,1506626,274784.5,18.2%
TTU-squider,1114344.0,1506626,-392282.0,-26.0%
JHU_IDD-CovidSP,928392.1,1506626,-578233.9,-38.4%
Google_Harvard-CPF,,1506626,,
JHU_UNC_GAS-StatMechPool,,1506626,,
UCSB-ACTS,,1506626,,
Wadhwani_AI-BayesOpt,,1506626,,
