,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,1273,680.0,,,,,295.0,,449.8,,429.1,1282.0,-593.0,,,,,-978.0,,-823.2,,-843.9,9.0,,,,,False,,False,,False,True
01003,4315,1280.0,,,,,1358.0,,790.9,,1070.6,0.0,-3035.0,,,,,-2957.0,,-3524.1,,-3244.4,-4315.0,,,,,True,,False,,False,False
01005,291,280.0,,,,,130.0,,126.8,,,174.0,-11.0,,,,,-161.0,,-164.2,,,-117.0,,,,,False,,False,,,False
01007,634,392.0,,,,,152.0,,337.1,,,682.0,-242.0,,,,,-482.0,,-296.9,,,48.0,,,,,False,,False,,,True
01009,1907,824.0,,,,,471.0,,499.9,,398.0,208.0,-1083.0,,,,,-1436.0,,-1407.1,,-1509.0,-1699.0,,,,,False,,False,,False,False
01011,93,88.0,,,,,51.0,,53.7,,,0.0,-5.0,,,,,-42.0,,-39.3,,,-93.0,,,,,False,,False,,,False
01013,313,304.0,,,,,114.0,,240.1,,,178.0,-9.0,,,,,-199.0,,-72.9,,,-135.0,,,,,False,,False,,,False
01015,3689,1944.0,,,,,918.0,,1141.0,,1402.2,0.0,-1745.0,,,,,-2771.0,,-2548.0,,-2286.8,-3689.0,,,,,False,,False,,False,False
01017,736,192.0,,,,,164.0,,211.3,,86.3,299.0,-544.0,,,,,-572.0,,-524.7,,-649.7,-437.0,,,,,False,,True,,False,True
01019,481,376.0,,,,,203.0,,273.9,,,243.0,-105.0,,,,,-278.0,,-207.1,,,-238.0,,,,,False,,False,,,False
01021,738,528.0,,,,,304.0,,371.2,,421.5,238.0,-210.0,,,,,-434.0,,-366.8,,-316.5,-500.0,,,,,False,,False,,False,False
01023,69,88.0,,,,,114.0,,56.4,,,62.0,19.0,,,,,45.0,,-12.6,,,-7.0,,,,,False,,True,,,True
01025,776,344.0,,,,,244.0,,322.7,,159.4,65.0,-432.0,,,,,-532.0,,-453.3,,-616.6,-711.0,,,,,False,,False,,False,False
01027,298,448.0,,,,,73.0,,302.5,,,493.0,150.0,,,,,-225.0,,4.5,,,195.0,,,,,False,,True,,,False
01029,358,384.0,,,,,103.0,,360.4,,,135.0,26.0,,,,,-255.0,,2.4,,,-223.0,,,,,False,,True,,,False
01031,1260,752.0,,,,,298.0,,560.6,,459.1,383.0,-508.0,,,,,-962.0,,-699.4,,-800.9,-877.0,,,,,False,,False,,False,False
01033,1916,632.0,,,,,612.0,,478.2,,288.1,538.0,-1284.0,,,,,-1304.0,,-1437.8,,-1627.9,-1378.0,,,,,False,,False,,False,False
01035,222,56.0,,,,,74.0,,37.0,0.0,,60.0,-166.0,,,,,-148.0,,-185.0,-222.0,,-162.0,,,,,True,,False,False,,True
01037,227,72.0,,,,,42.0,,79.0,0.0,,48.0,-155.0,,,,,-185.0,,-148.0,-227.0,,-179.0,,,,,False,,True,False,,False
01039,879,792.0,,,,,281.0,,555.1,0.2,347.5,271.0,-87.0,,,,,-598.0,,-323.9,-878.8,-531.5,-608.0,,,,,False,,False,False,False,False
01041,183,168.0,,,,,67.0,,130.1,0.0,,97.0,-15.0,,,,,-116.0,,-52.9,-183.0,,-86.0,,,,,False,,False,False,,False
01043,3404,1408.0,,,,,903.0,,1015.5,3.4,570.9,1421.0,-1996.0,,,,,-2501.0,,-2388.5,-3400.6,-2833.1,-1983.0,,,,,False,,False,False,False,True
01045,1138,496.0,,,,,277.0,,244.5,0.4,410.6,154.0,-642.0,,,,,-861.0,,-893.5,-1137.6,-727.4,-984.0,,,,,False,,False,False,False,False
01047,649,128.0,,,,,239.0,,103.8,0.1,69.5,133.0,-521.0,,,,,-410.0,,-545.2,-648.9,-579.5,-516.0,,,,,True,,False,False,False,True
01049,2654,2336.0,,,,,835.0,,2201.4,406.4,1139.0,1139.0,-318.0,,,,,-1819.0,,-452.6,-2247.6,-1515.0,-1515.0,,,,,False,,False,False,False,False
01051,1839,1032.0,,,,,354.0,,867.2,3.6,584.4,980.0,-807.0,,,,,-1485.0,,-971.8,-1835.4,-1254.6,-859.0,,,,,False,,False,False,False,False
01053,555,144.0,,,,,361.0,,132.9,0.1,62.7,49.0,-411.0,,,,,-194.0,,-422.1,-554.9,-492.3,-506.0,,,,,True,,False,False,False,False
01055,3949,1456.0,,,,,1038.0,,897.3,5.1,852.8,810.0,-2493.0,,,,,-2911.0,,-3051.7,-3943.9,-3096.2,-3139.0,,,,,False,,False,False,False,False
01057,614,312.0,,,,,149.0,,225.4,0.5,,510.0,-302.0,,,,,-465.0,,-388.6,-613.5,,-104.0,,,,,False,,False,False,,True
01059,874,704.0,,,,,394.0,,277.1,7.5,405.0,916.0,-170.0,,,,,-480.0,,-596.9,-866.5,-469.0,42.0,,,,,False,,False,False,False,True
01061,573,304.0,,,,,187.0,,418.4,0.0,,77.0,-269.0,,,,,-386.0,,-154.6,-573.0,,-496.0,,,,,False,,True,False,,False
01063,210,24.0,,,,,47.0,,101.6,0.0,,78.0,-186.0,,,,,-163.0,,-108.4,-210.0,,-132.0,,,,,True,,True,False,,True
01065,382,304.0,,,,,112.0,,218.4,0.5,,77.0,-78.0,,,,,-270.0,,-163.6,-381.5,,-305.0,,,,,False,,False,False,,False
