,mean_rank
LNQ-ens1,11.1
OliverWyman-Navigator,12.3
Microsoft-DeepSTIA,12.6
COVIDhub-ensemble,12.8
MSRA-DeepST,13.0
OneQuietNight-ML,13.0
USC-SI_kJalpha,13.0
IEM_MED-CovidProject,14.0
JHUAPL-Bucky,14.0
LANL-GrowthRate,14.0
JHU_CSSE-DECOM,14.7
Karlen-pypm,14.7
Geneva-DetGrowth,15.7
IowaStateLW-STEM,15.9
COVIDhub-baseline,15.9
CEID-Walk,16.2
UCLA-SuEIR,16.2
IQVIA_ACOE-STAN,16.4
CU-select,16.5
UChicagoCHATTOPADHYAY-UnIT,16.5
JCB-PRM,18.0
Google_Harvard-CPF,18.0
JHU_UNC_GAS-StatMechPool,18.5
BPagano-RtDriven,18.6
DDS-NBDS,18.7
UVA-Ensemble,19.1
Covid19Sim-Simulator,19.5
RobertWalraven-ESG,19.6
TTU-squider,19.7
CovidAnalytics-DELPHI,21.4
UCSB-ACTS,23.5
JHU_IDD-CovidSP,26.5
Wadhwani_AI-BayesOpt,31.0
