,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01001,1090,666.0,,814.0,,,,,447.0,,468.8,169.1,704.0,469.1,1022.0,-424.0,,-276.0,,,,,-643.0,,-621.2,-920.9,-386.0,-620.9,-68.0,,True,,,,,False,,False,False,True,False,True
01003,3710,1818.0,,2406.0,,,,,2156.0,,1540.2,587.2,2416.0,907.8,26.0,-1892.0,,-1304.0,,,,,-1554.0,,-2169.8,-3122.8,-1294.0,-2802.2,-3684.0,,True,,,,,True,,False,False,True,False,False
01005,210,174.0,,277.0,,,,,193.0,,269.3,76.8,213.0,143.4,75.0,-36.0,,67.0,,,,,-17.0,,59.3,-133.2,3.0,-66.6,-135.0,,False,,,,,True,,False,False,True,False,False
01007,540,270.0,,393.0,,,,,234.0,,356.3,61.9,254.0,,180.0,-270.0,,-147.0,,,,,-306.0,,-183.7,-478.1,-286.0,,-360.0,,True,,,,,False,,True,False,False,,False
01009,1635,894.0,,1641.0,,,,,635.0,,718.5,119.3,1550.0,397.1,153.0,-741.0,,6.0,,,,,-1000.0,,-916.5,-1515.7,-85.0,-1237.9,-1482.0,,True,,,,,False,,False,False,True,False,False
01011,73,30.0,,0.0,,,,,86.0,,67.8,24.8,22.0,,2.0,-43.0,,-73.0,,,,,13.0,,-5.2,-48.2,-51.0,,-71.0,,False,,,,,True,,True,False,False,,False
01013,283,90.0,,0.0,,,,,159.0,,76.1,40.6,34.0,76.9,37.0,-193.0,,-283.0,,,,,-124.0,,-206.9,-242.4,-249.0,-206.1,-246.0,,False,,,,,True,,False,False,False,False,False
01015,2877,1764.0,,2238.0,,,,,1281.0,,4321.9,337.2,1840.5,979.3,31.0,-1113.0,,-639.0,,,,,-1596.0,,1444.9,-2539.8,-1036.5,-1897.7,-2846.0,,True,,,,,False,,False,False,True,False,False
01017,605,234.0,,471.0,,,,,297.0,,227.4,89.1,289.0,93.2,104.0,-371.0,,-134.0,,,,,-308.0,,-377.6,-515.9,-316.0,-511.8,-501.0,,True,,,,,True,,False,False,True,False,False
01019,405,300.0,,235.0,,,,,333.0,,248.2,69.6,296.0,,284.0,-105.0,,-170.0,,,,,-72.0,,-156.8,-335.4,-109.0,,-121.0,,False,,,,,True,,False,False,False,,False
01021,576,414.0,,465.0,,,,,473.0,,424.6,129.1,475.0,214.2,202.0,-162.0,,-111.0,,,,,-103.0,,-151.4,-446.9,-101.0,-361.8,-374.0,,True,,,,,True,,True,False,True,False,False
01023,58,30.0,,5.0,,,,,116.0,,40.4,16.7,6.0,,10.0,-28.0,,-53.0,,,,,58.0,,-17.6,-41.3,-52.0,,-48.0,,False,,,,,False,,True,False,False,,False
01025,631,306.0,,226.0,,,,,396.0,,531.3,52.9,480.0,162.9,44.0,-325.0,,-405.0,,,,,-235.0,,-99.7,-578.0,-151.0,-468.1,-587.0,,False,,,,,True,,True,False,True,False,False
01027,225,186.0,,183.0,,,,,130.0,,184.4,41.2,129.0,,89.0,-39.0,,-42.0,,,,,-95.0,,-40.6,-183.8,-96.0,,-136.0,,False,,,,,False,,False,False,False,,False
01029,287,162.0,,131.0,,,,,194.0,,300.5,27.4,150.0,,72.0,-125.0,,-156.0,,,,,-93.0,,13.5,-259.6,-137.0,,-215.0,,False,,,,,True,,True,False,False,,False
01031,1011,612.0,,709.0,,,,,430.0,,946.7,261.3,732.0,376.7,320.0,-399.0,,-302.0,,,,,-581.0,,-64.3,-749.7,-279.0,-634.3,-691.0,,True,,,,,False,,True,False,True,False,False
01033,1503,876.0,,1285.0,,,,,744.0,,889.1,162.5,1538.0,514.0,977.0,-627.0,,-218.0,,,,,-759.0,,-613.9,-1340.5,35.0,-989.0,-526.0,,True,,,,,False,,True,False,True,False,True
01035,198,96.0,,5.0,,,,,91.0,,40.1,13.0,87.0,,81.0,-102.0,,-193.0,,,,,-107.0,,-157.9,-185.0,-111.0,,-117.0,,False,,,,,False,,False,False,False,,False
01037,201,114.0,,104.0,,,,,69.0,,108.7,26.1,157.0,,155.0,-87.0,,-97.0,,,,,-132.0,,-92.3,-174.9,-44.0,,-46.0,,False,,,,,False,,False,False,True,,True
01039,630,876.0,,840.0,,,,,397.0,,486.8,149.1,727.0,364.5,263.0,246.0,,210.0,,,,,-233.0,,-143.2,-480.9,97.0,-265.5,-367.0,,True,,,,,True,,True,False,True,False,False
01041,150,84.0,,39.0,,,,,116.0,,71.9,42.6,71.0,,32.0,-66.0,,-111.0,,,,,-34.0,,-78.1,-107.4,-79.0,,-118.0,,False,,,,,True,,False,False,False,,False
