,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,523,276.0,,281.6,,254.0,211.0,,,,,234.3,227.9,,,295.0,,213.2,,184.3,,216.0,255.1,,275.0,365.0,,,,,286.7,354.1,,,,,414.9,-247.0,,-241.4,,-269.0,-312.0,,,,,-288.7,-295.1,,,-228.0,,-309.8,,-338.7,,-307.0,-267.9,,-248.0,-158.0,,,,,-236.3,-168.9,,,,,-108.1,,True,,False,False,,,,,False,False,,,True,,False,,False,,False,False,,False,True,,,,,True,True,,,,,True
01003,1932,1204.0,,1203.2,,1217.0,1417.0,,,,,792.5,1025.5,,,768.0,,1688.1,,791.6,,1902.5,1206.1,,1734.0,1595.0,,,,,1098.0,949.0,1609.0,,,,1714.5,-728.0,,-728.8,,-715.0,-515.0,,,,,-1139.5,-906.5,,,-1164.0,,-243.9,,-1140.4,,-29.5,-725.9,,-198.0,-337.0,,,,,-834.0,-983.0,-323.0,,,,-217.5,,False,,True,True,,,,,False,False,,,False,,True,,False,,True,True,,True,True,,,,,False,False,True,,,,True
01005,96,32.0,,28.0,,34.0,35.0,,,,,68.2,44.0,,,109.0,,45.2,,49.4,,17.0,36.8,,29.0,56.0,,,,,,37.1,,,,,41.0,-64.0,,-68.0,,-62.0,-61.0,,,,,-27.8,-52.0,,,13.0,,-50.8,,-46.6,,-79.0,-59.2,,-67.0,-40.0,,,,,,-58.9,,,,,-55.0,,False,,True,True,,,,,True,True,,,True,,True,,True,,False,True,,False,True,,,,,,True,,,,,True
01007,238,286.0,,273.8,,232.0,232.0,,,,,98.0,93.3,,,144.0,,688.8,,99.4,,89.0,107.0,,292.0,260.0,,,,,,181.4,,,,,350.4,48.0,,35.8,,-6.0,-6.0,,,,,-140.0,-144.7,,,-94.0,,450.8,,-138.6,,-149.0,-131.0,,54.0,22.0,,,,,,-56.6,,,,,112.4,,True,,True,True,,,,,False,False,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,False
01009,822,374.0,,373.4,,355.0,337.0,,,,,273.2,317.9,,,404.0,,284.1,,297.7,,321.0,340.9,,370.0,468.0,,,,,402.4,244.9,,,,,577.6,-448.0,,-448.6,,-467.0,-485.0,,,,,-548.8,-504.1,,,-418.0,,-537.9,,-524.3,,-501.0,-481.1,,-452.0,-354.0,,,,,-419.6,-577.1,,,,,-244.4,,False,,False,False,,,,,False,False,,,True,,False,,False,,False,False,,False,True,,,,,True,False,,,,,True
01011,30,16.0,,15.2,,17.0,5.0,,,,,40.4,20.1,,,43.0,,16.1,,17.6,,14.0,26.9,,32.0,38.0,,,,,,16.5,,,,,29.3,-14.0,,-14.8,,-13.0,-25.0,,,,,10.4,-9.9,,,13.0,,-13.9,,-12.4,,-16.0,-3.1,,2.0,8.0,,,,,,-13.5,,,,,-0.7,,False,,True,False,,,,,True,True,,,True,,True,,True,,False,True,,True,True,,,,,,True,,,,,True
01013,141,66.0,,73.1,,76.0,28.0,,,,,87.7,71.3,,,80.0,,91.5,,61.2,,91.0,80.0,,108.0,85.0,,,,,,57.8,,,,,77.2,-75.0,,-67.9,,-65.0,-113.0,,,,,-53.3,-69.7,,,-61.0,,-49.5,,-79.8,,-50.0,-61.0,,-33.0,-56.0,,,,,,-83.2,,,,,-63.8,,True,,True,False,,,,,True,True,,,True,,True,,False,,True,True,,True,True,,,,,,False,,,,,True
01015,1459,754.0,,741.6,,765.0,827.0,,,,,572.4,971.6,,,751.0,,488.1,,427.9,,784.0,785.4,,823.0,913.0,,,,,742.2,728.6,,,,,791.2,-705.0,,-717.4,,-694.0,-632.0,,,,,-886.6,-487.4,,,-708.0,,-970.9,,-1031.1,,-675.0,-673.6,,-636.0,-546.0,,,,,-716.8,-730.4,,,,,-667.8,,False,,True,True,,,,,False,True,,,False,,False,,False,,True,True,,True,True,,,,,False,False,,,,,True
01017,229,198.0,,195.2,,171.0,215.0,,,,,133.8,113.5,,,160.0,,295.0,,130.1,,135.0,134.0,,260.0,211.0,,,,,,197.3,,,,,168.5,-31.0,,-33.8,,-58.0,-14.0,,,,,-95.2,-115.5,,,-69.0,,66.0,,-98.9,,-94.0,-95.0,,31.0,-18.0,,,,,,-31.7,,,,,-60.5,,False,,False,True,,,,,False,False,,,False,,False,,False,,False,False,,False,True,,,,,,False,,,,,False
01019,165,86.0,,82.1,,92.0,128.0,,,,,82.1,75.7,,,159.0,,138.3,,103.3,,85.0,98.1,,103.0,138.0,,,,,,103.9,,,,,112.6,-79.0,,-82.9,,-73.0,-37.0,,,,,-82.9,-89.3,,,-6.0,,-26.7,,-61.7,,-80.0,-66.9,,-62.0,-27.0,,,,,,-61.1,,,,,-52.4,,False,,True,True,,,,,False,False,,,True,,True,,True,,False,True,,True,True,,,,,,True,,,,,True
