,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,661,486.0,,493.0,,493.0,513.0,,,,,558.4,,512.0,,575.5,,321.3,,594.0,489.4,,686.0,772.0,,,,,318.4,,,,,461.8,-175.0,,-168.0,,-168.0,-148.0,,,,,-102.6,,-149.0,,-85.5,,-339.7,,-67.0,-171.6,,25.0,111.0,,,,,-342.6,,,,,-199.2,,True,,True,True,,,,,True,,True,,True,,False,,True,True,,True,True,,,,,False,,,,,False
01003,2534,1605.0,,1606.1,,1695.0,2473.0,,,,,1486.1,,1324.0,,1659.4,,1045.5,,2481.5,2052.8,,2425.0,2590.0,,,,,1024.6,1724.0,,,,2074.0,-929.0,,-927.9,,-839.0,-61.0,,,,,-1047.9,,-1210.0,,-874.6,,-1488.5,,-52.5,-481.2,,-109.0,56.0,,,,,-1509.4,-810.0,,,,-460.0,,True,,True,True,,,,,False,,False,,True,,False,,True,True,,True,True,,,,,False,True,,,,True
01005,112,102.0,,93.7,,90.0,65.0,,,,,178.7,,189.0,,26.5,,82.4,,83.0,119.8,,108.0,227.0,,,,,72.3,,,,,118.9,-10.0,,-18.3,,-22.0,-47.0,,,,,66.7,,77.0,,-85.5,,-29.6,,-29.0,7.8,,-4.0,115.0,,,,,-39.7,,,,,6.9,,False,,False,False,,,,,False,,False,,False,,False,,False,True,,True,False,,,,,False,,,,,True
01007,381,174.0,,167.9,,167.0,154.0,,,,,258.8,,228.0,,76.0,,133.1,,281.0,387.0,,161.0,294.0,,,,,,,,,,140.7,-207.0,,-213.1,,-214.0,-227.0,,,,,-122.2,,-153.0,,-305.0,,-247.9,,-100.0,6.0,,-220.0,-87.0,,,,,,,,,,-240.3,,False,,False,False,,,,,True,,True,,False,,False,,True,True,,False,True,,,,,,,,,,False
01009,1009,651.0,,648.0,,642.0,943.0,,,,,790.9,,628.0,,699.5,,387.1,,636.0,596.8,,791.0,948.0,,,,,317.7,,,,,654.2,-358.0,,-361.0,,-367.0,-66.0,,,,,-218.1,,-381.0,,-309.5,,-621.9,,-373.0,-412.2,,-218.0,-61.0,,,,,-691.3,,,,,-354.8,,False,,False,True,,,,,True,,False,,True,,False,,False,False,,True,True,,,,,False,,,,,True
01011,38,39.0,,36.3,,36.0,0.0,,,,,76.0,,79.0,,15.6,,28.1,,30.0,59.4,,71.0,100.0,,,,,,,,,,44.5,1.0,,-1.7,,-2.0,-38.0,,,,,38.0,,41.0,,-22.4,,-9.9,,-8.0,21.4,,33.0,62.0,,,,,,,,,,6.5,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,,,,,,False
01013,174,171.0,,176.5,,157.0,5.0,,,,,204.1,,150.0,,192.9,,83.5,,171.0,145.9,,229.0,278.0,,,,,114.8,,,,,167.8,-3.0,,2.5,,-17.0,-169.0,,,,,30.1,,-24.0,,18.9,,-90.5,,-3.0,-28.1,,55.0,104.0,,,,,-59.2,,,,,-6.2,,True,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,False,,,,,False
01015,1836,1362.0,,1271.7,,1258.0,3921.0,,,,,1262.7,,1162.0,,2528.6,,811.1,,1167.0,1237.8,,1879.0,1893.0,,,,,946.1,,,,,1358.5,-474.0,,-564.3,,-578.0,2085.0,,,,,-573.3,,-674.0,,692.6,,-1024.9,,-669.0,-598.2,,43.0,57.0,,,,,-889.9,,,,,-477.5,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,True,True,,,,,False,,,,,False
01017,328,339.0,,351.3,,317.0,373.0,,,,,428.4,,264.0,,571.5,,194.7,,541.0,298.6,,494.0,519.0,,,,,205.1,,,,,260.4,11.0,,23.3,,-11.0,45.0,,,,,100.4,,-64.0,,243.5,,-133.3,,213.0,-29.4,,166.0,191.0,,,,,-122.9,,,,,-67.6,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,False,,,,,False
01019,208,243.0,,238.1,,227.0,221.0,,,,,326.2,,267.0,,236.0,,135.7,,215.0,222.1,,367.0,405.0,,,,,,,,,,281.0,35.0,,30.1,,19.0,13.0,,,,,118.2,,59.0,,28.0,,-72.3,,7.0,14.1,,159.0,197.0,,,,,,,,,,73.0,,True,,True,True,,,,,False,,False,,True,,False,,True,True,,False,False,,,,,,,,,,False
01021,383,228.0,,233.5,,226.0,130.0,,,,,353.3,,423.0,,154.9,,166.6,,225.0,314.6,,326.0,429.0,,,,,178.4,,,,,254.7,-155.0,,-149.5,,-157.0,-253.0,,,,,-29.7,,40.0,,-228.1,,-216.4,,-158.0,-68.4,,-57.0,46.0,,,,,-204.6,,,,,-128.3,,True,,False,False,,,,,True,,True,,False,,False,,False,True,,True,True,,,,,False,,,,,True
01023,37,18.0,,15.7,,18.0,0.0,,,,,47.1,,96.0,,2.3,,23.7,,22.0,22.9,,26.0,92.0,,,,,,,,,,18.1,-19.0,,-21.3,,-19.0,-37.0,,,,,10.1,,59.0,,-34.7,,-13.3,,-15.0,-14.1,,-11.0,55.0,,,,,,,,,,-18.9,,False,,False,False,,,,,True,,False,,False,,True,,True,True,,True,False,,,,,,,,,,True
01025,487,156.0,,155.0,,139.0,114.0,,,,,263.5,,213.0,,58.0,,139.4,,105.0,180.7,,188.0,283.0,,,,,127.3,,,,,170.2,-331.0,,-332.0,,-348.0,-373.0,,,,,-223.5,,-274.0,,-429.0,,-347.6,,-382.0,-306.3,,-299.0,-204.0,,,,,-359.7,,,,,-316.8,,False,,False,False,,,,,True,,True,,False,,False,,False,True,,True,True,,,,,False,,,,,True
01027,115,114.0,,117.8,,113.0,72.0,,,,,185.6,,136.0,,60.6,,46.6,,116.0,130.1,,171.0,191.0,,,,,,,,,,107.8,-1.0,,2.8,,-2.0,-43.0,,,,,70.6,,21.0,,-54.4,,-68.4,,1.0,15.1,,56.0,76.0,,,,,,,,,,-7.2,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,False,False,,,,,,,,,,False
01029,138,243.0,,211.1,,203.0,51.0,,,,,339.8,,160.0,,234.1,,64.5,,246.0,197.9,,327.0,295.0,,,,,,,,,,224.8,105.0,,73.1,,65.0,-87.0,,,,,201.8,,22.0,,96.1,,-73.5,,108.0,59.9,,189.0,157.0,,,,,,,,,,86.8,,True,,True,True,,,,,False,,True,,True,,True,,False,True,,False,False,,,,,,,,,,True
