,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Alabama,76998,53444.0,77779.9,49651.5,59423.0,67722.0,,18381.0,70396.8,89704.5,,62259.0,58742.9,44118.8,88388.0,38644.8,55874.0,58185.8,62067.0,76984.0,64044.3,,96516.8,28921.6,,29499.6,59323.1,48523.8,70293.3,33015.0,58696.1,-23554.0,781.9,-27346.5,-17575.0,-9276.0,,-58617.0,-6601.2,12706.5,,-14739.0,-18255.1,-32879.2,11390.0,-38353.2,-21124.0,-18812.2,-14931.0,-14.0,-12953.7,,19518.8,-48076.4,,-47498.4,-17674.9,-28474.2,-6704.7,-43983.0,-18301.9,True,False,True,True,,False,True,True,,True,True,False,True,False,True,True,True,True,True,,True,False,,False,True,False,True,False,True
Alaska,17344,15388.0,14381.0,15413.1,18988.0,12177.0,,6825.0,23030.6,16865.5,,,21632.6,25063.4,25241.0,9269.8,21969.5,26915.5,22739.0,22633.6,21439.0,,23266.5,16548.0,,15870.1,19570.1,10947.9,14915.1,0.0,24399.9,-1956.0,-2963.0,-1930.9,1644.0,-5167.0,,-10519.0,5686.6,-478.5,,,4288.6,7719.4,7897.0,-8074.2,4625.5,9571.5,5395.0,5289.6,4095.0,,5922.5,-796.0,,-1473.9,2226.1,-6396.1,-2428.9,-17344.0,7055.9,False,True,True,False,,False,False,True,,,False,False,False,False,False,False,False,False,False,,False,True,,True,False,False,False,False,False
Arizona,129536,62676.0,44175.8,62953.7,75617.0,90315.0,,4668.0,93089.0,132797.6,,58514.0,81148.8,81799.0,74702.0,92459.4,78312.5,115681.8,104341.0,93666.1,92311.6,,96733.1,65493.8,,31497.0,71340.6,81907.0,86789.0,72101.0,82996.2,-66860.0,-85360.2,-66582.3,-53919.0,-39221.0,,-124868.0,-36447.0,3261.6,,-71022.0,-48387.2,-47737.0,-54834.0,-37076.6,-51223.5,-13854.2,-25195.0,-35869.9,-37224.4,,-32802.9,-64042.2,,-98039.0,-58195.4,-47629.0,-42747.0,-57435.0,-46539.8,False,True,True,True,,False,True,True,,False,True,True,True,True,True,True,True,True,True,,True,True,,False,True,True,True,True,True
Arkansas,52086,45352.0,31404.9,44979.0,49361.0,47203.0,,19310.0,44695.6,56650.3,,56487.0,57626.2,88046.0,71580.0,28127.2,48699.0,55581.7,50606.5,57754.4,56744.0,,71457.5,22318.7,,26642.5,45885.3,60715.6,32540.1,26797.0,52748.1,-6734.0,-20681.1,-7107.0,-2725.0,-4883.0,,-32776.0,-7390.4,4564.3,,4401.0,5540.2,35960.0,19494.0,-23958.8,-3387.0,3495.7,-1479.5,5668.4,4658.0,,19371.5,-29767.3,,-25443.5,-6200.7,8629.6,-19545.9,-25289.0,662.1,False,False,True,True,,False,False,True,,True,True,False,False,False,True,True,True,True,True,,False,False,,False,True,False,False,False,True
California,545685,214820.0,313889.7,212720.9,269618.0,318281.0,,25462.0,261245.0,244464.9,,229367.0,261210.8,344610.0,307304.0,224386.5,227186.5,304032.1,359858.0,381170.1,279319.8,,249786.6,16394.1,,117369.1,217219.1,214593.3,465501.9,334649.0,328401.6,-330865.0,-231795.3,-332964.1,-276067.0,-227404.0,,-520223.0,-284440.0,-301220.1,,-316318.0,-284474.2,-201075.0,-238381.0,-321298.5,-318498.5,-241652.9,-185827.0,-164514.9,-266365.2,,-295898.3,-529290.9,,-428315.9,-328465.9,-331091.7,-80183.1,-211036.0,-217283.4,True,False,True,True,,False,True,True,,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,False,True,True,True
Colorado,126400,125068.0,197989.4,128015.7,174921.0,150719.0,,523286.0,211840.4,208180.9,,101311.0,130440.3,171375.7,188941.0,103383.2,211220.0,270825.3,282742.0,185812.4,184537.2,,222412.3,185916.5,,88191.0,129140.9,313250.9,94491.7,81749.0,203769.5,-1332.0,71589.4,1615.7,48521.0,24319.0,,396886.0,85440.4,81780.9,,-25089.0,4040.3,44975.7,62541.0,-23016.8,84820.0,144425.3,156342.0,59412.4,58137.2,,96012.3,59516.5,,-38209.0,2740.9,186850.9,-31908.3,-44651.0,77369.5,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False
Connecticut,58116,42080.0,39064.3,41783.5,49737.0,61321.0,,46496.0,1199373.9,38303.9,,29049.0,49628.8,51850.8,67710.0,58841.0,53780.5,86158.9,58210.0,51521.1,60913.1,,58457.6,39865.9,,39291.5,43940.3,127328.6,25305.0,29107.0,58550.7,-16036.0,-19051.7,-16332.5,-8379.0,3205.0,,-11620.0,1141257.9,-19812.1,,-29067.0,-8487.2,-6265.2,9594.0,725.0,-4335.5,28042.9,94.0,-6594.9,2797.1,,341.6,-18250.1,,-18824.5,-14175.7,69212.6,-32811.0,-29009.0,434.7,False,False,True,True,,True,False,False,,False,True,True,True,True,True,False,True,True,True,,True,False,,False,True,False,False,False,True
Delaware,16481,8548.0,10275.0,8556.9,9783.0,13291.0,,4177.0,12571.6,11093.8,,10413.0,10006.7,12932.9,13299.0,8165.0,8042.5,11752.8,12940.5,13390.8,12495.7,,12437.2,4939.8,,5021.2,7067.5,4982.7,13259.0,8656.0,6542.9,-7933.0,-6206.0,-7924.1,-6698.0,-3190.0,,-12304.0,-3909.4,-5387.2,,-6068.0,-6474.3,-3548.1,-3182.0,-8316.0,-8438.5,-4728.2,-3540.5,-3090.2,-3985.3,,-4043.8,-11541.2,,-11459.8,-9413.5,-11498.3,-3222.0,-7825.0,-9938.1,True,True,True,True,,False,True,True,,True,True,True,True,False,False,True,True,True,True,,True,False,,False,False,False,True,True,False
District of Columbia,5829,3692.0,3062.4,3831.0,4271.0,5713.0,,2212.0,6197.3,6257.7,,3900.0,4726.7,4409.7,6016.0,5034.4,3475.0,6328.3,4857.0,5853.7,,,6112.8,1186.1,,2328.5,3682.8,,6305.2,4096.0,4154.5,-2137.0,-2766.6,-1998.0,-1558.0,-116.0,,-3617.0,368.3,428.7,,-1929.0,-1102.3,-1419.3,187.0,-794.6,-2354.0,499.3,-972.0,24.7,,,283.8,-4642.9,,-3500.5,-2146.2,,476.2,-1733.0,-1674.5,False,True,True,True,,False,True,True,,True,True,True,True,True,False,True,True,True,,,True,False,,False,False,,True,True,True
Florida,241877,152076.0,249830.2,151058.4,173286.0,156733.0,,24571.0,231390.2,279929.5,,137693.0,199507.3,137011.7,220205.0,198442.6,167476.0,230094.7,196483.0,263850.6,216784.8,,175047.0,117741.6,,78059.5,207889.3,162979.1,209426.1,96740.0,158178.2,-89801.0,7953.2,-90818.6,-68591.0,-85144.0,,-217306.0,-10486.8,38052.5,,-104184.0,-42369.7,-104865.3,-21672.0,-43434.4,-74401.0,-11782.3,-45394.0,21973.6,-25092.2,,-66830.0,-124135.4,,-163817.5,-33987.7,-78897.9,-32450.9,-145137.0,-83698.8,True,False,True,True,,False,True,True,,False,True,False,True,True,True,True,True,True,True,,True,False,,False,True,True,True,False,True
