,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,6383660.5,6272641,111019.5,1.8%
Karlen-pypm,6568537.8,6272641,295896.8,4.7%
CU-select,5677796.0,6272641,-594845.0,-9.5%
BPagano-RtDriven,4973703.9,6272641,-1298937.1,-20.7%
Covid19Sim-Simulator,4961306.8,6272641,-1311334.2,-20.9%
UCLA-SuEIR,4760711.5,6272641,-1511929.5,-24.1%
JHUAPL-Bucky,4485128.5,6272641,-1787512.5,-28.5%
QJHong-Encounter,4277794.0,6272641,-1994847.0,-31.8%
IBF-TimeSeries,4075142.0,6272641,-2197499.0,-35.0%
Columbia_UNC-SurvCon,8617692.0,6272641,2345051.0,37.4%
COVIDhub-baseline,3635770.0,6272641,-2636871.0,-42.0%
JCB-PRM,3304602.7,6272641,-2968038.3,-47.3%
USC-SI_kJalpha,3105465.5,6272641,-3167175.5,-50.5%
IowaStateLW-STEM,3096351.0,6272641,-3176290.0,-50.6%
CovidAnalytics-DELPHI,3089260.0,6272641,-3183381.0,-50.8%
