,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,70476,41520.0,38946.6,41163.1,42908.0,37629.0,,45689.8,77788.0,64315.1,45873.1,,45396.0,51818.0,50029.3,32032.0,47154.0,30067.1,43706.8,29711.5,33563.0,44824.0,55217.0,51769.0,,104469.4,39217.6,,40903.9,65011.0,49334.0,,36979.9,43690.0,53581.9,-28956.0,-31529.4,-29312.9,-27568.0,-32847.0,,-24786.2,7312.0,-6160.9,-24602.9,,-25080.0,-18658.0,-20446.7,-38444.0,-23322.0,-40408.9,-26769.2,-40764.5,-36913.0,-25652.0,-15259.0,-18707.0,,33993.4,-31258.4,,-29572.1,-5465.0,-21142.0,,-33496.1,-26786.0,-16894.1,False,False,True,False,,True,True,True,True,,True,True,True,False,True,False,True,False,False,True,True,True,,False,False,,False,True,True,,False,True,True
Hawaii,1429,1442.0,3089.8,1475.3,1396.0,1626.0,,1503.4,1261.0,1060.5,2193.2,,,,1461.4,1069.8,1652.0,1910.8,1400.3,1353.5,1329.2,1687.0,1568.0,1407.0,,1292.1,1274.6,,1214.1,2103.2,1611.5,,1405.9,1826.0,1342.9,13.0,1660.8,46.3,-33.0,197.0,,74.4,-168.0,-368.5,764.2,,,,32.4,-359.2,223.0,481.8,-28.7,-75.5,-99.8,258.0,139.0,-22.0,,-136.9,-154.4,,-214.9,674.2,182.5,,-23.1,397.0,-86.1,False,False,False,False,,False,False,False,False,,,,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
Idaho,20972,17652.0,16817.4,17627.5,17409.0,16273.0,,17630.6,20250.0,15909.5,21201.7,,19712.0,20156.0,24231.9,16097.8,20315.0,10746.9,17043.7,18292.0,16110.7,20728.8,19331.0,19191.0,,18373.3,17302.5,,16065.1,33565.4,17137.5,,10406.7,16198.0,21313.1,-3320.0,-4154.6,-3344.5,-3563.0,-4699.0,,-3341.4,-722.0,-5062.5,229.7,,-1260.0,-816.0,3259.9,-4874.2,-657.0,-10225.1,-3928.3,-2680.0,-4861.3,-243.2,-1641.0,-1781.0,,-2598.7,-3669.5,,-4906.9,12593.4,-3834.5,,-10565.3,-4774.0,341.1,False,False,False,False,,False,True,False,True,,True,True,True,False,True,False,False,True,False,True,True,True,,True,False,,False,False,False,,False,False,True
Illinois,128752,133300.0,145162.3,134448.7,130226.0,115506.0,,132174.1,197328.0,191505.0,168872.1,,158064.0,146509.0,192600.9,103066.5,144825.0,102653.0,99767.2,95038.0,106319.6,107074.3,128707.0,135696.0,,116459.3,309288.2,,170534.9,311176.0,121406.8,97519.4,80039.8,119226.0,153328.4,4548.0,16410.3,5696.7,1474.0,-13246.0,,3422.1,68576.0,62753.0,40120.1,,29312.0,17757.0,63848.9,-25685.5,16073.0,-26099.0,-28984.8,-33714.0,-22432.4,-21677.7,-45.0,6944.0,,-12292.7,180536.2,,41782.9,182424.0,-7345.2,-31232.6,-48712.2,-9526.0,24576.4,False,False,True,False,,True,False,False,False,,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,False,False
Indiana,90528,79650.0,96228.6,78978.5,79842.0,71043.0,,78649.0,123068.0,103720.3,101609.3,,98576.0,80498.0,112345.7,78520.6,87749.0,50587.0,50535.9,66614.5,61820.5,79438.0,87645.0,84544.0,,100134.6,142322.2,,89008.1,169077.7,74081.7,67619.7,44357.0,75471.0,116672.1,-10878.0,5700.6,-11549.5,-10686.0,-19485.0,,-11879.0,32540.0,13192.3,11081.3,,8048.0,-10030.0,21817.7,-12007.4,-2779.0,-39941.0,-39992.1,-23913.5,-28707.5,-11090.0,-2883.0,-5984.0,,9606.6,51794.2,,-1519.9,78549.7,-16446.3,-22908.3,-46171.0,-15057.0,26144.1,True,False,True,False,,False,False,False,False,,True,True,False,False,True,False,False,False,False,False,True,True,,True,False,,True,False,False,False,False,False,False
Iowa,27830,35952.0,34173.6,33000.6,33626.0,29580.0,,37272.4,74620.0,48997.0,43493.8,,42695.0,40634.0,57755.8,23831.7,41885.0,24006.6,22673.4,20064.0,26399.7,35086.0,31306.0,38147.0,,4980.6,79179.1,,37097.6,107238.8,34563.5,,14449.9,29878.0,50523.9,8122.0,6343.6,5170.6,5796.0,1750.0,,9442.4,46790.0,21167.0,15663.8,,14865.0,12804.0,29925.8,-3998.3,14055.0,-3823.4,-5156.6,-7766.0,-1430.3,7256.0,3476.0,10317.0,,-22849.4,51349.1,,9267.6,79408.8,6733.5,,-13380.1,2048.0,22693.9,True,True,True,True,,False,False,False,False,,False,False,False,True,False,True,True,True,True,True,True,False,,False,False,,False,False,True,,False,True,False
Kansas,32960,36868.0,42886.6,36694.5,35336.0,33021.0,,36096.9,73209.0,14393.5,40425.2,,38568.0,36544.0,52084.8,40093.2,41147.0,23673.1,29759.5,13944.5,24748.3,33337.6,44856.0,40274.0,,25631.1,51475.2,,34520.4,67327.3,35231.6,,14394.5,28614.0,42506.9,3908.0,9926.6,3734.5,2376.0,61.0,,3136.9,40249.0,-18566.5,7465.2,,5608.0,3584.0,19124.8,7133.2,8187.0,-9286.9,-3200.5,-19015.5,-8211.7,377.6,11896.0,7314.0,,-7328.9,18515.2,,1560.4,34367.3,2271.6,,-18565.5,-4346.0,9546.9,False,True,True,True,,True,False,False,False,,False,True,False,False,False,False,True,False,False,True,False,False,,False,False,,True,False,True,,False,False,False
Kentucky,46477,36548.0,49259.9,35845.6,39541.0,37234.0,,39485.0,40104.0,43879.6,47154.8,,40094.0,41838.0,50449.3,47323.4,42136.0,24585.2,42122.5,48707.0,37689.5,44300.5,44080.0,40864.0,,83093.0,43915.6,,34440.8,69445.7,39125.4,,29549.0,39316.0,45901.0,-9929.0,2782.9,-10631.4,-6936.0,-9243.0,,-6992.0,-6373.0,-2597.4,677.8,,-6383.0,-4639.0,3972.3,846.4,-4341.0,-21891.8,-4354.5,2230.0,-8787.5,-2176.5,-2397.0,-5613.0,,36616.0,-2561.4,,-12036.2,22968.7,-7351.6,,-16928.0,-7161.0,-576.0,True,False,True,True,,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,,False,False,True,,False,True,True
Louisiana,33589,27786.0,36446.9,27229.3,30644.0,36280.0,,29015.5,26329.0,98875.5,29959.7,,21259.0,32636.0,37329.6,45193.4,31960.0,30217.4,50587.7,39136.5,21426.5,33524.6,35559.0,36720.0,,59945.6,13876.7,,21637.5,56886.5,27494.1,,12413.5,25370.0,29987.2,-5803.0,2857.9,-6359.7,-2945.0,2691.0,,-4573.5,-7260.0,65286.5,-3629.3,,-12330.0,-953.0,3740.6,11604.4,-1629.0,-3371.6,16998.7,5547.5,-12162.5,-64.4,1970.0,3131.0,,26356.6,-19712.3,,-11951.5,23297.5,-6094.9,,-21175.5,-8219.0,-3601.8,True,False,True,True,,True,False,False,True,,False,True,True,False,True,True,False,True,False,True,True,True,,False,False,,False,False,False,,False,False,True
Maine,4332,2330.0,2316.1,2152.6,2544.0,2249.0,,2682.8,6114.0,2963.8,2376.5,,1807.0,3522.0,3634.7,3087.6,2779.0,3204.6,1630.6,2901.5,2278.7,4296.1,2428.0,5357.0,,1833.8,6659.1,,3427.3,4849.0,2643.9,,1261.7,2061.0,2763.1,-2002.0,-2015.9,-2179.4,-1788.0,-2083.0,,-1649.2,1782.0,-1368.2,-1955.5,,-2525.0,-810.0,-697.3,-1244.4,-1553.0,-1127.4,-2701.4,-1430.5,-2053.3,-35.9,-1904.0,1025.0,,-2498.2,2327.1,,-904.7,517.0,-1688.1,,-3070.3,-2271.0,-1568.9,False,False,True,False,,True,True,True,True,,False,True,True,True,True,True,False,True,False,True,True,True,,False,False,,True,True,True,,False,False,True
