,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Maryland,37561,28954.0,46870.0,28335.5,30954.0,25551.0,,28639.0,57463.0,45178.1,35786.1,,28533.0,33267.0,40385.2,40453.4,31705.0,28992.2,24832.3,25031.0,28195.7,38463.8,38133.0,34716.0,,61346.7,32605.5,,29591.8,47442.2,26002.5,,22987.2,33282.0,42186.6,-8607.0,9309.0,-9225.5,-6607.0,-12010.0,,-8922.0,19902.0,7617.1,-1774.9,,-9028.0,-4294.0,2824.2,2892.4,-5856.0,-8568.8,-12728.7,-12530.0,-9365.3,902.8,572.0,-2845.0,,23785.7,-4955.5,,-7969.2,9881.2,-11558.5,,-14573.8,-4279.0,4625.6,False,False,True,False,,False,False,True,True,,False,True,True,True,True,True,False,False,False,True,True,True,,False,True,,True,False,False,,False,True,True
Massachusetts,63256,36628.0,35819.1,36562.4,37747.0,30635.0,,35319.4,57735.0,38685.1,51222.8,,30945.0,36504.0,49841.5,33465.0,40722.0,39482.1,45425.7,41536.0,37686.0,47471.5,37605.0,43905.0,,49084.8,70185.9,,44088.4,62429.6,34142.7,,32066.0,38138.0,50352.8,-26628.0,-27436.9,-26693.6,-25509.0,-32621.0,,-27936.6,-5521.0,-24570.9,-12033.2,,-32311.0,-26752.0,-13414.5,-29791.0,-22534.0,-23773.9,-17830.3,-21720.0,-25570.0,-15784.5,-25651.0,-19351.0,,-14171.2,6929.9,,-19167.6,-826.4,-29113.3,,-31190.0,-25118.0,-12903.2,False,False,True,False,,False,True,True,True,,False,False,True,False,True,True,True,True,True,True,True,True,,True,True,,True,True,False,,False,True,True
Michigan,87007,98262.0,114771.2,100550.7,96751.0,84766.0,,96815.5,168744.0,103218.0,150994.9,,128102.0,106674.0,141229.7,83143.5,111704.0,93222.8,77706.3,89002.0,87094.4,85098.1,102236.0,106617.0,,156487.2,243073.6,,97871.0,201933.3,85448.7,95940.7,58084.6,96760.0,155662.8,11255.0,27764.2,13543.7,9744.0,-2241.0,,9808.5,81737.0,16211.0,63987.9,,41095.0,19667.0,54222.7,-3863.5,24697.0,6215.8,-9300.7,1995.0,87.4,-1908.9,15229.0,19610.0,,69480.2,156066.6,,10864.0,114926.3,-1558.3,8933.7,-28922.4,9753.0,68655.8,False,False,True,True,,True,False,False,False,,False,False,False,True,False,True,True,True,True,True,False,False,,False,False,,True,False,True,True,False,True,False
Minnesota,71375,82142.0,91109.9,81397.0,83854.0,72815.0,,74490.0,187995.0,89404.1,115650.0,,102962.0,79223.0,131482.4,82861.8,89631.0,44337.3,69570.1,94945.0,81493.1,87640.8,85221.0,85961.0,,88885.0,175524.3,,89205.8,181950.8,63576.9,,90592.3,74113.0,144380.5,10767.0,19734.9,10022.0,12479.0,1440.0,,3115.0,116620.0,18029.1,44275.0,,31587.0,7848.0,60107.4,11486.8,18256.0,-27037.7,-1804.9,23570.0,10118.1,16265.8,13846.0,14586.0,,17510.0,104149.3,,17830.8,110575.8,-7798.1,,19217.3,2738.0,73005.5,False,True,False,True,,True,False,False,False,,False,True,False,False,False,False,True,False,True,False,False,False,,False,False,,False,False,True,,False,True,False
Mississippi,28007,15078.0,17988.8,15186.9,17164.0,15052.0,,15581.5,18883.0,24446.8,18193.9,,16683.0,16407.0,19548.1,15606.7,17786.0,11466.3,22596.0,16618.5,18917.3,20592.5,19986.0,19440.0,,23256.8,12480.7,,15672.6,30499.3,14754.3,,17702.3,14246.0,18314.8,-12929.0,-10018.2,-12820.1,-10843.0,-12955.0,,-12425.5,-9124.0,-3560.2,-9813.1,,-11324.0,-11600.0,-8458.9,-12400.3,-10221.0,-16540.7,-5411.0,-11388.5,-9089.7,-7414.5,-8021.0,-8567.0,,-4750.2,-15526.3,,-12334.4,2492.3,-13252.7,,-10304.7,-13761.0,-9692.2,True,True,True,False,,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,False,,True,False,True
Missouri,51293,52548.0,71373.6,51349.3,52783.0,45127.0,,55009.6,114274.0,60901.4,57505.1,,57792.0,59243.0,76827.4,39819.1,59663.0,34332.7,39759.4,32737.5,47142.7,55401.9,54448.0,61183.0,,56378.3,101691.4,,60811.1,119246.7,50614.2,,29571.3,47230.0,61971.8,1255.0,20080.6,56.3,1490.0,-6166.0,,3716.6,62981.0,9608.4,6212.1,,6499.0,7950.0,25534.4,-11473.9,8370.0,-16960.3,-11533.6,-18555.5,-4150.3,4108.9,3155.0,9890.0,,5085.3,50398.4,,9518.1,67953.7,-678.8,,-21721.7,-4063.0,10678.8,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,True,,False,False,False
Montana,11799,12606.0,14705.2,13753.8,13350.0,11042.0,,13747.7,9956.0,9528.0,16535.6,,12766.0,13350.0,19889.6,19366.0,14256.0,5462.2,16712.8,13962.5,11603.0,14042.1,12185.0,12896.0,,24273.0,19031.9,,9689.5,28289.0,14155.2,,6835.0,11042.0,15565.3,807.0,2906.2,1954.8,1551.0,-757.0,,1948.7,-1843.0,-2271.0,4736.6,,967.0,1551.0,8090.6,7567.0,2457.0,-6336.8,4913.8,2163.5,-196.0,2243.1,386.0,1097.0,,12474.0,7232.9,,-2109.5,16490.0,2356.2,,-4964.0,-757.0,3766.3,False,False,False,True,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,,False,False,False,,False,True,False
Nebraska,22365,24588.0,24878.2,24327.1,23721.0,19792.0,,23311.1,37680.0,29105.6,32137.9,,29951.0,28536.0,34422.1,13884.4,29814.0,14680.1,19852.0,16517.0,21091.8,26241.1,20301.0,26343.0,,16637.5,33908.6,,25439.7,58334.5,24041.2,,14071.3,20314.0,31865.5,2223.0,2513.2,1962.1,1356.0,-2573.0,,946.1,15315.0,6740.6,9772.9,,7586.0,6171.0,12057.1,-8480.6,7449.0,-7684.9,-2513.0,-5848.0,-1273.2,3876.1,-2064.0,3978.0,,-5727.5,11543.6,,3074.7,35969.5,1676.2,,-8293.7,-2051.0,9500.5,False,True,True,False,,True,False,False,False,,False,False,False,False,False,False,False,False,True,False,True,False,,False,False,,False,False,True,,False,True,False
Nevada,34720,34992.0,46381.0,34278.8,37389.0,36063.0,,30903.0,46340.0,32300.1,39387.4,,35990.0,35088.0,38303.9,41122.3,38739.0,27799.1,43846.4,43681.5,28270.5,38921.1,42050.0,36156.0,,41987.9,33146.8,,27637.4,45810.1,28498.3,,23932.5,37479.0,46611.9,272.0,11661.0,-441.2,2669.0,1343.0,,-3817.0,11620.0,-2419.9,4667.4,,1270.0,368.0,3583.9,6402.3,4019.0,-6920.9,9126.4,8961.5,-6449.5,4201.1,7330.0,1436.0,,7267.9,-1573.2,,-7082.6,11090.1,-6221.7,,-10787.5,2759.0,11891.9,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False
New Hampshire,10219,5420.0,7997.3,5614.0,6612.0,5730.0,,5835.7,13732.0,5784.7,7876.1,,6112.0,7221.0,8044.4,8842.4,6210.0,5626.0,6749.6,8178.5,6450.9,9459.6,6926.0,7832.0,,10810.6,10503.7,,6581.4,8667.0,5760.6,,8037.6,5798.0,6959.0,-4799.0,-2221.7,-4605.0,-3607.0,-4489.0,,-4383.3,3513.0,-4434.3,-2342.9,,-4107.0,-2998.0,-2174.6,-1376.6,-4009.0,-4593.0,-3469.4,-2040.5,-3768.1,-759.4,-3293.0,-2387.0,,591.6,284.7,,-3637.6,-1552.0,-4458.4,,-2181.4,-4421.0,-3260.0,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,,True,True,True
New Jersey,66943,55028.0,62864.6,55483.9,58336.0,50649.0,,56705.9,111654.0,75913.0,68642.9,,41833.0,56467.0,69421.2,61255.9,63672.0,60785.2,51677.3,58533.0,53458.1,66351.0,64318.0,62439.0,,66148.7,103142.1,,71710.5,98960.3,49912.7,,44043.7,56711.0,82909.9,-11915.0,-4078.4,-11459.1,-8607.0,-16294.0,,-10237.1,44711.0,8970.0,1699.9,,-25110.0,-10476.0,2478.2,-5687.1,-3271.0,-6157.8,-15265.7,-8410.0,-13484.9,-592.0,-2625.0,-4504.0,,-794.3,36199.1,,4767.5,32017.3,-17030.3,,-22899.3,-10232.0,15966.9,True,True,True,False,,True,False,True,True,,False,True,True,True,True,True,False,True,False,True,True,True,,True,False,,True,False,False,,False,True,False
New Mexico,24376,29084.0,37723.3,28787.4,31272.0,25899.0,,30801.7,38067.0,34229.2,40907.7,,35218.0,28328.0,38392.5,70244.6,32366.0,19578.6,31544.9,36311.0,22823.7,30240.7,34669.0,29357.0,,67493.0,47214.4,,33447.8,56722.2,24050.9,,14688.3,28582.0,35014.0,4708.0,13347.3,4411.4,6896.0,1523.0,,6425.7,13691.0,9853.2,16531.7,,10842.0,3952.0,14016.5,45868.6,7990.0,-4797.4,7168.9,11935.0,-1552.3,5864.7,10293.0,4981.0,,43117.0,22838.4,,9071.8,32346.2,-325.1,,-9687.7,4206.0,10638.0,False,True,False,True,,False,False,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,True,,False,True,False
New York,131065,87230.0,88873.5,87418.9,98266.0,99739.0,,84790.8,160922.0,99618.3,101437.8,,60210.0,91319.0,92995.1,108013.1,102419.0,111094.5,143820.5,101230.0,98159.8,110583.1,112108.0,116847.0,,104349.0,87302.1,,91048.3,128130.4,83512.5,,103971.4,100714.0,116424.2,-43835.0,-42191.5,-43646.1,-32799.0,-31326.0,,-46274.2,29857.0,-31446.7,-29627.2,,-70855.0,-39746.0,-38069.9,-23051.9,-28646.0,-19970.5,12755.5,-29835.0,-32905.2,-20481.9,-18957.0,-14218.0,,-26716.0,-43762.9,,-40016.7,-2934.6,-47552.5,,-27093.6,-30351.0,-14640.8,True,True,True,True,,False,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,False,,True,True,True
North Carolina,71818,51394.0,65058.6,52429.9,55391.0,60183.0,,47885.1,54760.0,57207.9,59488.5,,51493.0,52967.0,59258.8,54691.9,59435.0,44135.0,66214.5,55391.5,53979.4,64972.9,62695.0,61018.0,,78256.1,43767.9,,46975.8,71924.5,48916.0,,55236.6,57781.0,60329.5,-20424.0,-6759.4,-19388.1,-16427.0,-11635.0,,-23932.9,-17058.0,-14610.1,-12329.5,,-20325.0,-18851.0,-12559.2,-17126.1,-12383.0,-27683.0,-5603.5,-16426.5,-17838.6,-6845.1,-9123.0,-10800.0,,6438.1,-28050.1,,-24842.2,106.5,-22902.0,,-16581.4,-14037.0,-11488.5,True,True,True,True,,False,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,False,True,False,,True,True,True
North Dakota,9655,12790.0,10668.3,12985.2,12286.0,8661.0,,13833.7,12932.0,11688.3,13704.6,,13196.0,14472.0,19493.7,8929.6,14704.0,5648.7,9805.1,5439.0,10025.5,13584.6,10902.0,13021.0,,16898.2,13475.7,,8575.3,33660.9,10175.3,,5631.5,14337.0,14445.9,3135.0,1013.3,3330.2,2631.0,-994.0,,4178.7,3277.0,2033.3,4049.6,,3541.0,4817.0,9838.7,-725.4,5049.0,-4006.3,150.1,-4216.0,370.5,3929.6,1247.0,3366.0,,7243.2,3820.7,,-1079.7,24005.9,520.3,,-4023.5,4682.0,4790.9,True,False,True,True,,False,False,True,False,,False,False,False,True,False,False,True,False,True,False,True,False,,False,False,,True,False,True,,False,False,False
Ohio,146758,126834.0,178139.9,126809.4,135328.0,141759.0,,119275.2,207193.0,110226.9,160544.0,,140666.0,144466.0,156555.3,137755.5,148958.0,100394.1,216120.6,122793.0,113822.7,128310.8,140410.0,147175.0,,116105.5,211246.4,,152273.3,204614.4,113204.8,112554.1,109774.0,132899.0,180829.4,-19924.0,31381.9,-19948.6,-11430.0,-4999.0,,-27482.8,60435.0,-36531.1,13786.0,,-6092.0,-2292.0,9797.3,-9002.5,2200.0,-46363.9,69362.6,-23965.0,-32935.3,-18447.2,-6348.0,417.0,,-30652.5,64488.4,,5515.3,57856.4,-33553.2,-34203.9,-36984.0,-13859.0,34071.4,False,False,True,True,,False,False,False,True,,True,True,True,True,True,False,False,False,False,True,True,True,,False,False,,True,False,False,False,False,True,False
Oklahoma,39512,45800.0,61312.9,45605.3,47439.0,47820.0,,39864.3,69626.0,28893.3,59096.4,,45813.0,44882.0,57059.6,47438.6,52372.0,25015.8,72907.4,44194.5,38004.2,46867.6,52036.0,50644.0,,46876.6,19091.7,,47876.5,62849.0,43151.0,,35863.3,51584.0,59354.5,6288.0,21800.9,6093.3,7927.0,8308.0,,352.3,30114.0,-10618.7,19584.4,,6301.0,5370.0,17547.6,7926.6,12860.0,-14496.2,33395.4,4682.5,-1507.8,7355.6,12524.0,11132.0,,7364.6,-20420.3,,8364.5,23337.0,3639.0,,-3648.7,12072.0,19842.5,False,True,False,False,,True,False,False,False,,False,True,False,False,False,False,False,True,True,False,False,False,,False,False,,False,False,True,,True,False,False
Oregon,20333,17676.0,27246.9,17778.6,20930.0,20149.0,,20062.9,28468.0,15132.6,22766.0,,18763.0,21386.0,22365.3,19855.6,20057.0,17039.4,29722.8,23008.0,20583.2,24162.2,20898.0,22626.0,,24488.7,10809.2,,20011.7,26421.4,19576.5,,24726.5,21234.0,22891.6,-2657.0,6913.9,-2554.4,597.0,-184.0,,-270.1,8135.0,-5200.4,2433.0,,-1570.0,1053.0,2032.3,-477.4,-276.0,-3293.6,9389.8,2675.0,250.2,3829.2,565.0,2293.0,,4155.7,-9523.8,,-321.3,6088.4,-756.5,,4393.5,901.0,2558.6,False,True,True,True,,True,False,False,True,,True,True,True,True,True,False,False,False,True,False,True,True,,False,False,,True,False,True,,False,True,True
Pennsylvania,129385,97914.0,128785.5,97935.9,106389.0,104359.0,,88986.9,162610.0,110097.4,130353.0,,103620.0,105785.0,122337.5,122109.2,111816.0,98159.6,170184.5,99085.0,92049.9,108100.8,121285.0,119432.0,,143143.4,89958.3,,73643.5,153606.3,83706.6,128833.6,78099.2,99785.0,138566.5,-31471.0,-599.5,-31449.1,-22996.0,-25026.0,,-40398.1,33225.0,-19287.6,968.0,,-25765.0,-23600.0,-7047.5,-7275.8,-17569.0,-31225.4,40799.5,-30300.0,-37335.1,-21284.2,-8100.0,-9953.0,,13758.4,-39426.7,,-55741.5,24221.3,-45678.4,-551.4,-51285.8,-29600.0,9181.5,True,True,True,True,,False,False,True,True,,True,True,True,True,True,True,False,True,False,True,True,True,,True,False,,False,True,False,True,False,True,True
Rhode Island,16864,11906.0,13751.0,11616.6,12735.0,13264.0,,11665.0,15989.0,65389.7,13298.4,,9696.0,11893.0,17478.2,13557.1,13833.0,9225.1,21477.0,13827.0,9402.7,16535.3,11282.0,12881.0,,10865.9,20377.5,,13429.0,23389.6,10710.8,,6639.8,8604.0,14975.8,-4958.0,-3113.0,-5247.4,-4129.0,-3600.0,,-5199.0,-875.0,48525.7,-3565.6,,-7168.0,-4971.0,614.2,-3306.9,-3031.0,-7638.9,4613.0,-3037.0,-7461.3,-328.7,-5582.0,-3983.0,,-5998.1,3513.5,,-3435.0,6525.6,-6153.2,,-10224.2,-8260.0,-1888.2,True,False,True,True,,False,True,False,True,,False,False,True,True,True,False,True,True,False,True,False,True,,False,True,,True,False,False,,False,False,True
South Carolina,33887,19786.0,19366.8,19453.2,20819.0,18777.0,,19825.8,36337.0,20556.6,24135.3,,20275.0,23347.0,26281.9,20505.4,22282.0,20227.4,29127.8,25670.5,20717.9,25422.0,23918.0,24908.0,,37392.2,12928.6,,16813.2,37255.0,22343.0,,16137.5,20816.0,24610.0,-14101.0,-14520.2,-14433.8,-13068.0,-15110.0,,-14061.2,2450.0,-13330.4,-9751.7,,-13612.0,-10540.0,-7605.1,-13381.6,-11605.0,-13659.6,-4759.2,-8216.5,-13169.1,-8465.0,-9969.0,-8979.0,,3505.2,-20958.4,,-17073.8,3368.0,-11544.0,,-17749.5,-13071.0,-9277.0,False,False,True,False,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,False,,False,True,True,,False,True,True
South Dakota,11308,13770.0,13466.5,14027.8,13088.0,9712.0,,13133.4,14812.0,13596.2,15388.4,,14650.0,15188.0,16814.2,7710.3,16381.0,6160.5,12270.1,11614.5,11656.2,14722.8,11526.0,14284.0,,4479.4,13962.2,,11329.5,32060.8,12741.3,,9099.7,14441.0,15680.5,2462.0,2158.5,2719.8,1780.0,-1596.0,,1825.4,3504.0,2288.2,4080.4,,3342.0,3880.0,5506.2,-3597.7,5073.0,-5147.5,962.1,306.5,348.2,3414.8,218.0,2976.0,,-6828.6,2654.2,,21.5,20752.8,1433.3,,-2208.3,3133.0,4372.5,True,False,True,True,,True,False,True,False,,False,False,False,False,False,False,True,True,True,False,True,False,,False,False,,True,False,True,,True,False,False
Tennessee,79487,55158.0,57389.9,54764.4,55056.0,45158.0,,48344.4,69926.0,59941.7,70537.8,,58338.0,57160.0,70170.5,33320.1,64011.0,37165.8,76387.9,50643.5,52069.8,57827.5,63000.0,62113.0,,28621.9,45875.5,,57718.5,110847.6,50824.6,,43676.3,52732.0,61689.0,-24329.0,-22097.1,-24722.6,-24431.0,-34329.0,,-31142.6,-9561.0,-19545.3,-8949.2,,-21149.0,-22327.0,-9316.5,-46166.9,-15476.0,-42321.2,-3099.1,-28843.5,-27417.2,-21659.5,-16487.0,-17374.0,,-50865.1,-33611.5,,-21768.5,31360.6,-28662.4,,-35810.7,-26755.0,-17798.0,True,False,False,False,,False,True,True,True,,True,True,True,False,True,False,True,False,False,True,True,True,,False,False,,True,False,False,,False,False,True
Texas,207142,138306.0,158529.4,130511.6,152781.0,127157.0,,148453.4,140131.0,198120.1,155048.9,,138815.0,182819.0,169144.3,245861.4,163727.0,132807.3,145649.4,190286.0,137272.5,118705.3,155390.0,171972.0,,244372.1,133375.7,,150640.0,280310.6,159190.0,,96280.2,131836.0,179211.2,-68836.0,-48612.6,-76630.4,-54361.0,-79985.0,,-58688.6,-67011.0,-9021.9,-52093.1,,-68327.0,-24323.0,-37997.7,38719.4,-43415.0,-74334.7,-61492.6,-16856.0,-69869.5,-88436.7,-51752.0,-35170.0,,37230.1,-73766.3,,-56502.0,73168.6,-47952.0,,-110861.8,-75306.0,-27930.8,True,False,True,False,,True,True,True,True,,True,True,True,True,True,False,True,True,False,False,True,True,,True,False,,True,False,True,,False,False,True
Utah,39734,36216.0,39676.5,38424.8,34571.0,20723.0,,37687.5,61477.0,31450.5,34138.5,,37915.0,49810.0,60717.7,34006.6,39715.0,26601.3,31196.9,21919.0,30977.0,38917.2,29736.0,36283.0,,68253.9,36839.0,,30557.2,82928.4,26356.7,,17078.1,33515.0,27008.6,-3518.0,-57.5,-1309.2,-5163.0,-19011.0,,-2046.5,21743.0,-8283.5,-5595.5,,-1819.0,10076.0,20983.7,-5727.4,-19.0,-13132.7,-8537.1,-17815.0,-8757.0,-816.8,-9998.0,-3451.0,,28519.9,-2895.0,,-9176.8,43194.4,-13377.3,,-22655.9,-6219.0,-12725.4,True,True,False,False,,True,False,False,False,,True,False,False,False,True,False,False,False,False,True,False,True,,False,True,,False,False,False,,False,False,False
Vermont,1593,974.0,1983.6,1024.4,1024.0,1126.0,,0.0,4362.0,1399.6,1162.2,,673.0,1308.0,1682.8,1608.7,1179.0,1089.5,701.6,970.0,988.9,2004.8,1418.0,2283.0,,3197.5,1835.2,,1005.9,2146.8,1354.7,,769.6,879.0,1058.8,-619.0,390.6,-568.6,-569.0,-467.0,,-1593.0,2769.0,-193.4,-430.8,,-920.0,-285.0,89.8,15.7,-414.0,-503.5,-891.4,-623.0,-604.1,411.8,-175.0,690.0,,1604.5,242.2,,-587.1,553.8,-238.3,,-823.4,-714.0,-534.2,True,True,True,True,,False,False,True,True,,False,True,True,True,True,True,False,False,True,True,True,False,,False,True,,True,True,True,,False,False,True
Virginia,44998,35876.0,51926.3,36535.5,40430.0,43149.0,,33988.2,28021.0,44372.8,41939.1,,37150.0,37095.0,41744.7,49173.2,42140.0,30830.3,44251.8,43844.5,39582.8,46883.8,46455.0,42209.0,,45153.9,7767.9,,44750.9,40925.4,39508.9,,31548.3,39236.0,40811.5,-9122.0,6928.3,-8462.5,-4568.0,-1849.0,,-11009.8,-16977.0,-625.2,-3058.9,,-7848.0,-7903.0,-3253.3,4175.2,-2858.0,-14167.7,-746.2,-1153.5,-5415.2,1885.8,1457.0,-2789.0,,155.9,-37230.1,,-247.1,-4072.6,-5489.1,,-13449.7,-5762.0,-4186.5,True,True,True,True,,False,False,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,,True,False,,True,True,True,,False,True,True
Washington,41486,38748.0,49826.8,39176.1,42286.0,47525.0,,47512.8,62751.0,28948.0,44577.3,,38164.0,37930.0,38531.7,42286.4,45555.0,36608.8,57065.3,45979.0,37284.4,52843.9,41567.0,46679.0,,27781.9,32012.0,,44153.4,51432.1,37628.7,,35169.8,42183.0,50037.2,-2738.0,8340.8,-2309.9,800.0,6039.0,,6026.8,21265.0,-12538.0,3091.3,,-3322.0,-3556.0,-2954.3,800.4,4069.0,-4877.2,15579.3,4493.0,-4201.6,11357.9,81.0,5193.0,,-13704.1,-9474.0,,2667.4,9946.1,-3857.3,,-6316.2,697.0,8551.2,False,True,True,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,,True,False,False,,False,True,False
West Virginia,16306,12494.0,13964.8,12609.3,13914.0,13426.0,,11505.1,21196.0,12091.7,17251.2,,13950.0,13961.0,18601.0,18454.4,14369.0,8553.6,21852.7,18068.0,13613.1,17361.2,15775.0,15313.0,,23852.8,31006.8,,15257.0,21634.8,12742.7,,12639.8,12393.0,15767.8,-3812.0,-2341.2,-3696.7,-2392.0,-2880.0,,-4800.9,4890.0,-4214.3,945.2,,-2356.0,-2345.0,2295.0,2148.4,-1937.0,-7752.4,5546.7,1762.0,-2692.9,1055.2,-531.0,-993.0,,7546.8,14700.8,,-1049.0,5328.8,-3563.3,,-3666.2,-3913.0,-538.2,True,True,True,True,,False,False,False,True,,True,True,True,True,True,False,False,True,True,True,True,True,,False,False,,True,False,True,,True,False,True
Wisconsin,60992,65560.0,86536.8,63651.0,65335.0,50118.0,,72840.4,72671.0,66089.1,85358.7,,79847.0,70597.0,104660.5,54580.5,72606.0,40758.5,40977.7,58959.5,58114.3,65334.5,61208.0,66805.0,,91748.3,88178.2,,69091.7,170572.5,53211.8,60797.1,36214.0,55508.0,83900.6,4568.0,25544.8,2659.0,4343.0,-10874.0,,11848.4,11679.0,5097.1,24366.7,,18855.0,9605.0,43668.5,-6411.5,11614.0,-20233.5,-20014.3,-2032.5,-2877.7,4342.5,216.0,5813.0,,30756.3,27186.2,,8099.7,109580.5,-7780.2,-194.9,-24778.0,-5484.0,22908.6,False,True,True,False,,False,False,False,False,,False,False,False,False,False,False,False,True,True,True,True,False,,False,False,,False,False,False,True,False,False,False
Wyoming,6979,9036.0,9029.7,9290.5,9175.0,7959.0,,9487.2,13661.0,6059.9,10321.0,,9594.0,10781.0,15193.5,11103.5,10187.0,4366.8,6269.0,6287.0,7069.1,11206.4,8893.0,9365.0,,6555.9,15872.1,,9812.0,20418.3,7849.6,,3428.7,6822.0,11809.9,2057.0,2050.7,2311.5,2196.0,980.0,,2508.2,6682.0,-919.1,3342.0,,2615.0,3802.0,8214.5,4124.5,3208.0,-2612.2,-710.0,-692.0,90.1,4227.4,1914.0,2386.0,,-423.1,8893.1,,2833.0,13439.3,870.6,,-3550.3,-157.0,4830.9,True,False,False,True,,False,False,True,False,,False,False,False,False,False,False,True,True,True,False,True,False,,True,False,,False,False,True,,False,True,False
US,2840511,2280770.0,2729811.5,2283403.3,2312116.0,2176741.0,1870331.0,2334997.4,3538527.0,2796684.1,,2268824.0,2396685.0,2461906.0,2999857.2,2608385.6,2602688.0,1897890.1,2756433.9,2316793.5,2131574.2,2430746.6,2591906.0,2779112.0,2676682.0,1617507.9,2879451.5,2311805.0,2190984.8,,2135339.1,2317868.7,1789126.1,2231157.0,3034926.6,-559741.0,-110699.5,-557107.7,-528395.0,-663770.0,-970180.0,-505513.6,698016.0,-43826.9,,-571687.0,-443826.0,-378605.0,159346.2,-232125.4,-237823.0,-942620.9,-84077.1,-523717.5,-708936.8,-409764.4,-248605.0,-61399.0,-163829.0,-1223003.1,38940.5,-528706.0,-649526.2,,-705171.9,-522642.3,-1051384.9,-609354.0,194415.6,True,True,True,False,False,True,False,True,,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,True,False,,False,True,False,False,True
