,mean_rank
CU-select,8.9
MSRA-DeepST,9.2
LNQ-ens1,9.4
COVIDhub-ensemble,10.0
LANL-GrowthRate,10.6
USACE-ERDC_SEIR,11.2
JHU_CSSE-DECOM,11.3
JCB-PRM,11.6
UVA-Ensemble,11.9
Google_Harvard-CPF,11.9
RobertWalraven-ESG,11.9
COVIDhub-baseline,12.4
CEID-Walk,12.6
IowaStateLW-STEM,12.9
UCSB-ACTS,13.1
JHU_IDD-CovidSP,13.3
DDS-NBDS,13.3
JHU_UNC_GAS-StatMechPool,13.4
BPagano-RtDriven,14.2
JHUAPL-Bucky,16.7
USC-SI_kJalpha,16.9
Karlen-pypm,17.4
UCLA-SuEIR,17.5
TTU-squider,18.0
UMich-RidgeTfReg,20.2
CovidAnalytics-DELPHI,21.3
