,mean_rank
LNQ-ens1,10.2
COVIDhub-ensemble,10.4
LANL-GrowthRate,11.4
CU-select,11.4
UCLA-SuEIR,12.1
OliverWyman-Navigator,12.6
RobertWalraven-ESG,12.6
USC-SI_kJalpha,12.8
COVIDhub-baseline,12.8
Google_Harvard-CPF,13.3
MSRA-DeepST,13.3
UVA-Ensemble,13.4
CEID-Walk,13.5
Covid19Sim-Simulator,13.7
JCB-PRM,13.9
JHU_IDD-CovidSP,14.3
IowaStateLW-STEM,14.3
USACE-ERDC_SEIR,14.8
OneQuietNight-ML,15.1
JHU_CSSE-DECOM,16.2
UMich-RidgeTfReg,17.2
JHUAPL-Bucky,17.4
UCSB-ACTS,17.4
DDS-NBDS,17.6
BPagano-RtDriven,17.6
TTU-squider,18.6
CovidAnalytics-DELPHI,18.8
Karlen-pypm,19.3
