,actual_deaths,Baseline,YYG-ParamSearch,IHME-CurveFIt,error-Baseline,error-YYG,error-IHME,beat_baseline-YYG,beat_baseline-IHME
Argentina,1481,1341.6,1366.0,1043.6,-139.4,-115.0,-437.4,True,False
Austria,705,714.1,697.0,698.3,9.1,-8.0,-6.7,True,True
Belgium,9771,9772.1,9763.0,10093.1,1.1,-8.0,322.1,False,False
Bolivia,1378,1073.9,1147.0,1708.6,-304.1,-231.0,330.6,True,False
Brazil,64265,64072.0,62993.0,70892.2,-193.0,-1272.0,6627.2,False,False
Bulgaria,241,245.4,235.0,176.5,4.4,-6.0,-64.5,False,False
Canada,8732,8972.3,8955.0,8070.7,240.3,223.0,-661.3,True,False
Chile,6192,6625.9,6829.0,3203.0,433.9,637.0,-2989.0,False,False
Colombia,3942,3621.4,4149.0,3880.1,-320.6,207.0,-61.9,True,True
Croatia,113,107.0,110.0,106.6,-6.0,-3.0,-6.4,True,False
Cuba,86,86.9,87.0,85.5,0.9,1.0,-0.5,False,True
Cyprus,19,20.9,19.0,17.8,1.9,0.0,-1.2,True,True
Czechia,351,349.0,342.0,371.2,-2.0,-9.0,20.2,False,False
Denmark,606,605.6,610.0,620.5,-0.4,4.0,14.5,False,False
Dominican Republic,786,792.0,731.0,639.4,6.0,-55.0,-146.6,False,False
Ecuador,4769,4830.3,4610.0,5618.1,61.3,-159.0,849.1,False,False
Egypt,3280,3340.7,3002.0,1954.5,60.7,-278.0,-1325.5,False,False
Estonia,69,69.0,71.0,85.9,0.0,2.0,16.9,False,False
Finland,329,326.0,331.0,367.0,-3.0,2.0,38.0,True,False
France,29896,30075.7,29873.0,33196.8,179.7,-23.0,3300.8,True,False
Germany,9020,9069.6,9073.0,9164.3,49.6,53.0,144.3,False,False
Greece,192,203.0,194.0,194.0,11.0,2.0,2.0,True,True
Honduras,629,457.7,457.0,487.5,-171.3,-172.0,-141.5,False,True
Hungary,589,584.9,591.0,602.5,-4.1,2.0,13.5,True,False
Iceland,10,10.0,10.0,10.3,0.0,0.0,0.3,True,False
Ireland,1741,1731.7,1731.0,1696.9,-9.3,-10.0,-44.1,False,False
Israel,330,317.1,315.0,328.8,-12.9,-15.0,-1.2,False,True
Italy,34854,35170.7,35130.0,34523.1,316.7,276.0,-330.9,True,False
Japan,977,1007.0,988.0,1117.6,30.0,11.0,140.6,True,False
Latvia,30,33.7,32.0,27.4,3.7,2.0,-2.6,True,True
Lithuania,79,77.9,79.0,96.2,-1.1,0.0,17.2,True,False
Luxembourg,110,110.0,111.0,114.8,0.0,1.0,4.8,False,False
Malaysia,121,121.0,126.0,114.1,0.0,5.0,-6.9,False,False
Mexico,30366,30523.9,29995.0,26848.5,157.9,-371.0,-3517.5,False,False
Moldova,580,597.4,597.0,542.5,17.4,17.0,-37.5,True,False
Netherlands,6145,6166.6,6169.0,6221.6,21.6,24.0,76.6,False,False
Norway,251,247.7,247.0,232.8,-3.3,-4.0,-18.2,False,False
Panama,720,619.9,596.0,662.0,-100.1,-124.0,-58.0,False,True
Peru,10412,10039.4,10121.0,13952.4,-372.6,-291.0,3540.4,True,False
Philippines,1290,1319.4,1280.0,1269.7,29.4,-10.0,-20.3,True,True
Poland,1512,1558.4,1507.0,1271.4,46.4,-5.0,-240.6,True,False
Portugal,1605,1554.1,1576.0,1932.5,-50.9,-29.0,327.5,True,False
Romania,1731,1701.4,1620.0,1486.2,-29.6,-111.0,-244.8,False,False
Russia,10011,10260.9,10178.0,12889.6,249.9,167.0,2878.6,True,False
Serbia,306,274.0,269.0,294.5,-32.0,-37.0,-11.5,False,True
Slovakia,28,28.0,28.0,28.3,0.0,0.0,0.3,True,False
Slovenia,111,109.0,110.0,114.5,-2.0,-1.0,3.5,True,False
South Korea,283,285.6,287.0,313.0,2.6,4.0,30.0,False,False
Spain,28385,30527.4,28543.0,26984.6,2142.4,158.0,-1400.4,True,True
Sweden,5562,5385.4,5390.0,6749.1,-176.6,-172.0,1187.1,True,False
Switzerland,1965,1989.4,1970.0,2053.6,24.4,5.0,88.6,True,False
Turkey,5206,5215.6,5099.0,5067.7,9.6,-107.0,-138.3,False,False
Ukraine,1243,1221.9,1226.0,1272.9,-21.1,-17.0,29.9,True,False
United Kingdom,40698,44451.6,43877.0,43081.2,3753.6,3179.0,2383.2,True,True
