,actual_deaths,Baseline,COVIDhub-baseline,CU-select,Geneva-DetGrowth,IHME-CurveFit,Imperial-ensemble1,Imperial-ensemble2,LANL-GrowthRate,MOBS-GLEAM_COVID,UT-Mobility,YYG-ParamSearch,error-Baseline,error-COVIDhub-baseline,error-CU-select,error-Geneva-DetGrowth,error-IHME-CurveFit,error-Imperial-ensemble1,error-Imperial-ensemble2,error-LANL-GrowthRate,error-MOBS-GLEAM_COVID,error-UT-Mobility,error-YYG-ParamSearch,beat_baseline-COVIDhub-baseline,beat_baseline-CU-select,beat_baseline-Geneva-DetGrowth,beat_baseline-IHME-CurveFit,beat_baseline-Imperial-ensemble1,beat_baseline-Imperial-ensemble2,beat_baseline-LANL-GrowthRate,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch
Alabama,209,211.9,214.0,184.0,,225.8,,,197.6,361.7,229.3,207.9,2.9,5.0,-25.0,,16.8,,,-11.4,152.7,20.3,-1.1,False,False,,False,,,False,False,False,True
Alaska,9,9.9,10.0,15.0,,14.6,,,9.7,,11.3,11.4,0.9,1.0,6.0,,5.6,,,0.7,,2.3,2.4,False,False,,False,,,True,,False,False
Arizona,273,234.6,252.0,265.0,,251.0,,,248.4,311.0,274.6,239.5,-38.4,-21.0,-8.0,,-22.0,,,-24.6,38.0,1.6,-33.5,True,True,,True,,,True,True,True,True
Arkansas,48,49.3,51.0,50.0,,54.9,,,43.8,89.6,51.6,51.8,1.3,3.0,2.0,,6.9,,,-4.2,41.6,3.6,3.8,False,False,,False,,,False,False,False,False
California,1689,1637.3,1676.0,2012.0,,1508.0,,,1659.5,1500.1,1601.4,1565.2,-51.7,-13.0,323.0,,-181.0,,,-29.5,-188.9,-87.6,-123.8,True,False,,False,,,True,False,False,False
Colorado,684,532.3,528.0,585.0,,513.4,,,547.1,625.5,522.1,502.0,-151.7,-156.0,-99.0,,-170.6,,,-136.9,-58.5,-161.9,-182.0,False,True,,False,,,True,True,False,False
Connecticut,1865,1618.1,1678.0,2153.0,,1850.5,,,1384.0,1318.4,1543.1,1750.2,-246.9,-187.0,288.0,,-14.5,,,-481.0,-546.6,-321.9,-114.8,True,False,,True,,,False,False,False,True
Delaware,112,94.4,101.0,232.0,,102.6,,,80.7,77.1,99.4,97.5,-17.6,-11.0,120.0,,-9.4,,,-31.3,-34.9,-12.6,-14.5,True,False,,True,,,False,False,True,True
District of Columbia,165,135.4,135.0,,,146.2,,,131.6,,148.9,137.1,-29.6,-30.0,,,-18.8,,,-33.4,,-16.1,-27.9,False,,,True,,,False,,True,True
Florida,1055,1042.3,1058.0,1419.0,,1031.7,,,1008.4,1693.3,1006.0,1020.2,-12.7,3.0,364.0,,-23.3,,,-46.6,638.3,-49.0,-34.8,True,False,,False,,,False,False,False,False
Georgia,907,904.7,917.0,927.0,,1011.4,,,883.7,,825.6,934.0,-2.3,10.0,20.0,,104.4,,,-23.3,,-81.4,27.0,False,False,,False,,,False,,False,False
Hawaii,13,10.9,10.0,14.0,,22.8,,,11.0,,12.1,13.2,-2.1,-3.0,1.0,,9.8,,,-2.0,,-0.9,0.2,False,True,,False,,,True,,True,True
Idaho,56,58.6,61.0,54.0,,53.2,,,48.0,66.0,62.1,56.6,2.6,5.0,-2.0,,-2.8,,,-8.0,10.0,6.1,0.6,False,True,,False,,,False,False,False,True
Illinois,1875,1778.6,1841.0,2426.0,,1748.3,,,1763.5,1956.0,1757.4,1700.4,-96.4,-34.0,551.0,,-126.7,,,-111.5,81.0,-117.6,-174.6,True,False,,False,,,False,True,False,False
Indiana,786,749.7,760.0,815.0,,746.3,,,764.8,594.9,758.2,723.2,-36.3,-26.0,29.0,,-39.7,,,-21.2,-191.1,-27.8,-62.8,True,True,,False,,,True,False,True,False
Iowa,112,104.1,114.0,103.0,,118.8,,,119.9,95.3,110.0,104.1,-7.9,2.0,-9.0,,6.8,,,7.9,-16.7,-2.0,-7.9,True,False,,True,,,False,False,True,False
Kansas,120,124.7,115.0,113.0,,134.5,,,110.2,135.5,122.1,125.6,4.7,-5.0,-7.0,,14.5,,,-9.8,15.5,2.1,5.6,False,False,,False,,,False,False,True,False
Kentucky,205,188.0,198.0,165.0,,229.6,,,197.0,,190.6,185.1,-17.0,-7.0,-40.0,,24.6,,,-8.0,,-14.4,-19.9,True,False,,False,,,True,,True,False
Louisiana,1707,1686.9,1728.0,1832.0,,1525.8,,,1403.6,,1511.0,1585.1,-20.1,21.0,125.0,,-181.2,,,-303.4,,-196.0,-121.9,False,False,,False,,,False,,False,False
Maine,47,46.9,45.0,37.0,,44.6,,,38.1,55.4,48.4,44.8,-0.1,-2.0,-10.0,,-2.4,,,-8.9,8.4,1.4,-2.2,False,False,,False,,,False,False,False,False
Maryland,875,653.9,636.0,1036.0,,826.3,,,649.3,430.5,720.4,736.5,-221.1,-239.0,161.0,,-48.7,,,-225.7,-444.5,-154.6,-138.5,False,True,,True,,,False,False,True,True
Massachusetts,2730,2520.3,2122.0,3305.0,,2455.8,,,2607.5,1533.0,2565.3,2162.1,-209.7,-608.0,575.0,,-274.2,,,-122.5,-1197.0,-164.7,-567.9,False,False,,False,,,True,False,True,False
Michigan,3339,3172.7,3232.0,3191.0,,2954.3,,,2768.0,3926.1,3071.1,3021.0,-6.3,53.0,12.0,,-224.7,,,-411.0,747.1,-107.9,-158.0,False,False,,False,,,False,False,False,False
