,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51,126.2,71.9,150.0,0.6,27.3,135.9,566.6
USC-SI_kJalpha,51,187.3,85.0,244.1,0.0,26.5,232.0,1199.0
Auquan-SEIR,51,203.2,76.0,318.5,5.0,37.0,209.5,1615.0
UCLA-SuEIR,51,208.9,97.4,267.2,0.7,42.2,225.1,1211.4
CovidAnalytics-DELPHI,51,221.7,119.0,286.0,0.0,33.0,315.5,1579.0
IowaStateLW-STEM,49,283.2,134.0,527.5,0.0,31.5,323.0,3489.0
Baseline,51,307.0,62.9,638.8,0.0,28.6,280.2,3505.1
LANL-GrowthRate,51,321.6,177.8,437.1,0.3,53.3,411.4,2280.9
RobertWalraven-ESG,50,338.5,164.2,506.1,0.0,42.8,379.4,2705.1
USACE-ERDC_SEIR,51,417.9,137.4,600.5,1.3,44.3,458.7,2295.6
MITCovAlliance-SIR,51,631.0,153.4,1270.1,1.9,43.8,540.4,5775.1
