,actual_deaths,Baseline,Columbia_UNC-SurvCon,IHME-CurveFit,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-IHME-CurveFit,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IHME-CurveFit,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2558,2875.9,,2596.9,,2581.1,2834.5,2415.0,2702.7,317.9,,38.9,,23.1,276.5,-143.0,144.7,,True,,True,True,True,True
Alaska,58,41.7,,33.9,,38.4,47.3,28.0,52.3,-16.3,,-24.1,,-19.6,-10.7,-30.0,-5.7,,False,,False,True,False,True
Arizona,5705,7175.0,,5982.2,,5741.9,5398.7,4908.0,6339.9,1470.0,,277.2,,36.9,-306.3,-797.0,634.9,,True,,True,True,True,True
Arkansas,1407,1172.6,,1090.1,,922.7,916.5,1044.0,1007.0,-234.4,,-316.9,,-484.3,-490.5,-363.0,-400.0,,False,,False,False,False,False
California,16115,18084.9,,17886.4,,15336.1,16048.0,13983.0,16814.3,1969.9,,1771.4,,-778.9,-67.0,-2132.0,699.3,,True,,True,True,False,True
Colorado,2060,1968.0,,2641.1,,1947.0,2558.3,1986.0,2198.1,-92.0,,581.1,,-113.0,498.3,-74.0,138.1,,False,,False,False,True,False
Connecticut,4513,4511.7,,4606.1,,4510.1,4789.6,4468.0,4535.3,-1.3,,93.1,,-2.9,276.6,-45.0,22.3,,False,,False,False,False,False
Delaware,645,638.1,,639.4,,642.1,746.2,600.0,647.0,-6.9,,-5.6,,-2.9,101.2,-45.0,2.0,,True,,True,False,False,True
District of Columbia,629,630.3,,595.6,,636.1,780.7,620.0,635.1,1.3,,-33.4,,7.1,151.7,-9.0,6.1,,False,,False,False,False,False
Florida,14628,16844.6,,15465.5,,12649.7,12364.2,12678.0,14927.3,2216.6,,837.5,,-1978.3,-2263.8,-1950.0,299.3,,True,,True,False,True,True
Georgia,7133,7019.7,,7906.5,,6072.4,7132.9,5822.0,6404.5,-113.3,,773.5,,-1060.6,-0.1,-1311.0,-728.5,,False,,False,True,False,False
Hawaii,153,70.3,,28.3,,71.0,246.8,31.0,91.1,-82.7,,-124.7,,-82.0,93.8,-122.0,-61.9,,False,,True,False,False,True
Idaho,480,551.3,,585.9,,321.5,437.7,528.0,581.6,71.3,,105.9,,-158.5,-42.3,48.0,101.6,,False,,False,True,True,False
Illinois,9023,8874.3,,8569.7,,8962.8,12134.4,9226.0,9158.4,-148.7,,-453.3,,-60.2,3111.4,203.0,135.4,,False,,True,False,False,True
Indiana,3669,3559.6,,3662.5,,3361.4,6094.9,3656.0,3843.6,-109.4,,-6.5,,-307.6,2425.9,-13.0,174.6,,True,,False,False,True,False
Iowa,1381,1347.4,,1249.8,,1160.8,1384.9,1283.0,1308.3,-33.6,,-131.2,,-220.2,3.9,-98.0,-72.7,,False,,False,True,False,False
Kansas,690,529.3,,891.3,,456.0,581.2,509.0,578.8,-160.7,,201.3,,-234.0,-108.8,-181.0,-111.2,,False,,False,True,False,True
Kentucky,1205,1016.6,,1484.2,,942.9,1354.7,990.0,1106.2,-188.4,,279.2,,-262.1,149.7,-215.0,-98.8,,False,,False,True,False,True
