,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2558,2596.7,2614.9,2695.0,2611.0,2605.0,3036.0,2613.0,2531.6,2659.0,2624.9,2593.4,2641.5,,2440.8,2619.0,2856.0,2612.3,2608.1,2649.5,2583.5,2579.3,2561.1,2562.4,2697.0,2632.0,,2665.0,2607.2,2585.0,,2603.4,2544.6,,2599.0,2572.0,2599.8,,2639.2,2600.0,2645.4,2670.5,2569.0,2596.0,2591.7,2586.1,2493.0,38.7,56.9,137.0,53.0,47.0,478.0,55.0,-26.4,101.0,66.9,35.4,83.5,,-117.2,61.0,298.0,54.3,50.1,91.5,25.5,21.3,3.1,4.4,139.0,74.0,,107.0,49.2,27.0,,45.4,-13.4,,41.0,14.0,41.8,,81.2,42.0,87.4,112.5,11.0,38.0,33.7,28.1,-65.0,False,False,False,False,False,False,True,False,False,True,False,,False,False,False,False,False,False,True,True,True,True,False,False,,False,False,True,,False,True,,False,True,False,,False,False,False,False,True,True,True,True,False
Alaska,58,46.9,47.8,49.0,47.0,51.0,45.0,52.0,51.2,53.0,55.5,50.3,67.4,,49.2,,,51.6,52.5,64.7,50.0,51.0,45.3,62.0,82.0,52.5,,50.6,47.0,47.0,,,46.6,,49.0,56.0,47.3,,54.0,52.0,48.3,52.6,48.0,74.0,48.5,49.8,,-11.1,-10.2,-9.0,-11.0,-7.0,-13.0,-6.0,-6.8,-5.0,-2.5,-7.7,9.4,,-8.8,,,-6.4,-5.5,6.7,-8.0,-7.0,-12.7,4.0,24.0,-5.5,,-7.4,-11.0,-11.0,,,-11.4,,-9.0,-2.0,-10.7,,-4.0,-6.0,-9.7,-5.4,-10.0,16.0,-9.5,-8.2,,True,True,True,True,False,True,True,True,True,True,True,,True,,,True,True,True,True,True,False,True,False,True,,True,True,True,,,False,,True,True,True,,True,True,True,True,True,False,True,True,
Arizona,5705,5764.9,5706.1,5721.0,5723.0,5719.0,5787.0,5716.0,5647.7,5782.0,5822.1,,5686.4,,5713.9,5775.0,5781.0,5675.1,5613.5,5634.0,5688.7,5812.4,5681.6,5669.0,5656.0,5667.6,,5665.6,5830.6,5652.0,,5728.4,5656.2,,5740.0,5761.0,5718.7,,5674.7,5707.0,5903.1,5648.6,5801.0,5788.5,5752.4,5664.8,5573.0,59.9,1.1,16.0,18.0,14.0,82.0,11.0,-57.3,77.0,117.1,,-18.6,,8.9,70.0,76.0,-29.9,-91.5,-71.0,-16.3,107.4,-23.4,-36.0,-49.0,-37.4,,-39.4,125.6,-53.0,,23.4,-48.8,,35.0,56.0,13.7,,-30.3,2.0,198.1,-56.4,96.0,83.5,47.4,-40.2,-132.0,True,True,True,True,False,True,True,False,False,,True,,True,False,False,True,False,False,True,False,True,True,True,True,,True,False,True,,True,True,,True,True,True,,True,True,False,True,False,False,True,True,False
Arkansas,1407,1552.4,1593.5,1360.0,1605.0,1353.0,1348.0,1964.0,1467.5,1311.0,1423.4,,1293.1,,1171.5,1600.0,1517.0,1436.4,1306.6,1375.4,1343.5,1297.1,1412.7,1320.0,1410.0,1396.2,,1304.1,1339.1,1497.0,,1363.9,1262.5,,1512.0,1556.0,1525.2,,1666.9,1300.0,1353.3,1293.9,1349.0,1442.0,1312.3,1303.3,1103.0,145.4,186.5,-47.0,198.0,-54.0,-59.0,557.0,60.5,-96.0,16.4,,-113.9,,-235.5,193.0,110.0,29.4,-100.4,-31.6,-63.5,-109.9,5.7,-87.0,3.0,-10.8,,-102.9,-67.9,90.0,,-43.1,-144.5,,105.0,149.0,118.2,,259.9,-107.0,-53.7,-113.1,-58.0,35.0,-94.7,-103.7,-304.0,False,True,False,True,True,False,True,True,True,,True,,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,False,True,,False,True,True,True,True,True,True,True,False
California,16115,16200.9,16381.9,16335.0,16400.2,16054.0,15896.0,15880.0,15703.6,16294.0,16039.9,16175.8,15801.2,,16065.5,16527.0,16535.0,15968.6,15575.9,16273.4,16103.5,15956.8,16113.1,16233.8,16114.0,16004.0,,15296.8,16308.8,16286.0,,16263.9,15629.0,,16149.0,15935.0,16296.0,18296.0,16008.2,16018.0,16323.1,16053.6,15975.0,15798.0,15933.8,16003.6,,85.9,266.9,220.0,285.2,-61.0,-219.0,-235.0,-411.4,179.0,-75.1,60.8,-313.8,,-49.5,412.0,420.0,-146.4,-539.1,158.4,-11.5,-158.2,-1.9,118.8,-1.0,-111.0,,-818.2,193.8,171.0,,148.9,-486.0,,34.0,-180.0,181.0,2181.0,-106.8,-97.0,208.1,-61.4,-140.0,-317.0,-181.2,-111.4,,False,False,False,True,False,False,False,False,True,True,False,,True,False,False,False,False,False,True,False,True,False,True,False,,False,False,False,,False,False,,True,False,False,False,False,False,False,True,False,False,False,False,
Colorado,2060,2062.3,2058.4,2066.0,2064.3,2071.0,2113.0,2085.0,2052.8,2037.0,2057.1,2077.1,2085.7,,2048.7,2062.0,2091.0,2061.3,2180.8,2098.8,2062.0,2071.9,2059.9,2056.1,2097.0,2059.3,,2090.0,2082.7,2061.0,,2055.9,2072.9,,2068.0,2085.0,2056.4,,2066.5,2071.0,2130.6,2152.9,2063.0,2067.0,2046.7,2066.4,2051.0,2.3,-1.6,6.0,4.3,11.0,53.0,25.0,-7.2,-23.0,-2.9,17.1,25.7,,-11.3,2.0,31.0,1.3,120.8,38.8,2.0,11.9,-0.1,-3.9,37.0,-0.7,,30.0,22.7,1.0,,-4.1,12.9,,8.0,25.0,-3.6,,6.5,11.0,70.6,92.9,3.0,7.0,-13.3,6.4,-9.0,True,False,False,False,False,False,False,False,False,False,False,,False,True,False,True,False,False,True,False,True,False,False,True,,False,False,True,,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False
Connecticut,4513,4514.3,4516.4,4516.0,4520.2,4516.0,4541.0,4526.0,4510.4,4494.0,4510.9,4515.5,4528.8,,4483.6,4510.0,4548.0,4512.1,4608.1,4540.3,4508.7,4499.7,4511.3,4526.8,4516.0,4508.1,,4514.3,4521.8,4503.0,,4511.9,4500.7,,4518.0,4539.0,4512.7,,4515.4,4508.0,4670.6,4671.4,4513.0,4500.5,4501.6,4514.0,4502.0,1.3,3.4,3.0,7.2,3.0,28.0,13.0,-2.6,-19.0,-2.1,2.5,15.8,,-29.4,-3.0,35.0,-0.9,95.1,27.3,-4.3,-13.3,-1.7,13.8,3.0,-4.9,,1.3,8.8,-10.0,,-1.1,-12.3,,5.0,26.0,-0.3,,2.4,-5.0,157.6,158.4,0.0,-12.5,-11.4,1.0,-11.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,,True,False,,False,False,True,,False,False,False,False,True,False,False,True,False
Delaware,645,632.1,636.9,635.0,637.6,635.0,649.0,644.0,629.8,623.0,635.0,634.9,642.5,,623.9,623.0,641.0,633.0,651.7,633.4,631.3,627.0,628.5,629.8,637.0,632.0,,634.4,635.1,627.0,,,630.9,,636.0,642.0,634.9,,639.3,630.0,671.8,664.8,634.0,645.0,631.5,631.4,628.0,-12.9,-8.1,-10.0,-7.4,-10.0,4.0,-1.0,-15.2,-22.0,-10.0,-10.1,-2.5,,-21.1,-22.0,-4.0,-12.0,6.7,-11.6,-13.7,-18.0,-16.5,-15.2,-8.0,-13.0,,-10.6,-9.9,-18.0,,,-14.1,,-9.0,-3.0,-10.1,,-5.7,-15.0,26.8,19.8,-11.0,0.0,-13.5,-13.6,-17.0,True,True,True,True,True,True,False,False,True,True,True,,False,False,True,True,True,True,False,False,False,False,True,False,,True,True,False,,,False,,True,True,True,,True,False,False,False,True,True,False,False,False
District of Columbia,629,627.4,624.7,625.0,626.0,626.0,622.0,629.0,626.1,623.0,632.0,630.2,625.8,,628.0,625.0,627.0,626.3,645.1,625.6,627.4,626.3,623.5,626.3,627.0,,,626.9,626.1,625.0,,,622.9,,626.0,644.0,624.7,,,627.0,,647.3,626.0,635.0,623.7,626.7,,-1.6,-4.3,-4.0,-3.0,-3.0,-7.0,0.0,-2.9,-6.0,3.0,1.2,-3.2,,-1.0,-4.0,-2.0,-2.7,16.1,-3.4,-1.6,-2.7,-5.5,-2.7,-2.0,,,-2.1,-2.9,-4.0,,,-6.1,,-3.0,15.0,-4.3,,,-2.0,,18.3,-3.0,6.0,-5.3,-2.3,,False,False,False,False,False,True,False,False,False,True,False,,True,False,False,False,False,False,False,False,False,False,False,,,False,False,False,,,False,,False,False,False,,,False,,False,False,False,False,False,
Florida,14628,14573.7,14651.9,14615.0,14661.0,14377.0,14145.0,14668.0,14344.7,14317.0,14406.5,14379.9,13821.8,,14525.0,14871.0,14954.0,14201.7,13622.6,14590.1,14164.4,14431.7,14473.7,15622.8,14471.0,14082.9,,14358.3,14490.0,14281.0,,14632.8,13693.6,,14584.0,14520.0,14559.2,,14100.8,14374.0,14720.2,14002.9,14405.0,14224.5,14241.8,14343.6,13820.0,-54.3,23.9,-13.0,33.0,-251.0,-483.0,40.0,-283.3,-311.0,-221.5,-248.1,-806.2,,-103.0,243.0,326.0,-426.3,-1005.4,-37.9,-463.6,-196.3,-154.3,994.8,-157.0,-545.1,,-269.7,-138.0,-347.0,,4.8,-934.4,,-44.0,-108.0,-68.8,,-527.2,-254.0,92.2,-625.1,-223.0,-403.5,-386.2,-284.4,-808.0,True,True,True,False,False,True,False,False,False,False,False,,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,,True,False,,True,False,False,,False,False,False,False,False,False,False,False,False
