,mean_rank
JCB-PRM,12.7
UMass-MechBayes,13.5
Karlen-pypm,13.6
COVIDhub-ensemble,13.7
YYG-ParamSearch,15.0
USC-SI_kJalpha,15.3
SteveMcConnell-CovidComplete,15.5
LNQ-ens1,15.6
CMU-TimeSeries,16.9
OliverWyman-Navigator,17.2
DDS-NBDS,17.4
MIT_CritData-GBCF,17.4
PSI-DRAFT,18.3
LANL-GrowthRate,18.4
GT-DeepCOVID,19.2
CEID-Walk,19.5
NotreDame-mobility,19.5
Columbia_UNC-SurvCon,19.6
UCLA-SuEIR,19.6
MOBS-GLEAM_COVID,19.7
Covid19Sim-Simulator,19.7
COVIDhub-baseline,19.7
CovidAnalytics-DELPHI,20.9
JHU_IDD-CovidSP,20.9
UA-EpiCovDA,21.4
UT-Mobility,21.6
UCSD_NEU-DeepGLEAM,21.7
IQVIA_ACOE-STAN,22.3
IowaStateLW-STEM,22.8
IHME-CurveFit,23.2
MITCovAlliance-SIR,23.7
USACE-ERDC_SEIR,23.9
CU-select,24.3
UMich-RidgeTfReg,24.9
JHUAPL-Bucky,25.4
Google_Harvard-CPF,25.9
WalmartLabsML-LogForecasting,26.0
RobertWalraven-ESG,26.5
epiforecasts-ensemble1,27.5
