,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Georgia,7133,7650.6,6615.0,,6002.9,7022.0,8657.7,6356.0,6399.4,,8608.2,7682.5,,6096.1,,7157.8,7006.1,6764.0,,6836.5,517.6,-518.0,,-1130.1,-111.0,1524.7,-777.0,-733.6,,1475.2,549.5,,-1036.9,,24.8,-126.9,-369.0,,-296.5,False,,False,True,False,False,False,,False,False,,False,,True,True,True,,True
Hawaii,153,88.0,85.0,,221.6,121.0,74.2,,83.3,,141.5,291.5,,72.3,,91.0,118.0,105.0,,98.7,-65.0,-68.0,,68.6,-32.0,-78.8,,-69.7,,-11.5,138.5,,-80.7,,-62.0,-35.0,-48.0,,-54.3,False,,False,True,False,,False,,True,False,,False,,True,True,True,,True
Idaho,480,529.6,470.0,,455.4,470.0,445.9,412.0,383.9,,834.1,414.0,,350.8,,465.1,427.0,438.0,,491.8,49.6,-10.0,,-24.6,-10.0,-34.1,-68.0,-96.1,,354.1,-66.0,,-129.2,,-14.9,-53.0,-42.0,,11.8,True,,True,True,True,False,False,,False,False,,False,,True,False,True,,True
Illinois,9023,8873.9,9265.0,,8897.9,8579.0,8611.4,8732.0,8566.6,12621.5,8456.0,8323.0,,8308.4,,8684.6,11238.8,9082.0,,8861.0,-149.1,242.0,,-125.1,-444.0,-411.6,-291.0,-456.4,3598.5,-567.0,-700.0,,-714.6,,-338.4,2215.8,59.0,,-162.0,False,,True,False,False,False,False,False,False,False,,False,,False,False,True,,False
Indiana,3669,3729.6,3676.0,,3573.8,3541.0,4007.5,3624.0,3480.5,5320.0,3793.6,4288.0,,3564.8,,3591.9,4429.9,3708.0,,3787.6,60.6,7.0,,-95.2,-128.0,338.5,-45.0,-188.5,1651.0,124.6,619.0,,-104.2,,-77.1,760.9,39.0,,118.6,True,,False,False,False,True,False,False,False,False,,False,,False,False,True,,False
Iowa,1381,1400.1,1342.0,,1289.6,1084.0,1430.1,1307.0,1266.5,,1225.9,1599.0,,1202.0,,1310.4,1491.5,1399.0,,1339.4,19.1,-39.0,,-91.4,-297.0,49.1,-74.0,-114.5,,-155.1,218.0,,-179.0,,-70.6,110.5,18.0,,-41.6,False,,False,False,False,False,False,,False,False,,False,,False,False,True,,False
Kansas,698,543.1,633.0,,670.2,601.0,580.3,563.0,517.7,,665.7,643.0,,500.9,,549.2,659.2,573.0,,552.4,-154.9,-65.0,,-27.8,-97.0,-117.7,-135.0,-180.3,,-32.3,-55.0,,-197.1,,-148.8,-38.8,-125.0,,-145.6,True,,True,True,True,True,False,,True,True,,False,,True,True,True,,True
Kentucky,1205,1235.1,1106.0,,1152.5,1206.0,1220.5,1069.0,970.6,2483.0,1472.9,1112.0,,1001.5,,1247.5,1276.0,1244.0,,1137.6,30.1,-99.0,,-52.5,1.0,15.5,-136.0,-234.4,1278.0,267.9,-93.0,,-203.5,,42.5,71.0,39.0,,-67.4,False,,False,True,True,False,False,False,False,False,,False,,False,False,False,,False
Louisiana,5545,6145.9,5501.0,,4797.2,5612.0,5993.8,5681.0,5483.8,,6291.8,5874.0,,5470.7,,6020.7,5726.1,5187.0,,5569.0,600.9,-44.0,,-747.8,67.0,448.8,136.0,-61.2,,746.8,329.0,,-74.3,,475.7,181.1,-358.0,,24.0,True,,False,True,True,True,True,,False,True,,True,,True,True,True,,True
Maine,142,154.4,153.0,,138.7,135.0,135.8,167.0,142.5,,221.8,132.0,,154.6,,140.3,168.1,144.0,,145.7,12.4,11.0,,-3.3,-7.0,-6.2,25.0,0.5,,79.8,-10.0,,12.6,,-1.7,26.1,2.0,,3.7,True,,True,True,True,False,True,,False,True,,False,,True,False,True,,True
Maryland,3957,3995.6,4239.0,,3977.1,3829.0,4050.9,3859.0,3860.0,,3845.0,3806.0,,4128.2,,3923.3,4495.8,3872.0,,3993.8,38.6,282.0,,20.1,-128.0,93.9,-98.0,-97.0,,-112.0,-151.0,,171.2,,-33.7,538.8,-85.0,,36.8,False,,True,False,False,False,False,,False,False,,False,,True,False,False,,True
Massachusetts,9507,9407.1,9552.0,,8821.6,9212.0,9620.8,9508.0,9107.6,,9309.3,9199.0,,9056.3,,9267.4,9079.5,9382.0,,9396.3,-99.9,45.0,,-685.4,-295.0,113.8,1.0,-399.4,,-197.7,-308.0,,-450.7,,-239.6,-427.5,-125.0,,-110.7,True,,False,False,False,True,False,,False,False,,False,,False,False,False,,False
Michigan,7124,7051.4,7208.0,,6980.5,7081.0,7259.8,7120.0,6875.6,11730.0,6918.5,6681.0,,6926.8,,6923.0,8453.8,6991.0,,7014.6,-72.6,84.0,,-143.5,-43.0,135.8,-4.0,-248.4,4606.0,-205.5,-443.0,,-197.2,,-201.0,1329.8,-133.0,,-109.4,False,,False,True,False,True,False,False,False,False,,False,,False,False,False,,False
Minnesota,2126,2170.3,2187.0,,2128.3,1891.0,2374.6,2026.0,2010.2,3307.0,2057.7,1884.0,,2034.5,,2262.7,2595.6,2247.0,,2125.4,44.3,61.0,,2.3,-235.0,248.6,-100.0,-115.8,1181.0,-68.3,-242.0,,-91.5,,136.7,469.6,121.0,,-0.6,False,,True,False,False,False,False,False,False,False,,False,,False,False,False,,True
Mississippi,3011,3153.7,2875.0,,2248.7,2911.0,2916.9,3154.0,2895.3,,3276.4,2983.0,,2670.5,,3064.4,3168.0,2696.0,,2872.6,142.7,-136.0,,-762.3,-100.0,-94.1,143.0,-115.7,,265.4,-28.0,,-340.5,,53.4,157.0,-315.0,,-138.4,True,,False,True,True,False,True,,False,True,,False,,True,False,False,,True
Missouri,2177,1863.0,1868.0,,2040.8,2070.0,1772.7,1760.0,1636.8,,1967.9,1889.0,,1679.6,,1793.8,2168.8,1779.0,,1800.8,-314.0,-309.0,,-136.2,-107.0,-404.3,-417.0,-540.2,,-209.1,-288.0,,-497.4,,-383.2,-8.2,-398.0,,-376.2,True,,True,True,False,False,False,,True,True,,False,,False,True,False,,False
Montana,186,136.9,125.0,,136.0,140.0,130.7,155.0,123.7,,296.8,96.0,,103.5,,130.6,147.4,110.0,,145.7,-49.1,-61.0,,-50.0,-46.0,-55.3,-31.0,-62.3,,110.8,-90.0,,-82.5,,-55.4,-38.6,-76.0,,-40.3,False,,False,True,False,True,False,,False,False,,False,,False,True,False,,True
Nebraska,497,477.6,551.0,,502.9,412.0,494.1,467.0,408.7,,481.6,430.0,,414.4,,440.1,471.1,453.0,,465.5,-19.4,54.0,,5.9,-85.0,-2.9,-30.0,-88.3,,-15.4,-67.0,,-82.6,,-56.9,-25.9,-44.0,,-31.5,False,,True,False,True,False,False,,True,False,,False,,False,False,False,,False
Nevada,1620,1929.1,1613.0,,1399.1,1654.0,2040.7,1845.0,1592.5,,1693.2,2364.0,,1265.8,,1842.2,1611.7,1701.0,,1696.3,309.1,-7.0,,-220.9,34.0,420.7,225.0,-27.5,,73.2,744.0,,-354.2,,222.2,-8.3,81.0,,76.3,True,,True,True,False,True,True,,True,False,,False,,True,True,True,,True
New Hampshire,442,464.1,465.0,,425.3,435.0,432.9,462.0,441.9,,443.9,437.0,,441.0,,465.8,476.1,442.0,,466.4,22.1,23.0,,-16.7,-7.0,-9.1,20.0,-0.1,,1.9,-5.0,,-1.0,,23.8,34.1,0.0,,24.4,False,,True,True,True,True,True,,True,True,,True,,False,False,True,,False
