,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM
Alabama,2558,1737.1,1952.2,1374.5,878.0,-820.9,-605.8,-1183.5,-1680.0,True,False,False
Alaska,58,10.0,15.1,13.7,,-48.0,-42.9,-44.3,,True,True,
Arizona,5705,3478.4,2199.5,7860.4,1914.0,-2226.6,-3505.5,2155.4,-3791.0,False,True,False
Arkansas,1407,508.0,587.6,3657.0,552.0,-899.0,-819.4,2250.0,-855.0,True,False,True
California,16115,12386.3,11775.1,11426.3,6700.0,-3728.7,-4339.9,-4688.7,-9415.0,False,False,False
Colorado,2060,2909.3,1938.3,2308.7,1723.0,849.3,-121.7,248.7,-337.0,True,True,True
Connecticut,4513,6211.9,4654.5,4329.3,4427.0,1698.9,141.5,-183.7,-86.0,True,True,True
Delaware,660,937.4,482.1,510.7,466.0,403.4,-51.9,-23.3,-68.0,True,True,True
District of Columbia,629,876.7,605.0,636.7,652.0,247.7,-24.0,7.7,23.0,True,True,True
Florida,14628,6897.4,4134.0,6538.4,4566.0,-7730.6,-10494.0,-8089.6,-10062.0,False,False,False
Georgia,7133,4320.9,3288.2,7622.0,2626.0,-2812.1,-3844.8,489.0,-4507.0,False,True,False
Hawaii,153,17.0,17.8,1418.4,,-136.0,-135.2,1265.4,,True,False,
Idaho,480,99.9,173.9,411.3,84.0,-380.1,-306.1,-68.7,-396.0,True,True,False
Illinois,9023,14568.6,7661.1,7808.3,7754.0,5545.6,-1361.9,-1214.7,-1269.0,True,True,True
Indiana,3705,5151.9,2847.2,3272.4,2433.0,1391.9,-912.8,-487.6,-1327.0,True,True,True
Iowa,1381,1785.0,969.6,3148.2,847.0,404.0,-411.4,1767.2,-534.0,False,False,False
Kansas,698,536.4,325.8,1372.2,331.0,-161.6,-372.2,674.2,-367.0,False,False,False
Kentucky,1205,1127.4,667.5,1214.5,559.0,-77.6,-537.5,9.5,-646.0,False,True,False
Louisiana,5545,5380.3,3567.6,3258.2,3397.0,-164.7,-1977.4,-2286.8,-2148.0,False,False,False
Maine,142,267.6,179.1,1819.5,126.0,125.6,37.1,1677.5,-16.0,True,False,True
Maryland,3957,6407.0,4720.1,3821.8,3731.0,2450.0,763.1,-135.2,-226.0,True,True,True
Massachusetts,9507,15238.9,8964.8,8157.7,8826.0,5731.9,-542.2,-1349.3,-681.0,True,True,True
Michigan,7124,12705.3,6181.2,6943.6,7835.0,5613.3,-910.8,-148.4,743.0,True,True,True
Minnesota,2126,3675.0,1825.1,3316.8,3479.0,1549.0,-300.9,1190.8,1353.0,True,True,True
Mississippi,3011,2216.1,1342.7,1497.7,994.0,-794.9,-1668.3,-1513.3,-2017.0,False,False,False
Missouri,2193,1472.4,1089.0,1389.7,1031.0,-677.6,-1061.0,-760.3,-1119.0,False,False,False
Montana,186,34.9,19.8,20.1,19.0,-151.1,-166.2,-165.9,-167.0,False,False,False
Nebraska,497,473.6,501.9,3756.1,273.0,-23.4,4.9,3259.1,-224.0,True,False,False
Nevada,1620,792.0,573.4,839.1,562.0,-828.0,-1046.6,-780.9,-1058.0,False,True,False
New Hampshire,442,977.1,339.9,691.8,315.0,535.1,-102.1,249.8,-127.0,True,True,True
New Jersey,16135,20233.7,12924.9,13313.0,13611.0,5938.7,-1370.1,-982.0,-684.0,True,True,True
New Mexico,890,1070.3,551.5,879.5,507.0,180.3,-338.5,-10.5,-383.0,False,True,False
New York,33375,40319.7,32132.8,31820.5,32514.0,7796.7,-390.2,-702.5,-9.0,True,True,True
North Carolina,3629,2633.4,3368.7,12346.9,2072.0,-995.6,-260.3,8717.9,-1557.0,True,False,False
North Dakota,271,257.4,125.0,285.4,146.0,-13.6,-146.0,14.4,-125.0,False,False,False
Ohio,4468,6155.0,3306.2,4938.8,3084.0,1567.0,-1281.8,350.8,-1504.0,True,True,True
Oklahoma,1051,584.0,426.5,504.2,444.0,-467.0,-624.5,-546.8,-607.0,False,False,False
Oregon,571,331.6,180.0,464.8,190.0,-239.4,-391.0,-106.2,-381.0,False,True,False
Pennsylvania,8180,12483.6,6852.6,7909.2,6524.0,4303.6,-1327.4,-270.8,-1656.0,True,True,True
Rhode Island,1131,1682.3,925.6,1030.5,942.0,665.3,-91.4,13.5,-75.0,True,True,True
South Carolina,3442,1422.6,1088.6,925.7,662.0,-2019.4,-2353.4,-2516.3,-2780.0,False,False,False
South Dakota,248,115.6,152.9,124.0,91.0,-132.4,-95.1,-124.0,-157.0,True,True,False
Tennessee,2560,1328.3,869.4,1359.3,997.0,-1231.7,-1690.6,-1200.7,-1563.0,False,True,False
Texas,16571,4639.3,4246.9,7762.8,2948.0,-11730.7,-12123.1,-8607.2,-13422.0,False,True,False
Utah,476,255.9,797.1,3015.3,304.0,-220.1,321.1,2539.3,-172.0,False,False,True
Vermont,58,55.0,57.8,92.8,56.0,-3.0,-0.2,34.8,-2.0,True,False,True
Virginia,3270,2910.7,2293.2,2388.2,1999.0,-348.3,-965.8,-870.8,-1260.0,False,False,False
