,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2558,2555.9,2568.7,2565.0,2565.0,2574.0,2650.0,2569.0,2536.1,2598.0,2574.0,2570.7,2594.2,2611.8,,2619.7,2580.0,2676.0,2582.6,2599.6,2594.3,2565.1,2565.0,2571.5,2581.3,2613.0,2605.0,,2613.8,2572.2,2561.5,,2593.4,2542.3,2580.0,2832.0,2559.0,2565.2,,2608.1,2572.0,2598.5,2666.9,2585.0,2561.0,2575.3,2563.8,2575.0,-2.1,10.7,7.0,7.0,16.0,92.0,11.0,-21.9,40.0,16.0,12.7,36.2,53.8,,61.7,22.0,118.0,24.6,41.6,36.3,7.1,7.0,13.5,23.3,55.0,47.0,,55.8,14.2,3.5,,35.4,-15.7,22.0,274.0,1.0,7.2,,50.1,14.0,40.5,108.9,27.0,3.0,17.3,5.8,17.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False
Alaska,58,65.4,59.1,59.0,59.0,59.0,53.0,54.0,49.2,60.0,61.3,56.1,58.8,57.5,,46.1,,,54.4,60.0,61.3,55.3,59.2,57.8,62.7,83.0,57.1,,59.4,62.8,55.0,,,57.3,56.0,52.9,62.0,58.3,,55.5,61.0,54.4,55.9,56.0,55.0,58.6,61.1,50.0,7.4,1.1,1.0,1.0,1.0,-5.0,-4.0,-8.8,2.0,3.3,-1.9,0.8,-0.5,,-11.9,,,-3.6,2.0,3.3,-2.7,1.2,-0.2,4.7,25.0,-0.9,,1.4,4.8,-3.0,,,-0.7,-2.0,-5.1,4.0,0.3,,-2.5,3.0,-3.6,-2.1,-2.0,-3.0,0.6,3.1,-8.0,True,True,True,True,True,True,False,True,True,True,True,True,,False,,,True,True,True,True,True,True,True,False,True,,True,True,True,,,True,True,True,True,True,,True,True,True,True,True,True,True,True,False
Arizona,5705,5748.1,5773.5,5774.0,5777.0,5734.0,5732.0,5850.0,5642.7,5752.0,5723.6,5731.9,5758.7,5710.8,,5677.8,5811.0,5794.0,5724.9,5646.6,5705.5,5745.4,5698.4,5726.3,5711.5,5717.0,5827.3,,5704.8,5774.7,5723.0,,5766.2,5672.7,5804.0,5944.5,5759.0,5772.1,,5830.4,5723.0,5831.0,5720.2,5756.0,5713.0,5757.5,5744.9,5625.0,43.1,68.5,69.0,72.0,29.0,27.0,145.0,-62.3,47.0,18.6,26.9,53.7,5.8,,-27.2,106.0,89.0,19.9,-58.4,0.5,40.4,-6.6,21.3,6.5,12.0,122.3,,-0.2,69.7,18.0,,61.2,-32.3,99.0,239.5,54.0,67.1,,125.4,18.0,126.0,15.2,51.0,8.0,52.5,39.9,-80.0,False,False,False,True,True,False,False,False,True,True,False,True,,True,False,False,True,False,True,True,True,True,True,True,False,,True,False,True,,False,True,False,False,False,False,,False,True,False,True,False,True,False,True,False
Arkansas,1407,1416.9,1384.5,1388.0,1389.0,1392.0,1365.0,1464.0,1430.2,1394.0,1422.0,,1388.6,1406.2,,1365.6,1402.0,1329.0,1386.4,1345.2,1381.4,1421.3,1367.7,1406.1,1421.1,1391.0,1406.6,,1372.1,1418.1,1457.0,,1460.7,1378.1,1438.0,1186.4,1441.0,1383.5,,1409.8,1404.0,1413.0,1343.7,1403.0,1400.0,1377.5,1389.4,1134.0,9.9,-22.5,-19.0,-18.0,-15.0,-42.0,57.0,23.2,-13.0,15.0,,-18.4,-0.8,,-41.4,-5.0,-78.0,-20.6,-61.8,-25.6,14.3,-39.3,-0.9,14.1,-16.0,-0.4,,-34.9,11.1,50.0,,53.7,-28.9,31.0,-220.6,34.0,-23.5,,2.8,-3.0,6.0,-63.3,-4.0,-7.0,-29.5,-17.6,-273.0,False,False,False,False,False,False,False,False,False,,False,True,,False,True,False,False,False,False,False,False,True,False,False,True,,False,False,False,,False,False,False,False,False,False,,True,True,True,False,True,True,False,False,False
California,16115,16111.7,16171.4,16143.0,16148.0,16106.0,16044.0,16095.0,15864.4,16130.0,16080.3,16085.7,16187.9,16034.3,,16309.7,16220.0,16222.0,16086.4,15897.1,16163.7,16094.5,16007.3,16116.7,15980.6,16055.0,16267.6,,15868.5,16183.7,16151.0,,16232.6,15855.5,16165.0,18834.5,16149.0,16135.1,17443.0,16269.9,16056.0,16203.6,16040.8,16144.0,16004.0,16063.0,16109.5,16114.0,-3.3,56.4,28.0,33.0,-9.0,-71.0,-20.0,-250.6,15.0,-34.7,-29.3,72.9,-80.7,,194.7,105.0,107.0,-28.6,-217.9,48.7,-20.5,-107.7,1.7,-134.4,-60.0,152.6,,-246.5,68.7,36.0,,117.6,-259.5,50.0,2719.5,34.0,20.1,1328.0,154.9,-59.0,88.6,-74.2,29.0,-111.0,-52.0,-5.5,-1.0,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Colorado,2060,2064.1,2067.9,2068.0,2067.0,2068.0,2087.0,2082.0,2057.8,2052.0,2069.5,2072.0,2068.6,2077.4,,2056.5,2069.0,2082.0,2067.5,2152.8,2082.4,2070.4,2067.4,2068.5,2069.0,2104.0,2051.5,,2042.5,2074.5,2050.0,,2064.5,2055.3,2072.0,2267.3,2071.0,2065.3,,2054.6,2067.0,2076.7,2119.5,2079.0,2075.0,2055.8,2066.7,2053.0,4.1,7.9,8.0,7.0,8.0,27.0,22.0,-2.2,-8.0,9.5,12.0,8.6,17.4,,-3.5,9.0,22.0,7.5,92.8,22.4,10.4,7.4,8.5,9.0,44.0,-8.5,,-17.5,14.5,-10.0,,4.5,-4.7,12.0,207.3,11.0,5.3,,-5.4,7.0,16.7,59.5,19.0,15.0,-4.2,6.7,-7.0,False,False,False,False,False,False,True,False,False,False,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
Connecticut,4513,4508.7,4510.1,4510.0,4510.0,4510.0,4514.0,4516.0,4508.4,4502.0,4510.1,4509.3,4513.7,4520.8,,4495.9,4509.0,4525.0,4509.9,4565.7,4516.7,4511.5,4504.8,4507.7,4533.0,4515.0,4509.9,,4513.1,4508.7,4507.0,,4511.0,4505.9,4514.0,4966.1,4509.0,4509.5,,4513.0,4510.0,4528.3,4589.1,4513.0,4509.0,4496.1,4513.0,4500.0,-4.3,-2.9,-3.0,-3.0,-3.0,1.0,3.0,-4.6,-11.0,-2.9,-3.7,0.7,7.8,,-17.1,-4.0,12.0,-3.1,52.7,3.7,-1.5,-8.2,-5.3,20.0,2.0,-3.1,,0.1,-4.3,-6.0,,-2.0,-7.1,1.0,453.1,-4.0,-3.5,,0.0,-3.0,15.3,76.1,0.0,-4.0,-16.9,-0.0,-13.0,True,True,True,True,True,True,False,False,True,True,True,False,,False,True,False,True,False,True,True,False,False,False,True,True,,True,False,False,,True,False,True,False,True,True,,True,True,False,False,True,True,False,True,False
Delaware,645,643.3,644.6,645.0,645.0,642.0,641.0,645.0,637.6,634.0,642.8,640.7,650.1,642.3,,634.7,644.0,642.0,639.0,645.6,641.4,640.5,637.4,638.4,642.0,640.0,642.7,,639.2,644.5,636.0,,,640.1,644.0,699.3,650.0,643.9,,645.9,639.0,653.1,657.3,640.0,652.0,638.0,640.5,639.0,-1.7,-0.4,0.0,0.0,-3.0,-4.0,0.0,-7.4,-11.0,-2.2,-4.3,5.1,-2.7,,-10.3,-1.0,-3.0,-6.0,0.6,-3.6,-4.5,-7.6,-6.6,-3.0,-5.0,-2.3,,-5.8,-0.5,-9.0,,,-4.9,-1.0,54.3,5.0,-1.1,,0.9,-6.0,8.1,12.3,-5.0,7.0,-7.0,-4.5,-6.0,True,True,True,False,False,True,False,False,False,False,False,False,,False,True,False,False,True,False,False,False,False,False,False,False,,False,True,False,,,False,True,False,False,True,,True,False,False,False,False,False,False,False,False
District of Columbia,629,627.4,628.9,629.0,629.0,628.0,633.0,628.0,625.7,626.0,629.5,629.5,629.3,631.7,,625.1,628.0,624.0,627.0,633.5,629.0,628.3,626.8,624.2,629.0,628.0,,,627.1,627.7,626.0,,,624.2,628.0,651.7,635.0,628.6,,,627.0,,637.8,629.0,626.0,624.8,627.3,627.0,-1.6,-0.1,0.0,0.0,-1.0,4.0,-1.0,-3.3,-3.0,0.5,0.5,0.3,2.7,,-3.9,-1.0,-5.0,-2.0,4.5,-0.0,-0.7,-2.2,-4.8,0.0,-1.0,,,-1.9,-1.3,-3.0,,,-4.8,-1.0,22.7,6.0,-0.4,,,-2.0,,8.8,0.0,-3.0,-4.2,-1.7,-2.0,True,True,True,True,False,True,False,False,True,True,True,False,,False,True,False,False,False,True,True,False,False,True,True,,,False,True,False,,,False,True,False,False,True,,,False,,False,True,False,False,False,False
Florida,14628,14662.9,14752.6,14748.0,14757.0,14540.0,14406.0,14670.0,14406.1,14490.0,14480.3,14642.4,14720.0,14410.9,,14843.8,14833.0,14603.0,14516.3,14149.5,14673.4,14514.5,14533.4,14559.4,14503.1,14505.0,14739.8,,14550.9,14785.6,14532.0,,14712.3,14281.0,14728.0,14875.5,14487.0,14720.4,,14882.5,14534.0,14757.1,14364.6,14766.0,14346.0,14517.5,14566.1,14280.0,34.9,124.6,120.0,129.0,-88.0,-222.0,42.0,-221.9,-138.0,-147.7,14.4,92.0,-217.1,,215.8,205.0,-25.0,-111.7,-478.5,45.4,-113.5,-94.6,-68.6,-124.9,-123.0,111.8,,-77.1,157.6,-96.0,,84.3,-347.0,100.0,247.5,-141.0,92.4,,254.5,-94.0,129.1,-263.4,138.0,-282.0,-110.5,-61.9,-348.0,False,False,False,False,False,False,False,False,False,True,False,False,,False,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False
