,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM
Alabama,2558,2040.7,2002.0,796.0,-517.3,-556.0,-1762.0,False,False
Alaska,58,10.0,11.7,,-48.0,-46.3,,True,
Arizona,5705,2799.9,1835.0,1821.0,-2905.1,-3870.0,-3884.0,False,False
Arkansas,1407,436.6,464.4,1356.0,-970.4,-942.6,-51.0,True,True
California,16115,11654.1,10683.8,7892.0,-4460.9,-5431.2,-8223.0,False,False
Colorado,2060,3462.9,1881.1,1938.0,1402.9,-178.9,-122.0,True,True
Connecticut,4513,8426.1,4858.3,4356.0,3913.1,345.3,-157.0,True,True
Delaware,645,1080.3,496.7,460.0,435.3,-148.3,-185.0,True,True
District of Columbia,629,1073.1,619.4,723.0,444.1,-9.6,94.0,True,True
Florida,14628,6272.4,3793.2,3328.0,-8355.6,-10834.8,-11300.0,False,False
Georgia,7133,6088.7,3177.6,2645.0,-1044.3,-3955.4,-4488.0,False,False
Hawaii,153,17.0,17.8,,-136.0,-135.2,,True,
Idaho,480,135.6,164.7,88.0,-344.4,-315.3,-392.0,True,False
Illinois,9023,14925.7,8023.8,8038.0,5902.7,-999.2,-985.0,True,True
Indiana,3669,4955.4,2766.4,2864.0,1286.4,-902.6,-805.0,True,True
Iowa,1381,1945.7,942.6,907.0,564.7,-438.4,-474.0,True,True
Kansas,690,393.6,322.9,360.0,-296.4,-367.1,-330.0,False,False
Kentucky,1205,1145.3,607.9,510.0,-59.7,-597.1,-695.0,False,False
Louisiana,5545,4576.7,3558.8,3554.0,-968.3,-1986.2,-1991.0,False,False
Maine,142,285.4,184.3,1184.0,143.4,42.3,1042.0,True,False
Maryland,3957,7085.6,4870.0,3800.0,3128.6,913.0,-157.0,True,True
Massachusetts,9507,15310.3,8546.2,8752.0,5803.3,-960.8,-755.0,True,True
Michigan,7124,10187.4,6204.6,6182.0,3303.4,-679.4,-702.0,True,True
Minnesota,2126,4121.4,2045.2,16866.0,1995.4,-80.8,14740.0,True,False
Mississippi,3011,2680.4,1266.3,1135.0,-330.6,-1744.7,-1876.0,False,False
Missouri,2177,2383.1,965.9,1092.0,244.1,-1173.1,-1047.0,False,False
Montana,186,34.9,18.3,18.0,-151.1,-167.7,-168.0,False,False
Nebraska,497,580.7,517.6,414.0,83.7,20.6,-83.0,True,True
Nevada,1620,1077.7,551.6,633.0,-542.3,-1068.4,-987.0,False,False
New Hampshire,442,887.9,330.5,287.0,445.9,-111.5,-155.0,True,True
New Jersey,16135,21698.0,12792.4,13404.0,7383.0,-1522.6,-911.0,True,True
New Mexico,890,1052.4,536.7,499.0,162.4,-353.3,-391.0,False,False
New York,33197,41266.1,32267.2,32990.0,8984.1,-14.8,708.0,True,True
North Carolina,3629,3669.1,3182.3,1944.0,40.1,-446.7,-1685.0,False,False
North Dakota,271,203.9,142.0,697.0,-67.1,-129.0,426.0,False,False
Ohio,4925,5476.4,3296.5,2858.0,551.4,-1628.5,-2067.0,False,False
Oklahoma,1051,744.7,422.2,573.0,-306.3,-628.8,-478.0,False,False
Oregon,571,242.3,173.1,177.0,-328.7,-397.9,-394.0,False,False
Pennsylvania,8180,13037.1,6787.9,5944.0,4857.1,-1392.1,-2236.0,True,True
Rhode Island,1118,2682.3,887.9,994.0,1671.3,-123.1,-17.0,True,True
South Carolina,3442,1547.6,942.3,690.0,-1894.4,-2499.7,-2752.0,False,False
South Dakota,248,276.3,168.3,260.0,28.3,-79.7,12.0,False,True
Tennessee,2560,864.0,718.4,824.0,-1696.0,-1841.6,-1736.0,False,False
Texas,16295,4300.0,4030.0,4175.0,-11882.0,-12152.0,-12007.0,False,False
Utah,476,398.7,719.9,200.0,-77.3,243.9,-276.0,False,False
Vermont,58,72.9,57.0,56.0,14.9,-1.0,-2.0,True,True
Virginia,3270,5017.9,2241.7,2222.0,1747.9,-1028.3,-1048.0,True,True
Washington,2142,2135.9,1667.7,1309.0,-6.1,-474.3,-833.0,False,False
West Virginia,363,128.6,155.0,78.0,-234.4,-208.0,-285.0,True,False
Wisconsin,1372,2056.3,1497.0,1474.0,684.3,125.0,102.0,True,True
Wyoming,53,87.4,30.9,19.0,34.4,-22.1,-34.0,True,True
US,209387,223345.3,144710.9,153960.0,17191.3,-61443.1,-52194.0,False,False
