,actual_deaths,Baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MIT_CritData-GBCF,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Alabama,2558,2565.3,2575.7,2541.0,2575.2,2579.0,2568.0,2677.0,2616.5,2712.0,2616.9,2571.6,,2586.2,,2577.0,2605.6,2547.1,2705.8,2597.9,2568.9,2528.6,2561.9,2578.0,2642.2,,2871.6,2605.1,2403.0,,2771.5,2473.8,,2592.0,3049.6,2660.0,2565.9,,2675.4,2609.0,2668.3,2624.0,2621.0,2501.5,2403.3,2582.4,2535.0,7.3,17.7,-17.0,17.2,21.0,10.0,119.0,58.5,154.0,58.9,13.6,,28.2,,19.0,47.6,-10.9,147.8,39.9,10.9,-29.4,3.9,20.0,84.2,,313.6,47.1,-155.0,,213.5,-84.2,,34.0,491.6,102.0,7.9,,117.4,51.0,110.3,66.0,63.0,-56.5,-154.7,24.4,-23.0,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False
Alaska,58,49.7,50.8,55.0,50.0,56.0,58.0,63.0,56.8,56.0,60.3,54.8,,72.3,,,56.2,55.8,75.0,54.0,53.6,45.6,68.3,87.0,57.5,,50.1,50.2,61.5,,,48.2,,53.9,53.9,57.0,49.5,,64.4,55.0,49.0,55.5,53.0,72.0,49.7,54.0,,-8.3,-7.2,-3.0,-8.0,-2.0,0.0,5.0,-1.2,-2.0,2.3,-3.2,,14.3,,,-1.8,-2.2,17.0,-4.0,-4.4,-12.4,10.3,29.0,-0.5,,-7.9,-7.8,3.5,,,-9.8,,-4.1,-4.1,-1.0,-8.5,,6.4,-3.0,-9.0,-2.5,-5.0,14.0,-8.3,-4.0,,True,True,True,True,True,True,True,True,True,True,,False,,,True,True,False,True,True,False,False,False,True,,True,True,True,,,False,,True,True,True,False,,True,True,False,True,True,False,False,True,
Arizona,5705,5610.6,5618.4,5606.0,5638.9,5633.0,5620.0,5662.0,5698.1,5832.0,5653.2,5616.1,,5692.9,,5907.0,5587.3,5432.0,5586.7,5510.8,5650.1,5547.3,5648.5,5593.0,5585.0,,5545.5,5670.7,5634.0,,5968.6,5431.4,,5677.1,6311.3,5609.0,5666.5,,5622.7,5617.0,5878.4,5573.7,5545.0,5742.0,5736.6,5545.5,5483.0,-94.4,-86.6,-99.0,-66.1,-72.0,-85.0,-43.0,-6.9,127.0,-51.8,-88.9,,-12.1,,202.0,-117.7,-273.0,-118.3,-194.2,-54.9,-157.7,-56.5,-112.0,-120.0,,-159.5,-34.3,-71.0,,263.6,-273.6,,-27.9,606.3,-96.0,-38.5,,-82.3,-88.0,173.4,-131.3,-160.0,37.0,31.6,-159.5,-222.0,True,False,True,True,True,True,True,False,True,True,,True,,False,False,False,False,False,True,False,True,False,False,,False,True,True,,False,False,,True,False,False,True,,True,True,False,False,False,True,True,False,False
Arkansas,1407,1229.6,1232.1,1169.0,1230.1,1222.0,1236.0,1387.0,1308.5,1173.0,1301.1,,,1133.9,,1371.0,1273.7,1088.4,1225.4,1203.3,1258.4,1214.6,1192.2,1165.0,1181.5,,1115.2,1249.8,1325.0,,,1122.8,,1249.3,1151.2,1221.0,1197.1,,1174.7,1248.0,1184.1,1131.8,1257.0,1316.0,1117.5,1186.9,1146.0,-177.4,-174.9,-238.0,-176.9,-185.0,-171.0,-20.0,-98.5,-234.0,-105.9,,,-273.1,,-36.0,-133.3,-318.6,-181.6,-203.7,-148.6,-192.4,-214.8,-242.0,-225.5,,-291.8,-157.2,-82.0,,,-284.2,,-157.7,-255.8,-186.0,-209.9,,-232.3,-159.0,-222.9,-275.2,-150.0,-91.0,-289.5,-220.1,-261.0,True,False,True,False,True,True,True,False,True,,,False,,True,True,False,False,False,True,False,False,False,False,,False,True,True,,,False,,True,False,False,False,,False,True,False,False,True,True,False,False,False
California,16115,16226.6,16214.8,15885.0,16181.2,15945.0,15752.0,15508.0,15621.1,16508.0,16184.7,15828.9,,15791.0,,16542.0,15768.0,15233.1,16394.1,15956.2,15535.4,15885.7,16190.9,15511.0,15629.0,,15528.9,15881.5,15395.0,,16488.3,15386.6,,15913.7,19312.6,17012.0,16042.8,19086.0,15683.5,15828.0,16312.5,15945.4,15780.0,16646.0,15706.0,16089.1,15594.0,111.6,99.8,-230.0,66.2,-170.0,-363.0,-607.0,-493.9,393.0,69.7,-286.1,,-324.0,,427.0,-347.0,-881.9,279.1,-158.8,-579.6,-229.3,75.9,-604.0,-486.0,,-586.1,-233.5,-720.0,,373.3,-728.4,,-201.3,3197.6,897.0,-72.2,2971.0,-431.5,-287.0,197.5,-169.6,-335.0,531.0,-409.0,-25.9,-521.0,True,False,True,False,False,False,False,False,True,False,,False,,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,True,False
Colorado,2060,2033.7,2032.3,2041.0,2045.8,2051.0,2104.0,2162.0,2062.0,2025.0,2071.9,2089.7,,2071.3,,2112.0,2044.4,2142.9,2125.4,2037.4,2037.8,2035.6,2054.5,2095.0,2012.8,,2105.1,2042.6,2066.0,,2066.4,2038.9,,2050.1,2337.7,2067.0,2034.4,,2028.4,2051.0,2172.8,2193.8,2044.0,2025.0,2038.1,2046.4,2039.0,-26.3,-27.7,-19.0,-14.2,-9.0,44.0,102.0,2.0,-35.0,11.9,29.7,,11.3,,52.0,-15.6,82.9,65.4,-22.6,-22.2,-24.4,-5.5,35.0,-47.2,,45.1,-17.4,6.0,,6.4,-21.1,,-9.9,277.7,7.0,-25.6,,-31.6,-9.0,112.8,133.8,-16.0,-35.0,-21.9,-13.6,-21.0,False,True,True,True,False,False,True,False,True,False,,True,,False,True,False,False,True,True,True,True,False,False,,False,True,True,,True,True,,True,False,True,True,,False,True,False,False,True,False,True,True,True
Connecticut,4513,4514.3,4516.4,4508.0,4540.2,4507.0,4542.0,4534.0,4511.4,4484.0,4501.3,4514.4,,4549.0,,4535.0,4502.6,4592.6,4533.0,4499.0,4494.9,4493.6,4533.6,4498.0,4503.6,,4507.5,4505.2,4492.0,,4485.2,4495.4,,4501.8,5124.9,4504.0,4510.4,,4507.7,4503.0,4765.5,4679.8,4506.0,4493.0,4512.4,4515.1,4498.0,1.3,3.4,-5.0,27.2,-6.0,29.0,21.0,-1.6,-29.0,-11.7,1.4,,36.0,,22.0,-10.4,79.6,20.0,-14.0,-18.1,-19.4,20.6,-15.0,-9.4,,-5.5,-7.8,-21.0,,-27.8,-17.6,,-11.2,611.9,-9.0,-2.6,,-5.3,-10.0,252.5,166.8,-7.0,-20.0,-0.6,2.1,-15.0,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False
Delaware,645,632.1,626.3,629.0,631.4,631.0,650.0,637.0,633.7,620.0,634.7,638.8,,646.3,,631.0,630.0,657.7,633.1,625.0,627.6,622.2,627.8,625.0,626.8,,635.9,634.8,619.0,,,629.5,,630.7,706.9,653.0,626.9,,622.1,635.0,691.5,673.3,632.0,644.5,631.6,631.1,624.0,-12.9,-18.7,-16.0,-13.6,-14.0,5.0,-8.0,-11.3,-25.0,-10.3,-6.2,,1.3,,-14.0,-15.0,12.7,-11.9,-20.0,-17.4,-22.8,-17.2,-20.0,-18.2,,-9.1,-10.2,-26.0,,,-15.5,,-14.3,61.9,8.0,-18.1,,-22.9,-10.0,46.5,28.3,-13.0,-0.5,-13.4,-13.9,-21.0,False,False,False,False,True,True,True,False,True,True,,True,,False,False,True,True,False,False,False,False,False,False,,True,True,False,,,False,,False,False,True,False,,False,True,False,False,False,True,False,False,False
District of Columbia,629,630.3,627.7,628.0,632.4,628.0,632.0,629.0,628.3,620.0,633.0,634.5,,641.4,,628.0,626.8,649.3,628.9,627.7,623.5,618.0,626.2,627.0,,,623.7,627.4,624.0,,,619.8,,629.4,668.5,637.0,628.1,,,627.0,,661.2,629.0,643.0,623.9,626.8,627.0,1.3,-1.3,-1.0,3.4,-1.0,3.0,0.0,-0.7,-9.0,4.0,5.5,,12.4,,-1.0,-2.2,20.3,-0.1,-1.3,-5.5,-11.0,-2.8,-2.0,,,-5.3,-1.6,-5.0,,,-9.2,,0.4,39.5,8.0,-0.9,,,-2.0,,32.2,0.0,14.0,-5.1,-2.2,-2.0,False,True,False,True,False,True,True,False,False,False,,False,,True,False,False,True,False,False,False,False,False,,,False,False,False,,,False,,True,False,False,True,,,False,,False,True,False,False,False,False
Florida,14628,14776.6,14875.5,14400.0,14967.0,14127.0,13771.0,14384.0,14185.7,14235.0,14198.2,13951.6,,13761.0,,14586.0,13907.5,13043.7,14690.9,13902.6,14140.1,14162.8,16080.3,13509.0,13761.9,,13717.6,14266.7,14000.0,,14667.1,13174.5,,14244.9,14642.2,14603.0,14676.5,,13877.8,14197.0,14825.3,13743.4,14451.0,13738.0,13957.2,13889.7,13833.0,148.6,247.5,-228.0,339.0,-501.0,-857.0,-244.0,-442.3,-393.0,-429.8,-676.4,,-867.0,,-42.0,-720.5,-1584.3,62.9,-725.4,-487.9,-465.2,1452.3,-1119.0,-866.1,,-910.4,-361.3,-628.0,,39.1,-1453.5,,-383.1,14.2,-25.0,48.5,,-750.2,-431.0,197.3,-884.6,-177.0,-890.0,-670.8,-738.3,-795.0,False,False,False,False,False,False,False,False,False,False,,False,,True,False,False,True,False,False,False,False,False,False,,False,False,False,,True,False,,False,True,True,True,,False,False,False,False,False,False,False,False,False
