,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2558,2991.0,3634.2,3215.8,2552.0,,2736.7,2823.5,433.0,1076.2,657.8,-6.0,,178.7,265.5,False,False,True,,True,True
Alaska,58,59.4,121.0,21.9,,,63.1,78.0,1.4,63.0,-36.1,,,5.1,20.0,False,False,,,False,False
Arizona,5705,7839.3,5295.4,7459.0,7308.0,,5614.2,6604.0,2134.3,-409.6,1754.0,1603.0,,-90.8,899.0,True,True,True,,True,True
Arkansas,1407,1022.0,1063.2,803.0,952.0,,824.5,900.9,-385.0,-343.8,-604.0,-455.0,,-582.5,-506.1,True,False,False,,False,False
California,16115,17792.6,16738.2,14305.7,15772.0,,16315.3,16327.9,1677.6,623.2,-1809.3,-343.0,,200.3,212.9,True,False,True,,True,True
Colorado,2060,2286.9,2399.5,2270.5,2100.0,,2157.3,2393.2,226.9,339.5,210.5,40.0,,97.3,333.2,False,True,True,,True,False
Connecticut,4513,4600.3,4540.7,4737.9,4519.0,,4573.8,4596.9,87.3,27.7,224.9,6.0,,60.8,83.9,True,False,True,,True,True
Delaware,645,638.1,663.9,662.9,629.0,,634.7,649.2,-6.9,18.9,17.9,-16.0,,-10.3,4.2,False,False,False,,False,True
District of Columbia,629,610.6,653.1,632.6,604.0,,627.2,632.8,-16.4,26.1,5.6,-23.0,,0.2,5.8,False,True,False,,True,True
Florida,14628,17978.3,15448.9,15061.0,14646.0,,15275.0,14977.1,3350.3,820.9,433.0,18.0,,647.0,349.1,True,True,True,,True,True
Georgia,7133,6869.1,6684.5,7924.2,5367.0,,5705.6,6130.1,-263.9,-448.5,791.2,-1766.0,,-1427.4,-1002.9,False,False,False,,False,False
Hawaii,153,26.0,84.4,34.3,,,32.6,48.6,-127.0,-68.6,-118.7,,,-120.4,-104.4,True,True,,,True,True
Idaho,480,648.7,694.3,342.4,360.0,,511.5,704.4,168.7,214.3,-137.6,-120.0,,31.5,224.4,False,True,True,,True,False
Illinois,9023,8812.3,9171.8,8136.7,8411.0,,8787.5,9157.8,-210.7,148.8,-886.3,-612.0,,-235.5,134.8,True,False,False,,False,True
Indiana,3669,3612.7,3741.3,3696.5,3210.0,,3465.2,3913.0,-56.3,72.3,27.5,-459.0,,-203.8,244.0,False,True,False,,False,False
Iowa,1381,1312.0,1314.6,1375.8,965.0,,1144.9,1294.3,-69.0,-66.4,-5.2,-416.0,,-236.1,-86.7,True,True,False,,False,False
Kansas,690,626.7,771.2,516.2,601.0,,534.4,637.0,-63.3,81.2,-173.8,-89.0,,-155.6,-53.0,False,False,False,,False,True
Kentucky,1205,1114.0,1387.4,998.7,963.0,,1111.2,1239.3,-91.0,182.4,-206.3,-242.0,,-93.8,34.3,False,False,False,,False,True
Louisiana,5545,6168.1,5589.9,5647.4,5470.0,,5265.5,5376.8,623.1,44.9,102.4,-75.0,,-279.5,-168.2,True,True,True,,True,True
Maine,142,158.4,137.4,139.2,178.0,,150.8,169.2,16.4,-4.6,-2.8,36.0,,8.8,27.2,True,True,False,,True,False
Maryland,3957,4179.3,4403.8,3890.6,3787.0,,4121.0,4491.0,222.3,446.8,-66.4,-170.0,,164.0,534.0,False,True,True,,True,False
Massachusetts,9507,9603.4,8938.6,9400.8,8911.0,,9419.3,9660.1,96.4,-568.4,-106.2,-596.0,,-87.7,153.1,False,False,False,,True,False
Michigan,7124,6961.9,7088.8,6749.4,7024.0,,6967.3,7074.8,-162.1,-35.2,-374.6,-100.0,,-156.7,-49.2,True,False,True,,True,True
Minnesota,2126,2008.3,2343.6,1921.4,1773.0,,1942.3,2112.4,-117.7,217.6,-204.6,-353.0,,-183.7,-13.6,False,False,False,,False,True
Mississippi,3011,3563.0,2836.3,2868.9,2432.0,,3209.0,3241.1,552.0,-174.7,-142.1,-579.0,,198.0,230.1,True,True,False,,True,True
Missouri,2177,1869.4,3169.5,1954.8,1599.0,,2376.7,2142.7,-307.6,992.5,-222.2,-578.0,,199.7,-34.3,False,True,False,,True,True
Montana,186,193.9,215.7,96.7,172.0,,123.4,198.2,7.9,29.7,-89.3,-14.0,,-62.6,12.2,False,False,False,,False,False
Nebraska,497,473.7,620.6,670.4,405.0,,430.5,493.8,-23.3,123.6,173.4,-92.0,,-66.5,-3.2,False,False,False,,False,True
Nevada,1620,1700.0,1769.4,1891.3,1613.0,,1363.3,1549.6,80.0,149.4,271.3,-7.0,,-256.7,-70.4,False,False,True,,False,True
New Hampshire,442,487.9,442.6,461.6,433.0,,475.6,535.2,45.9,0.6,19.6,-9.0,,33.6,93.2,True,True,True,,True,False
New Jersey,16135,16270.0,16004.3,16743.4,16201.0,,16203.0,16608.2,135.0,-130.7,608.4,66.0,,68.0,473.2,True,False,True,,True,False
