,mean_rank
COVIDhub-ensemble,13.9
UMass-MechBayes,14.4
YYG-ParamSearch,15.5
Karlen-pypm,15.9
JCB-PRM,16.0
LNQ-ens1,16.0
LANL-GrowthRate,16.7
CMU-TimeSeries,16.9
COVIDhub-baseline,17.0
UCLA-SuEIR,17.0
CEID-Walk,17.0
Google_Harvard-CPF,17.4
Geneva-DetGrowth,17.7
OliverWyman-Navigator,17.8
USC-SI_kJalpha,18.6
DDS-NBDS,18.8
UA-EpiCovDA,18.9
GT-DeepCOVID,19.1
Columbia_UNC-SurvCon,19.6
SteveMcConnell-CovidComplete,19.8
PSI-DRAFT,19.8
JHU_IDD-CovidSP,20.0
MOBS-GLEAM_COVID,20.2
CovidAnalytics-DELPHI,20.8
IowaStateLW-STEM,20.9
IQVIA_ACOE-STAN,21.0
NotreDame-mobility,21.5
MITCovAlliance-SIR,22.0
UCSD_NEU-DeepGLEAM,22.2
MIT_CritData-GBCF,23.2
UMich-RidgeTfReg,23.4
UT-Mobility,24.5
WalmartLabsML-LogForecasting,25.3
RobertWalraven-ESG,26.7
USACE-ERDC_SEIR,26.8
JHUAPL-Bucky,27.0
Covid19Sim-Simulator,27.4
CU-select,27.6
IHME-CurveFit,28.6
epiforecasts-ensemble1,30.8
TTU-squider,37.3
