,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-YYG-ParamSearch
Alabama,2558,2885.7,,2590.6,2836.0,2308.7,2620.0,2869.1,2537.2,2666.9,,2836.1,2448.0,,2608.8,,2683.0,,2734.5,2734.0,,2605.2,327.7,,32.6,278.0,-249.3,62.0,311.1,-20.8,108.9,,278.1,-110.0,,50.8,,125.0,,176.5,176.0,,47.2,,True,True,True,True,True,True,True,,True,True,,True,,True,,True,True,,True
Alaska,58,61.3,,65.1,58.0,37.0,,86.6,64.9,47.5,,55.8,59.0,,42.8,,55.3,,55.4,67.0,,55.2,3.3,,7.1,0.0,-21.0,,28.6,6.9,-10.5,,-2.2,1.0,,-15.2,,-2.7,,-2.6,9.0,,-2.8,,False,True,False,,False,False,False,,True,True,,False,,True,,True,False,,True
Arizona,5705,6288.0,,5795.4,6052.0,5964.9,6244.0,5726.9,5409.9,5610.6,,5509.7,5661.0,,5540.6,,6082.4,,5461.5,5656.0,,5727.5,583.0,,90.4,347.0,259.9,539.0,21.9,-295.1,-94.4,,-195.3,-44.0,,-164.4,,377.4,,-243.5,-49.0,,22.5,,True,True,True,True,True,True,True,,True,True,,True,,True,,True,True,,True
Arkansas,1407,1255.1,,1158.8,1110.0,1074.9,1157.0,1267.8,1035.1,1109.9,,974.8,1274.0,,950.6,,1148.0,,1029.5,1189.0,,1097.3,-151.9,,-248.2,-297.0,-332.1,-250.0,-139.2,-371.9,-297.1,,-432.2,-133.0,,-456.4,,-259.0,,-377.5,-218.0,,-309.7,,False,False,False,False,True,False,False,,False,True,,False,,False,,False,False,,False
California,16115,16745.0,,16507.7,17478.0,17947.6,16694.0,17497.3,15850.4,15010.8,,15604.8,16462.0,,15066.4,,16369.8,19782.0,16033.4,15304.0,,16165.5,630.0,,392.7,1363.0,1832.6,579.0,1382.3,-264.6,-1104.2,,-510.2,347.0,,-1048.6,,254.8,3667.0,-81.6,-811.0,,50.5,,True,False,False,True,False,True,False,,True,True,,False,,True,False,True,False,,True
Colorado,2060,2058.6,,2045.5,2022.0,2046.1,2093.0,2238.7,2027.9,1996.1,,2096.6,2035.0,,2013.8,,2036.0,,2279.9,2030.0,,2054.1,-1.4,,-14.5,-38.0,-13.9,33.0,178.7,-32.1,-63.9,,36.6,-25.0,,-46.2,,-24.0,,219.9,-30.0,,-5.9,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
Connecticut,4513,4489.3,,4530.5,4480.0,4482.5,4554.0,4575.0,4499.5,4491.7,,4515.6,4518.0,,4486.1,,4495.3,,4819.1,4502.0,,4526.3,-23.7,,17.5,-33.0,-30.5,41.0,62.0,-13.5,-21.3,,2.6,5.0,,-26.9,,-17.7,,306.1,-11.0,,13.3,,True,False,False,False,False,True,True,,True,True,,False,,True,,False,True,,True
Delaware,645,623.4,,630.9,616.0,619.7,637.0,637.6,619.5,633.4,,657.1,630.0,,614.7,,623.9,,690.7,626.0,,634.0,-21.6,,-14.1,-29.0,-25.3,-8.0,-7.4,-25.5,-11.6,,12.1,-15.0,,-30.3,,-21.1,,45.7,-19.0,,-11.0,,True,False,False,True,True,False,True,,True,True,,False,,True,,False,True,,True
District of Columbia,629,615.7,,626.2,618.0,652.3,623.0,624.3,624.1,617.0,,623.2,609.0,,616.3,,615.3,,682.6,623.0,,627.5,-13.3,,-2.8,-11.0,23.3,-6.0,-4.7,-4.9,-12.0,,-5.8,-20.0,,-12.7,,-13.7,,53.6,-6.0,,-1.5,,True,True,False,True,True,True,True,,True,False,,True,,False,,False,True,,True
Florida,14628,14975.6,,13096.7,14499.0,16218.0,14570.0,15491.7,16290.3,13050.5,,13910.4,13911.0,,12857.3,,14785.4,,13067.5,13173.0,,13483.6,347.6,,-1531.3,-129.0,1590.0,-58.0,863.7,1662.3,-1577.5,,-717.6,-717.0,,-1770.7,,157.4,,-1560.5,-1455.0,,-1144.4,,False,True,False,True,False,False,False,,False,False,,False,,True,,False,False,,False
Georgia,7133,7896.6,,7158.1,7089.0,7695.9,6906.0,6954.2,7336.9,6780.6,,6627.5,7603.0,,6891.7,,7460.1,,7121.8,7395.0,,7189.0,763.6,,25.1,-44.0,562.9,-227.0,-178.8,203.9,-352.4,,-505.5,470.0,,-241.3,,327.1,,-11.2,262.0,,56.0,,True,True,True,True,True,True,True,,True,True,,True,,True,,True,True,,True
Hawaii,153,140.7,,163.0,127.0,61.7,,241.8,165.5,106.5,,140.7,199.0,,99.4,,118.0,,125.7,159.0,,129.8,-12.3,,10.0,-26.0,-91.3,,88.8,12.5,-46.5,,-12.3,46.0,,-53.6,,-35.0,,-27.3,6.0,,-23.2,,True,False,False,,False,False,False,,False,False,,False,,False,,False,True,,False
Idaho,480,611.6,,538.9,479.0,564.3,559.0,692.2,517.3,479.7,,500.0,541.0,,402.6,,534.8,,466.1,509.0,,525.0,131.6,,58.9,-1.0,84.3,79.0,212.2,37.3,-0.3,,20.0,61.0,,-77.4,,54.8,,-13.9,29.0,,45.0,,True,True,True,True,False,True,True,,True,True,,True,,True,,True,True,,True
Illinois,9023,8903.1,,9074.4,8755.0,9179.8,8752.0,9049.8,8893.8,8662.2,12679.0,8835.5,8808.0,,8505.7,,8723.2,,10493.2,8908.0,,8844.5,-119.9,,51.4,-268.0,156.8,-271.0,26.8,-129.2,-360.8,3656.0,-187.5,-215.0,,-517.3,,-299.8,,1470.2,-115.0,,-178.5,,True,False,False,False,True,False,False,False,False,False,,False,,False,,False,True,,False
Indiana,3669,3635.9,,3720.5,3799.0,3898.0,3656.0,4099.3,3792.8,3550.6,6230.5,3737.2,3810.0,,3527.4,,3576.1,,4497.4,3681.0,,3586.3,-33.1,,51.5,130.0,229.0,-13.0,430.3,123.8,-118.4,2561.5,68.2,141.0,,-141.6,,-92.9,,828.4,12.0,,-82.7,,False,False,False,True,False,False,False,False,False,False,,False,,False,,False,True,,False
Iowa,1381,1482.1,,1735.3,1476.0,1600.5,1470.0,1491.2,1736.5,1414.6,,1359.4,1620.0,,1236.4,,1366.9,,1828.6,1687.0,,1505.7,101.1,,354.3,95.0,219.5,89.0,110.2,355.5,33.6,,-21.6,239.0,,-144.6,,-14.1,,447.6,306.0,,124.7,,False,True,False,True,False,False,True,,True,False,,False,,True,,False,False,,False
Kansas,698,560.7,,634.2,601.0,555.5,559.0,698.9,585.1,509.1,,544.0,623.0,,477.6,,562.3,,629.7,601.0,,555.2,-137.3,,-63.8,-97.0,-142.5,-139.0,0.9,-112.9,-188.9,,-154.0,-75.0,,-220.4,,-135.7,,-68.3,-97.0,,-142.8,,True,True,False,False,True,True,False,,False,True,,False,,True,,True,True,,False
Kentucky,1205,1205.9,,1267.7,1214.0,1522.7,1104.0,1305.8,1207.5,1106.1,2057.0,1223.4,1387.0,,1015.1,,1191.2,,1373.9,1189.0,,1156.1,0.9,,62.7,9.0,317.7,-101.0,100.8,2.5,-98.9,852.0,18.4,182.0,,-189.9,,-13.8,,168.9,-16.0,,-48.9,,False,False,False,False,False,False,False,False,False,False,,False,,False,,False,False,,False
Louisiana,5545,5829.6,,5410.8,5531.0,5818.3,5831.0,5324.1,5340.4,5744.8,,5371.6,6709.5,,5192.3,,5918.8,,5719.0,5393.0,,5594.4,284.6,,-134.2,-14.0,273.3,286.0,-220.9,-204.6,199.8,,-173.4,1164.5,,-352.7,,373.8,,174.0,-152.0,,49.4,,True,True,True,False,True,True,True,,True,False,,False,,False,,True,True,,True
Maine,142,136.9,,152.6,139.0,141.8,173.0,180.6,140.7,145.7,,136.7,141.0,,136.2,,138.9,,161.0,149.0,,141.9,-5.1,,10.6,-3.0,-0.2,31.0,38.6,-1.3,3.7,,-5.3,-1.0,,-5.8,,-3.1,,19.0,7.0,,-0.1,,False,True,True,False,False,True,True,,False,True,,False,,True,,False,False,,True
Maryland,3957,4048.3,,3954.6,3834.0,3893.6,3880.0,3994.0,3935.5,3900.3,,3998.2,4000.0,,3963.9,,3956.1,,4448.9,3954.0,,3999.0,91.3,,-2.4,-123.0,-63.4,-77.0,37.0,-21.5,-56.7,,41.2,43.0,,6.9,,-0.9,,491.9,-3.0,,42.0,,True,False,True,True,True,True,True,,True,True,,True,,True,,False,True,,True
Massachusetts,9507,9670.7,,9549.7,9247.0,9620.0,9606.0,9421.8,9532.7,9356.5,,9317.1,9374.5,,9457.0,,9384.0,,9137.6,9571.0,,9444.6,163.7,,42.7,-260.0,113.0,99.0,-85.2,25.7,-150.5,,-189.9,-132.5,,-50.0,,-123.0,,-369.4,64.0,,-62.4,,True,False,True,True,True,True,True,,False,True,,True,,True,,False,True,,True
Michigan,7124,7180.3,,7176.5,7096.0,7231.7,7146.0,7514.7,7085.8,7031.7,10819.0,6893.5,7474.0,,7304.4,,6922.4,,8390.1,7041.0,,7046.0,56.3,,52.5,-28.0,107.7,22.0,390.7,-38.2,-92.3,3695.0,-230.5,350.0,,180.4,,-201.6,,1266.1,-83.0,,-78.0,,True,True,False,True,False,True,False,False,False,False,,False,,False,,False,False,,False
Minnesota,2126,2117.6,,2206.5,1919.0,2329.9,2101.0,2183.2,2140.0,2121.6,3202.5,2365.8,2516.0,,2013.7,,2137.4,,2653.9,2234.0,,2117.4,-8.4,,80.5,-207.0,203.9,-25.0,57.2,14.0,-4.4,1076.5,239.8,390.0,,-112.3,,11.4,,527.9,108.0,,-8.6,,False,False,False,False,False,False,True,False,False,False,,False,,False,,False,False,,False
Mississippi,3011,3417.3,,3138.8,2963.0,3015.0,3294.0,2929.9,2997.7,2885.6,,3528.7,2850.0,,2770.9,,3163.7,,3121.9,3048.0,,2983.6,406.3,,127.8,-48.0,4.0,283.0,-81.1,-13.3,-125.4,,517.7,-161.0,,-240.1,,152.7,,110.9,37.0,,-27.4,,True,True,True,True,True,True,True,,False,True,,True,,True,,True,True,,True
Missouri,2164,1921.6,,1949.1,1995.0,2412.4,1796.0,2094.0,1829.6,1793.6,,2097.8,1912.0,,1665.5,,1842.9,,2311.8,1884.0,,1855.8,-242.4,,-214.9,-169.0,248.4,-368.0,-70.0,-334.4,-370.4,,-66.2,-252.0,,-498.5,,-321.1,,147.8,-280.0,,-308.2,,True,True,False,False,True,False,False,,True,False,,False,,False,,True,False,,False
Montana,186,172.0,,165.1,147.0,105.5,158.0,212.3,157.5,147.1,,152.5,130.0,,164.6,,155.4,,169.1,168.0,,154.7,-14.0,,-20.9,-39.0,-80.5,-28.0,26.3,-28.5,-38.9,,-33.5,-56.0,,-21.4,,-30.6,,-16.9,-18.0,,-31.3,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
Nebraska,497,460.0,,489.9,427.0,482.2,469.0,571.5,501.8,454.5,,468.1,500.0,,406.1,,448.8,,522.7,468.0,,465.1,-37.0,,-7.1,-70.0,-14.8,-28.0,74.5,4.8,-42.5,,-28.9,3.0,,-90.9,,-48.2,,25.7,-29.0,,-31.9,,True,False,True,True,False,True,False,,True,True,,False,,False,,True,True,,True
Nevada,1620,1812.0,,1630.1,1638.0,2140.6,1802.0,1701.6,1683.2,1628.0,,1771.6,1576.0,,1756.1,,1790.9,,1627.7,1627.0,,1692.2,192.0,,10.1,18.0,520.6,182.0,81.6,63.2,8.0,,151.6,-44.0,,136.1,,170.9,,7.7,7.0,,72.2,,True,True,False,True,True,True,True,,True,True,,True,,True,,True,True,,True
New Hampshire,442,446.6,,444.2,436.0,448.6,471.0,476.2,442.6,444.7,,459.5,438.0,,434.7,,453.7,,469.5,450.0,,451.2,4.6,,2.2,-6.0,6.6,29.0,34.2,0.6,2.7,,17.5,-4.0,,-7.3,,11.7,,27.5,8.0,,9.2,,True,False,False,False,False,True,True,,False,True,,False,,False,,False,False,,False
New Jersey,16135,15893.3,,16067.5,15969.0,16094.9,16169.0,16139.0,16134.1,16045.9,,16137.0,15966.0,,15974.1,,15985.8,,16910.9,15933.0,,16079.0,-241.7,,-67.5,-166.0,-40.1,34.0,4.0,-0.9,-89.1,,2.0,-169.0,,-160.9,,-149.2,,775.9,-202.0,,-56.0,,True,True,True,True,True,True,True,,True,True,,True,,True,,False,True,,True
New Mexico,890,891.4,,873.8,857.0,940.2,938.0,973.6,844.7,849.0,,868.4,958.0,,835.4,,863.2,,906.5,876.0,,874.3,1.4,,-16.2,-33.0,50.2,48.0,83.6,-45.3,-41.0,,-21.6,68.0,,-54.6,,-26.8,,16.5,-14.0,,-15.7,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
New York,33375,33281.3,,33190.4,32959.0,33149.7,33306.0,33405.6,33226.5,33120.5,,33398.5,33029.0,,33100.9,,33176.6,,34392.6,33211.0,,33226.5,-135.7,,-226.6,-458.0,-267.3,-111.0,-11.4,-190.5,-296.5,,-18.5,-388.0,,-316.1,,-240.4,,975.6,-206.0,,-190.5,,False,False,False,True,True,False,False,,True,False,,False,,False,,False,False,,False
North Carolina,3629,3474.0,,3488.6,3503.0,3485.4,3470.0,3760.3,3346.1,3212.5,,3251.2,3346.5,,3283.5,,3365.5,,3600.0,3661.0,,3371.5,-155.0,,-140.4,-126.0,-143.6,-159.0,131.3,-282.9,-416.5,,-377.8,-282.5,,-345.5,,-263.5,,-29.0,32.0,,-257.5,,True,True,True,False,True,False,False,,False,False,,False,,False,,True,True,,False
North Dakota,271,171.1,,223.8,145.0,215.1,187.0,218.9,239.9,197.8,,255.8,221.0,,152.5,,143.6,,257.7,207.0,,198.9,-99.9,,-47.2,-126.0,-55.9,-84.0,-52.1,-31.1,-73.2,,-15.2,-50.0,,-118.5,,-127.4,,-13.3,-64.0,,-72.1,,True,False,True,True,True,True,True,,True,True,,False,,False,,True,True,,True
Ohio,4925,4862.4,,4954.1,4814.0,4991.5,4762.0,5517.7,4881.2,4712.9,10256.5,4638.2,6695.0,,5112.8,,5236.1,,5412.1,4986.0,,4630.0,-62.6,,29.1,-111.0,66.5,-163.0,592.7,-43.8,-212.1,5331.5,-286.8,1770.0,,187.8,,311.1,,487.1,61.0,,-295.0,,True,False,False,False,False,True,False,False,False,False,,False,,False,,False,True,,False
Oklahoma,1051,1153.6,,1129.9,1073.0,1253.5,1117.0,1318.8,1048.0,1077.2,,1021.3,1521.0,,918.3,,1076.4,,1173.4,1129.0,,1073.4,102.6,,78.9,22.0,202.5,66.0,267.8,-3.0,26.2,,-29.7,470.0,,-132.7,,25.4,,122.4,78.0,,22.4,,True,True,False,True,False,True,True,,True,False,,False,,True,,False,True,,True
Oregon,571,657.1,,586.6,578.0,606.4,558.0,824.7,591.3,545.1,,571.9,578.5,,588.3,,607.7,,596.4,577.0,,611.0,86.1,,15.6,7.0,35.4,-13.0,253.7,20.3,-25.9,,0.9,7.5,,17.3,,36.7,,25.4,6.0,,40.0,,True,True,True,True,False,True,True,,True,True,,True,,True,,True,True,,True
Pennsylvania,8180,8148.6,,8199.6,7942.0,8624.3,7892.0,8798.1,8135.9,7982.2,,8273.6,7691.0,,7894.0,,8007.3,,8928.8,8074.0,,8089.1,-31.4,,19.6,-238.0,444.3,-288.0,618.1,-44.1,-197.8,,93.6,-489.0,,-286.0,,-172.7,,748.8,-106.0,,-90.9,,True,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
Rhode Island,1118,1123.7,,1088.1,1051.0,1097.0,1136.0,1143.9,1129.8,1064.6,,1117.8,1052.0,,1232.6,,1100.6,,1176.0,1110.0,,1097.5,5.7,,-29.9,-67.0,-21.0,18.0,25.9,11.8,-53.4,,-0.2,-66.0,,114.6,,-17.4,,58.0,-8.0,,-20.5,,False,False,False,False,False,False,False,,True,False,,False,,False,,False,False,,False
South Carolina,3442,3704.7,,3448.1,3537.0,3584.1,3368.0,3440.1,3351.9,3550.3,,3284.8,3343.0,,3524.3,,3531.4,,3506.0,3609.0,,3417.4,262.7,,6.1,95.0,142.1,-74.0,-1.9,-90.1,108.3,,-157.2,-99.0,,82.3,,89.4,,64.0,167.0,,-24.6,,True,True,True,True,True,True,True,,True,True,,True,,True,,True,True,,True
South Dakota,248,196.1,,243.9,180.0,199.3,218.0,214.5,291.6,251.7,,238.3,173.0,,209.3,,169.4,,363.9,263.0,,225.3,-51.9,,-4.1,-68.0,-48.7,-30.0,-33.5,43.6,3.7,,-9.7,-75.0,,-38.7,,-78.6,,115.9,15.0,,-22.7,,True,False,True,True,True,True,True,,True,False,,True,,False,,False,True,,True
Tennessee,2560,2621.3,,2410.6,2318.0,3109.7,2414.0,2676.3,2280.4,2265.5,,2209.8,2995.5,,2083.4,,2469.0,,2244.8,2428.0,,2402.9,61.3,,-149.4,-242.0,549.7,-146.0,116.3,-279.6,-294.5,,-350.2,435.5,,-476.6,,-91.0,,-315.2,-132.0,,-157.1,,False,False,False,False,False,False,False,,False,False,,False,,False,,False,False,,False
Texas,16571,17477.0,,16936.7,17731.0,20606.4,17886.0,17062.8,17062.0,15223.1,,16513.2,16721.0,,15341.0,15228.0,16751.2,,16038.2,15846.0,,16467.9,1287.0,,746.7,1541.0,4416.4,1696.0,872.8,872.0,-966.9,,323.2,531.0,,-849.0,-962.0,561.2,,-151.8,-344.0,,277.9,,True,False,False,False,True,True,True,,True,True,,True,True,True,,True,True,,True
Utah,476,513.9,,544.2,462.0,510.0,524.0,620.0,492.1,486.9,,533.4,486.0,,427.7,,518.2,,501.3,516.0,,514.6,37.9,,68.2,-14.0,34.0,48.0,144.0,16.1,10.9,,57.4,10.0,,-48.3,,42.2,,25.3,40.0,,38.6,,False,True,True,False,False,True,True,,False,True,,False,,False,,True,False,,False
Vermont,58,58.0,,60.5,59.0,58.8,60.0,73.6,60.4,61.6,,60.9,58.0,,58.0,,58.4,,68.8,58.0,,62.5,0.0,,2.5,1.0,0.8,2.0,15.6,2.4,3.6,,2.9,0.0,,0.0,,0.4,,10.8,0.0,,4.5,,False,False,False,False,False,False,False,,False,True,,True,,False,,False,True,,False
Virginia,3270,3064.4,,3007.8,2684.0,2598.4,2905.0,3378.1,2920.5,2849.3,,2858.2,2938.0,,2797.6,,2948.4,,3342.3,2843.0,,2909.8,-205.6,,-262.2,-586.0,-671.6,-365.0,108.1,-349.5,-420.7,,-411.8,-332.0,,-472.4,,-321.6,,72.3,-427.0,,-360.2,,False,False,False,False,True,False,False,,False,False,,False,,False,,True,False,,False
Washington,2123,2109.0,,2092.0,2316.0,2256.2,2173.0,2445.7,2174.8,2118.3,,2134.3,2572.0,,2026.8,,2177.0,,2346.8,2176.0,,2185.3,-15.0,,-32.0,192.0,132.2,49.0,321.7,50.8,-5.7,,10.3,448.0,,-97.2,,53.0,,222.8,52.0,,61.3,,False,False,False,False,False,False,True,,True,False,,False,,False,,False,False,,False
