,mean_rank
JCB-PRM,12.8
SteveMcConnell-CovidComplete,13.0
COVIDhub-ensemble,13.1
Covid19Sim-Simulator,14.0
YYG-ParamSearch,14.7
OliverWyman-Navigator,15.0
UMass-MechBayes,15.0
USC-SI_kJalpha,15.6
CEID-Walk,16.0
CMU-TimeSeries,16.1
Karlen-pypm,16.1
GT-DeepCOVID,16.4
UCLA-SuEIR,16.8
COVIDhub-baseline,16.9
DDS-NBDS,17.1
UA-EpiCovDA,17.8
Columbia_UNC-SurvCon,18.3
UCSD_NEU-DeepGLEAM,18.8
Google_Harvard-CPF,19.9
LNQ-ens1,20.1
LANL-GrowthRate,20.1
MOBS-GLEAM_COVID,20.2
CovidAnalytics-DELPHI,20.3
IowaStateLW-STEM,20.7
JHU_IDD-CovidSP,20.8
UT-Mobility,21.0
PSI-DRAFT,21.1
MIT_CritData-GBCF,21.7
CU-select,21.9
MITCovAlliance-SIR,22.0
NotreDame-mobility,23.5
USACE-ERDC_SEIR,24.2
UMich-RidgeTfReg,24.6
epiforecasts-ensemble1,24.9
JHUAPL-Bucky,25.5
WalmartLabsML-LogForecasting,25.8
RobertWalraven-ESG,28.3
TTU-squider,30.9
