,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2558,2472.7,2639.6,3788.0,,2362.8,3550.3,-85.3,81.6,1230.0,,-195.2,992.3,True,False,,False,False
Alaska,58,28.9,90.5,,,31.5,41.0,-29.1,32.5,,,-26.5,-17.0,False,,,True,True
Arizona,5705,7122.1,8321.5,5067.0,,5463.5,6071.2,1417.1,2616.5,-638.0,,-241.5,366.2,False,True,,True,True
Arkansas,1407,724.1,933.7,1387.0,,535.8,1078.5,-682.9,-473.3,-20.0,,-871.2,-328.5,True,True,,False,True
California,16115,15090.1,19857.0,11134.0,,13144.4,17855.8,-1024.9,3742.0,-4981.0,,-2970.6,1740.8,False,False,,False,False
Colorado,2060,2009.6,2219.3,2065.0,,1961.8,2325.9,-50.4,159.3,5.0,,-98.2,265.9,False,True,,False,False
Connecticut,4513,4502.1,4461.9,4512.0,,4479.0,4460.2,-10.9,-51.1,-1.0,,-34.0,-52.8,False,True,,False,False
Delaware,645,576.3,753.1,626.0,,664.4,643.3,-68.7,108.1,-19.0,,19.4,-1.7,False,True,,True,True
District of Columbia,629,674.7,596.5,603.0,,630.2,671.8,45.7,-32.5,-26.0,,1.2,42.8,True,True,,True,True
Florida,14628,10301.0,25337.6,8786.0,,12338.1,13279.4,-4327.0,10709.6,-5842.0,,-2289.9,-1348.6,False,False,,True,True
Georgia,7133,4698.6,8171.7,5550.0,,4749.7,6314.4,-2434.4,1038.7,-1583.0,,-2383.3,-818.6,True,True,,True,True
Hawaii,153,19.0,71.4,,,22.6,31.8,-134.0,-81.6,,,-130.4,-121.2,True,,,True,True
Idaho,480,208.7,983.9,350.0,,169.3,319.1,-271.3,503.9,-130.0,,-310.7,-160.9,False,True,,False,True
Illinois,9023,11751.4,8156.5,8770.0,,9501.8,8419.3,2728.4,-866.5,-253.0,,478.8,-603.7,True,True,,True,True
Indiana,3669,3554.4,3731.9,3503.0,,3391.8,3792.3,-114.6,62.9,-166.0,,-277.2,123.3,True,False,,False,False
Iowa,1381,1119.6,1556.8,1057.0,,980.5,1134.8,-261.4,175.8,-324.0,,-400.5,-246.2,True,False,,False,True
Kansas,690,451.1,1071.1,792.0,,425.3,523.4,-238.9,381.1,102.0,,-264.7,-166.6,False,True,,False,True
Kentucky,1205,1099.3,1143.7,1038.0,,883.1,1472.0,-105.7,-61.3,-167.0,,-321.9,267.0,True,False,,False,False
Louisiana,5545,4933.7,6003.9,7438.0,,4352.3,5394.9,-611.3,458.9,1893.0,,-1192.7,-150.1,True,False,,False,True
Maine,142,173.3,128.8,117.0,,132.3,166.8,31.3,-13.2,-25.0,,-9.7,24.8,True,True,,True,True
Maryland,3957,4220.1,3698.1,3649.0,,4039.9,4007.5,263.1,-258.9,-308.0,,82.9,50.5,True,False,,True,True
Massachusetts,9507,10008.7,8521.6,11270.0,,9053.1,8978.2,501.7,-985.4,1763.0,,-453.9,-528.8,False,False,,True,False
Michigan,7124,7452.3,6991.4,6708.0,,6968.0,7590.9,328.3,-132.6,-416.0,,-156.0,466.9,True,False,,True,False
Minnesota,2126,1919.4,2266.6,2400.0,,1821.7,2050.0,-206.6,140.6,274.0,,-304.3,-76.0,True,False,,False,True
Mississippi,3011,2885.3,2774.4,2574.0,,2130.6,2693.0,-125.7,-236.6,-437.0,,-880.4,-318.0,False,False,,False,False
Missouri,2177,1578.1,1953.7,1735.0,,1992.5,1913.3,-598.9,-223.3,-442.0,,-184.5,-263.7,True,True,,True,True
Montana,186,100.1,262.5,59.0,,92.3,138.0,-85.9,76.5,-127.0,,-93.7,-48.0,True,False,,False,True
Nebraska,497,296.9,450.4,472.0,,331.3,421.7,-200.1,-46.6,-25.0,,-165.7,-75.3,True,True,,True,True
Nevada,1620,1292.6,1975.7,1040.0,,965.5,1782.5,-327.4,355.7,-580.0,,-654.5,162.5,False,False,,False,True
New Hampshire,442,509.6,448.4,462.0,,507.7,447.6,67.6,6.4,20.0,,65.7,5.6,True,True,,True,True
New Jersey,16135,19248.1,16347.3,19264.0,,16760.0,16553.6,3113.1,212.3,3129.0,,625.0,418.6,True,False,,True,True
New Mexico,890,924.4,972.6,1255.0,,873.0,947.1,34.4,82.6,365.0,,-17.0,57.1,False,False,,True,False
New York,33197,34057.4,32889.2,35042.0,,32960.3,33399.3,905.4,-262.8,1890.0,,-191.7,247.3,True,False,,True,True
North Carolina,3629,2695.9,3495.5,4284.0,,2775.1,3049.3,-933.1,-133.5,655.0,,-853.9,-579.7,True,True,,True,True
North Dakota,271,170.0,169.7,205.0,,124.8,165.3,-101.0,-101.3,-66.0,,-146.2,-105.7,False,True,,False,False
Ohio,4925,4801.0,5045.4,4745.0,,4643.1,5653.1,-124.0,120.4,-180.0,,-281.9,728.1,True,False,,False,False
Oklahoma,1051,706.6,1350.2,1827.0,,621.4,730.6,-344.4,299.2,776.0,,-429.6,-320.4,True,False,,False,True
Oregon,571,459.3,646.4,585.0,,362.8,729.2,-111.7,75.4,14.0,,-208.2,158.2,True,True,,False,False
Pennsylvania,8180,8694.4,8211.9,8370.0,,8571.2,8721.3,514.4,31.9,190.0,,391.2,541.3,True,True,,True,False
Rhode Island,1118,1165.7,1096.9,1179.0,,1100.1,1104.4,58.7,-10.1,72.0,,-6.9,-2.6,True,False,,True,True
