,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Alabama,2558,3089.3,3175.5,2181.9,2505.0,,2586.5,3246.4,531.3,617.5,-376.1,-53.0,,28.5,688.4,False,True,True,,True,False
Alaska,58,28.9,124.1,22.7,,,35.5,30.4,-29.1,66.1,-35.3,,,-22.5,-27.6,False,False,,,True,True
Arizona,5705,8450.1,7022.1,4678.4,6428.0,,5844.3,6146.8,2745.1,1317.1,-1026.6,723.0,,139.3,441.8,True,True,True,,True,True
Arkansas,1407,747.9,1083.5,573.8,709.0,,562.3,789.8,-659.1,-323.5,-833.2,-698.0,,-844.7,-617.2,True,False,False,,False,True
California,16115,14924.1,18652.0,18104.1,14114.0,,13086.2,14359.0,-1190.9,2537.0,1989.1,-2001.0,,-3028.8,-1756.0,False,False,False,,False,False
Colorado,2060,2045.1,2403.0,1970.6,1955.0,,2118.9,2503.7,-14.9,343.0,-89.4,-105.0,,58.9,443.7,False,False,False,,False,False
Connecticut,4513,4917.1,4479.1,4438.5,4528.0,,4627.8,4578.0,404.1,-33.9,-74.5,15.0,,114.8,65.0,True,True,True,,True,True
Delaware,645,588.1,668.9,546.8,571.0,,614.6,626.5,-56.9,23.9,-98.2,-74.0,,-30.4,-18.5,True,False,False,,True,True
District of Columbia,629,686.6,619.4,658.1,634.0,,646.7,669.4,57.6,-9.6,29.1,5.0,,17.7,40.4,True,True,True,,True,True
Florida,14628,13016.3,21526.4,14682.7,13565.0,,10714.3,14480.1,-1611.7,6898.4,54.7,-1063.0,,-3913.7,-147.9,False,True,True,,False,True
Georgia,7133,5030.6,8523.4,4374.5,4132.0,,6508.1,5423.8,-2102.4,1390.4,-2758.5,-3001.0,,-624.9,-1709.2,True,False,False,,True,True
Hawaii,153,78.3,60.8,20.7,,,42.2,50.1,-74.7,-92.2,-132.3,,,-110.8,-102.9,False,False,,,False,False
Idaho,480,303.6,1178.2,334.1,287.0,,213.1,517.9,-176.4,698.2,-145.9,-193.0,,-266.9,37.9,False,True,False,,False,True
Illinois,9023,8573.7,8536.5,8160.4,8170.0,,8657.0,8349.2,-449.3,-486.5,-862.6,-853.0,,-366.0,-673.8,False,False,False,,True,False
Indiana,3669,3495.1,3656.7,3365.7,2996.0,,3473.7,3669.4,-173.9,-12.3,-303.3,-673.0,,-195.3,0.4,True,False,False,,False,True
Iowa,1381,1238.1,1602.0,1100.6,904.0,,1009.1,1128.7,-142.9,221.0,-280.4,-477.0,,-371.9,-252.3,False,False,False,,False,False
Kansas,690,439.3,1031.7,387.2,424.0,,417.6,532.2,-250.7,341.7,-302.8,-266.0,,-272.4,-157.8,False,False,False,,False,True
Kentucky,1205,1158.6,1176.0,1088.7,800.0,,1138.3,1535.8,-46.4,-29.0,-116.3,-405.0,,-66.7,330.8,True,False,False,,False,False
Louisiana,5545,4921.9,5907.7,4776.9,4905.0,,5911.9,5482.3,-623.1,362.7,-768.1,-640.0,,366.9,-62.7,True,False,False,,True,True
Maine,142,149.6,125.9,152.5,133.0,,130.0,160.6,7.6,-16.1,10.5,-9.0,,-12.0,18.6,False,False,False,,False,False
Maryland,3957,4006.7,3818.8,4059.9,3733.0,,4000.1,4251.6,49.7,-138.2,102.9,-224.0,,43.1,294.6,False,False,False,,True,False
Massachusetts,9507,9581.9,8580.1,9679.6,8736.0,,9053.7,9305.8,74.9,-926.9,172.6,-771.0,,-453.3,-201.2,False,False,False,,False,False
Michigan,7124,6930.6,7114.7,7538.9,7084.0,,6870.6,7344.2,-193.4,-9.3,414.9,-40.0,,-253.4,220.2,True,False,True,,False,False
Minnesota,2126,2026.1,2210.7,1725.4,2205.0,,1918.4,2278.5,-99.9,84.7,-400.6,79.0,,-207.6,152.5,True,False,True,,False,False
