,actual_deaths,Baseline,Auquan-SEIR,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Auquan-SEIR,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Auquan-SEIR,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Alabama,2558,2789.4,2499.0,,2467.1,2592.0,2723.0,2229.3,2566.2,2235.6,,2589.1,2516.4,2287.0,2634.1,231.4,-59.0,,-90.9,34.0,165.0,-328.7,8.2,-322.4,,31.1,-41.6,-271.0,76.1,True,,True,True,True,False,True,False,,True,True,False,True
Alaska,58,41.7,52.0,,82.8,59.0,,41.9,112.8,37.2,,41.0,62.7,28.0,47.7,-16.3,-6.0,,24.8,1.0,,-16.1,54.8,-20.8,,-17.0,4.7,-30.0,-10.3,True,,False,True,,True,False,False,,False,True,False,True
Arizona,5705,6947.1,5759.0,,4388.7,6507.0,6617.0,5480.7,5313.6,5564.6,,6075.0,5396.6,5124.0,6199.7,1242.1,54.0,,-1316.3,802.0,912.0,-224.3,-391.4,-140.4,,370.0,-308.4,-581.0,494.7,True,,False,True,True,True,True,True,,True,True,True,True
Arkansas,1407,976.1,893.0,,997.4,960.0,1016.0,758.6,671.3,716.2,,792.9,903.2,839.0,969.9,-430.9,-514.0,,-409.6,-447.0,-391.0,-648.4,-735.7,-690.8,,-614.1,-503.8,-568.0,-437.1,False,,True,False,True,False,False,False,,False,False,False,False
California,16115,17181.3,14721.0,,15096.1,17694.0,17344.0,13834.1,17700.9,13409.9,,15626.6,18237.3,16031.0,16462.1,1066.3,-1394.0,,-1018.9,1579.0,1229.0,-2280.9,1585.9,-2705.1,,-488.4,2122.3,-84.0,347.1,False,,True,False,False,False,False,False,,True,False,True,True
Colorado,2060,2156.6,2183.0,,2133.7,2025.0,2102.0,1980.0,2513.4,2058.8,,2200.6,2436.3,2038.0,2177.3,96.6,123.0,,73.7,-35.0,42.0,-80.0,453.4,-1.2,,140.6,376.3,-22.0,117.3,False,,True,True,True,True,False,True,,False,False,True,False
Connecticut,4513,4535.3,4710.0,,4504.3,4459.0,4523.0,4478.6,4489.4,4479.5,,4541.2,4760.4,4478.0,4519.8,22.3,197.0,,-8.7,-54.0,10.0,-34.4,-23.6,-33.5,,28.2,247.4,-35.0,6.8,False,,True,False,True,False,False,False,,False,False,False,True
Delaware,645,606.7,681.0,,628.8,620.0,631.0,623.3,673.5,601.4,,620.3,851.8,603.0,650.5,-38.3,36.0,,-16.2,-25.0,-14.0,-21.7,28.5,-43.6,,-24.7,206.8,-42.0,5.5,True,,True,True,True,True,True,False,,True,False,False,True
District of Columbia,629,638.1,667.0,,635.4,615.0,620.0,615.6,588.8,,,644.6,737.1,636.0,635.5,9.1,38.0,,6.4,-14.0,-9.0,-13.4,-40.2,,,15.6,108.1,7.0,6.5,False,,True,False,True,False,False,,,False,False,True,True
Florida,14628,18133.1,14462.0,,11379.6,14145.0,15206.0,12891.5,9293.8,12856.0,,15657.1,13424.7,13429.0,15135.4,3505.1,-166.0,,-3248.4,-483.0,578.0,-1736.5,-5334.2,-1772.0,,1029.1,-1203.3,-1199.0,507.4,True,,True,True,True,True,False,True,,True,True,True,True
